bin_start_us,bin_start_utc,bin_end_us,bin_end_utc,tokens,active_seconds,active_minutes,active_coverage_pct,coverage_class,explicit_gap_seconds,tokens_per_active_minute
1787061600000000,2026-08-18T14:00:00+00:00,1787063400000000,2026-08-18T14:30:00+00:00,12,10.788217,0.179804,0.599,LOW,0.0,66.7394806760005
1787063400000000,2026-08-18T14:30:00+00:00,1787065200000000,2026-08-18T15:00:00+00:00,838,1156.659409,19.277657,64.259,PARTIAL,32.127215,43.47001339268058
1787065200000000,2026-08-18T15:00:00+00:00,1787067000000000,2026-08-18T15:30:00+00:00,693,1738.157634,28.969294,96.564,FULL,54.83452,23.92188095409533
1787067000000000,2026-08-18T15:30:00+00:00,1787068800000000,2026-08-18T16:00:00+00:00,597,1746.351622,29.10586,97.02,FULL,48.577733,20.511333198166206
1787068800000000,2026-08-18T16:00:00+00:00,1787070600000000,2026-08-18T16:30:00+00:00,606,1739.584691,28.993078,96.644,FULL,54.352534,20.901540573513817
1787070600000000,2026-08-18T16:30:00+00:00,1787072400000000,2026-08-18T17:00:00+00:00,521,1091.558274,18.192638,60.642,PARTIAL,31.988399,28.637957995085472
1787072400000000,2026-08-18T17:00:00+00:00,1787074200000000,2026-08-18T17:30:00+00:00,74,123.653318,2.060889,6.87,LOW,0.0,35.90684076912518
1787074200000000,2026-08-18T17:30:00+00:00,1787076000000000,2026-08-18T18:00:00+00:00,394,1792.049834,29.867497,99.558,FULL,6.034225,13.191597438578821
1787076000000000,2026-08-18T18:00:00+00:00,1787077800000000,2026-08-18T18:30:00+00:00,165,987.507908,16.458465,54.862,PARTIAL,0.0,10.025236172589718
1787077800000000,2026-08-18T18:30:00+00:00,1787079600000000,2026-08-18T19:00:00+00:00,1,10.395681,0.173261,0.578,LOW,0.0,5.771627659602098
