mint,t0_observed_at_us,t0_observed_at_utc,trade_events_5m,root_class,quote_candidate_events,unresolved_events,diagnosis_counts_json,quote_mints_json,ix_names_json,tail_decode_json
FW4v33A3x7GTTDZBQxozWfPkxnJ3eowM3cye7uLNpump,1787076994933369,2026-08-18T18:16:34.933369+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
ByCuLLJYnaBXgDiQ7tpir9MDpNMtvDzjrQdf3JX1pump,1787076903523423,2026-08-18T18:15:03.523423+00:00,33,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,33,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":33}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":33}","{""buy"":15,""buy_exact_quote_in"":3,""sell"":15}","{""True"":33}"
7De9qBYKGiqnJA3dU6Pv9sjZyvXecdZNfRK8dNtpump,1787076795776241,2026-08-18T18:13:15.776241+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
HxDaK1KV9z8thXN6qudgL9KY65X9zBsSZgekK6Hjpump,1787076758042668,2026-08-18T18:12:38.042668+00:00,19,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,19,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":19}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":19}","{""buy"":8,""buy_exact_quote_in"":2,""sell"":9}","{""True"":19}"
DR5stLQ1REsfUmNxB6882NEmJuXVFLVad2Jetnw6pump,1787076741566361,2026-08-18T18:12:21.566361+00:00,16,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,16,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":16}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":16}","{""buy"":9,""buy_exact_quote_in"":1,""sell"":6}","{""True"":16}"
51XG8a5nVP1C6ussXiS5uhCN62qLfzQhpcxqZ1Bxpump,1787076741426362,2026-08-18T18:12:21.426362+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
5w2zL6fRKxxfBNu2nYC7EUFyeKreAYH9sWcJY1Bxpump,1787076732356042,2026-08-18T18:12:12.356042+00:00,31,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,31,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":31}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":31}","{""buy"":11,""buy_exact_quote_in"":1,""sell"":19}","{""True"":31}"
4fhMyvMaus6ujEhbt6VbS5Pnyf8CbvXWLJdW4JvZpump,1787075997755261,2026-08-18T17:59:57.755261+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""buy_exact_quote_in"":1}","{""True"":1}"
5orYcs6TNvs3FymKCdrb7ueZ6fYZvYFbpeaZ6Hnwpump,1787075472159401,2026-08-18T17:51:12.159401+00:00,28,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,28,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":28}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":28}","{""buy"":12,""buy_exact_quote_in"":3,""sell"":13}","{""True"":28}"
2neu677KoQDWtR2sdQHZ7VZ3HsDvFaxf5Egh7233pump,1787075181714873,2026-08-18T17:46:21.714873+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
7hza9NUTV61zgUHedmVdJtYoUCqyH2arnqZBrodkpump,1787074891435949,2026-08-18T17:41:31.435949+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""buy"":1}","{""True"":1}"
sP8rznqCEHuxNwvmJPJDbyw6JXEqaKQfTiGySkcpump,1787074707837968,2026-08-18T17:38:27.837968+00:00,1,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,1,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":1}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":1}","{""sell"":1}","{""True"":1}"
5wDNrUhJhDcFZJrAEbdjMQtafhxHJDkAwgCj3UU2pump,1787074425684396,2026-08-18T17:33:45.684396+00:00,32,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,32,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":32}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":32}","{""buy"":14,""buy_exact_quote_in"":3,""sell"":15}","{""True"":32}"
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,1787074362549194,2026-08-18T17:32:42.549194+00:00,40,ALL_TRADES_QUOTE_RESERVE_FALLBACK_CANDIDATE,40,0,"{""QUOTE_RESERVE_FALLBACK_CANDIDATE"":40}","{""EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"":40}","{""buy"":12,""buy_exact_quote_in"":4,""sell"":24}","{""True"":40}"
