mint,price_path_class,price_identity,flow_compatibility,flow_identity_conflict,strategy_error,strategy_final_state,strategy_candidate_compat_only,since_t0_trades,since_t0_sol_buy_lamports,since_t0_sol_sell_lamports,since_t0_quote_buy_raw,since_t0_quote_sell_raw,since_t0_net_flow_raw,since_t0_net_flow_reserve_ppm,sol_legacy_parity
12esBVcoRgSDumrKZRZvbjJL7RTFPr6LZTeJL7YRpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,3,0,3911111111,0,3911111111,-3911111111,-125137,True
13QJLENJbotaW1oS5WoVrMSC7r3AZiJkMWixQLKhpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,9999,0,9999,9999,0,False
148Hqs287Z1EqNnp3GsHKZoRhcDmxNFwmpAE6m3fpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_PULLBACK,False,37,8977810557,7393561187,8977810557,7393561187,1584249370,32598,True
1TUiPA5AJofVU6KWCQXFuP4p1jwhgDqfzEYEHpupump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,98765430,0,98765430,0,98765430,1374,True
1obfCrXNqkLJqwnUUTEyDwEjd8nw8Jac9BxptPHpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,0,3709308376,0,3709308376,-3709308376,-120017,True
1s3HXLJc741LedDaT8ZmeMr4CUeYxEeARJkCG4epump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,253253628,0,253253628,0,253253628,6207,True
212s5Dc8mXsqXGukLzg8zKFjYxZPnnErNPfu89K8pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,9837036,0,9837036,0,9837036,327,True
214NLARqYoqaRSU33bSkYuvmjyaWJJvpxtofaSa4pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,329734294,0,329734294,-329734294,-10991,True
21ADMsfQv1NxhDLLLhS3mM9Hw5GpJEf6UBdEY1yFpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,45813268,0,45813268,-45813268,-1522,True
21Dkeb3rV1jamWr7pT4Ja9nKz2SxQGwWRMALe3Xvpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,268573130,0,268573130,-268573130,-8857,True
21FDEsqLcwxiMrMgiriphmLKK5y954TahwCMxw8xpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,2933333332,0,2933333332,-2933333332,-95917,True
21GHNrEoGxCfyxWR3eF25C2Dwqv3ycesZS4hk7UHpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,488888888,12818353,488888888,12818353,476070535,14211,True
21dfe9UctGMk6zpUsQ1B7YxwckSUxvRX6Vz5e7oppump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,28459,0,28459,-28459,-1,True
223UZmppqn3pNXvA5dViC5tekXLghb5s8ozE6mWVpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,244444444,0,244444444,0,244444444,8008,True
22544PaAyokfax2FuNRYvFv8akCVHeFea2DxubAgpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,2,1080798,1080797,1080798,1080797,1,0,True
22HNTtcBo3kjFcn2VwUB63THdFbPWe21PctnsCX1pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,3,4729,253180754,4729,253180754,-253176025,-8309,True
22mcbs3LiZrFDUiQKefPrG8UEehPcHNnayPsMNXopump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,3,1534475483,126130759,1534475483,126130759,1408344724,43689,True
23KrLmQecpAoHtoui3fhMXJxwiNf6dBY12hrnXzhpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,4,987654,2326307366,987654,2326307366,-2325319712,-65348,True
23Kz21yct4F44ddBGm6Xi7wmXDP5C5PKAN6y88Hmpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,101,4993291129,6218329028,4993291129,6218329028,-1225037899,-14887,True
243vcQRLUij8XfzdadU7hm7R55uytPeVoVC4Aj38pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_PULLBACK,False,8,3794469131,4831484257,3794469131,4831484257,-1037015126,-24411,True
247Fg2D8CoYafaDcZXuwApmZ8sTNXzHtmoyq3hK6pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,246913579,0,246913579,-246913579,-8230,True
24CtFWYaTjSw1v2EQ1A5SuoKBFL47V2k1CAab493pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,514633946,0,514633946,0,514633946,14378,True
24P2GKPn9sG5pajA6odu8Ncopk62TScTAUnwySSrqLq1,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,CANDIDATE_SIGNAL,True,47,20258748351,9664727432,20258748351,9664727432,10594020919,221058,True
24bdXk9e5BskiEjTWCU5EBPuHKdMSVLTamaHEcc7pump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,2795,0,2795,2795,0,False
24ciaAuJ9gYHFiBGo9umfXTLcnZv2DGZ29qW2uZWpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_RESPONSE,False,19,3959467691,3110291212,3959467691,3110291212,849176479,25678,True
24pUwoWNkMPyGHujVodmEyP14EWMoMqNbeNC83uGpump,SOL_ONLY,SOL_NATIVE,COMPATIBLE,False,,WAITING_FOR_IMPULSE,False,1,0,99663555,0,99663555,-99663555,-1932,True
