bin_start_observed_at_us,bin_end_observed_at_us,bin_start_utc,bin_end_utc,tokens,price_metric_coverage_tokens,price_metric_coverage_pct,gap_tokens,trades_p50,trades_p90,unique_buyers_p50,unique_buyers_p90,FP1-RESEARCH-PROBE-LOOSE-0001__impulse,FP1-RESEARCH-PROBE-LOOSE-0001__candidate,FP1-RESEARCH-PROBE-LOOSE-0001__candidate_rate_pct,FP1-RESEARCH-PROBE-MID-0001__impulse,FP1-RESEARCH-PROBE-MID-0001__candidate,FP1-RESEARCH-PROBE-MID-0001__candidate_rate_pct,FP1-RESEARCH-PROBE-STRICT-0001__impulse,FP1-RESEARCH-PROBE-STRICT-0001__candidate,FP1-RESEARCH-PROBE-STRICT-0001__candidate_rate_pct
1787061600000000,1787063400000000,2026-08-18T14:00:00+00:00,2026-08-18T14:30:00+00:00,12,11,91.66666666666667,0,1,6,0,1,0,0,0.0,0,0,0.0,0,0,0.0
1787063400000000,1787065200000000,2026-08-18T14:30:00+00:00,2026-08-18T15:00:00+00:00,838,827,98.68735083532219,0,1,28,1,11,173,34,4.05727923627685,127,12,1.431980906921241,92,5,0.5966587112171837
1787065200000000,1787067000000000,2026-08-18T15:00:00+00:00,2026-08-18T15:30:00+00:00,693,676,97.54689754689754,0,2,24,1,10,147,34,4.9062049062049065,91,8,1.1544011544011543,64,2,0.2886002886002886
1787067000000000,1787068800000000,2026-08-18T15:30:00+00:00,2026-08-18T16:00:00+00:00,597,572,95.81239530988275,0,3,26,1,11,147,27,4.522613065326633,103,6,1.0050251256281406,80,0,0.0
1787068800000000,1787070600000000,2026-08-18T16:00:00+00:00,2026-08-18T16:30:00+00:00,606,574,94.71947194719472,0,2,22,1,8,133,20,3.3003300330033003,87,3,0.49504950495049505,54,1,0.16501650165016502
1787070600000000,1787072400000000,2026-08-18T16:30:00+00:00,2026-08-18T17:00:00+00:00,521,517,99.23224568138195,0,1,14,0,7,80,16,3.071017274472169,56,3,0.5758157389635317,34,1,0.19193857965451055
1787072400000000,1787074200000000,2026-08-18T17:00:00+00:00,2026-08-18T17:30:00+00:00,74,71,95.94594594594595,0,2,22,1,12,15,4,5.405405405405405,12,2,2.7027027027027026,5,0,0.0
1787074200000000,1787076000000000,2026-08-18T17:30:00+00:00,2026-08-18T18:00:00+00:00,394,385,97.71573604060913,0,2,35,1,8,92,31,7.868020304568528,57,8,2.030456852791878,36,3,0.7614213197969543
1787076000000000,1787077800000000,2026-08-18T18:00:00+00:00,2026-08-18T18:30:00+00:00,165,158,95.75757575757575,0,2,25,1,8,44,13,7.878787878787879,27,2,1.2121212121212122,13,1,0.6060606060606061
1787077800000000,1787079600000000,2026-08-18T18:30:00+00:00,2026-08-18T19:00:00+00:00,1,1,100.0,0,1,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0
