mint,first_tradable_observed_at_us,trade_events_5m,priced_trade_events_5m,unpriced_trade_events_5m,first_trade_priceable,any_priceable_trade_5m,price_coverage_class,return_from_t0_metric_available,short_window_price_metric_available,gap_event_count,reserve_defect_codes
24qjbbQ6Z28bVVFChRt8PfRQi36Q5w8kpRAhzDT2pump,1787078016873189,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
D3CZDkRhK578EYZ4sXuGQT5SiPTcjRbWTHFtLcfLpump,1787077664760086,7,7,0,True,True,FULLY_PRICED_5M,True,True,0,
2F6EXXSJPWmFcT5WZMgMwtVwPEzyoeqELLBeGkt19yaq,1787077638274675,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
FHNAWXNnVyhCRkMaxyeVKTHrvJD9TEQkdz54uzXyH5Ui,1787077635875727,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
8tMnE8SMA86oVnwF7mfQzKgkrMb9B4fH6bYwT81bpump,1787077603665235,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
ErxeYzaKJbD48uf1Hp3bN97PUh5SpsyTHpTGUujypump,1787077596525624,4,4,0,True,True,FULLY_PRICED_5M,True,True,0,
CQNpNCHbmEUhmTB7xsYgRmGKWpj4LB3CU1EnEs6upump,1787077580358260,83,83,0,True,True,FULLY_PRICED_5M,True,True,0,
D7LhFQJt24gVM1QTKGS25tSrgXgsZAq57StpkZdupump,1787077580251849,6,6,0,True,True,FULLY_PRICED_5M,True,True,0,
8SxVsvd3CS8GheiCWDQgg9oK8jPimufvy8PMjpcbpump,1787077556067613,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
7TGno7LGF4mJHT1mvBMsthaEmavcKM5H8ojXCVcJpump,1787077509428195,2,2,0,True,True,FULLY_PRICED_5M,True,True,0,
AxFT1YGrrf4NKb7eg99iW3vMhWQMEamk2DJLKGYnpump,1787077483405654,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
8pGvyeMVv9kwGN265xrmUiJ5bFRTbyxPDfP3ELnJpump,1787077469771867,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
68zfuMUEqq4A7mdDqoQQvTsUn6zLvYQkafw787K2FBze,1787077462288248,21,21,0,True,True,FULLY_PRICED_5M,True,True,0,
FLp9ohj7Lye6JpoB5FLdoETAKHdHDZm5Vk7ZAxYRpump,1787077459906458,3,3,0,True,True,FULLY_PRICED_5M,True,True,0,
9ULnHREJdBvzYjesUhm46A6EfwmMj1yMPuoEJYVDBpkZ,1787077457326750,11,11,0,True,True,FULLY_PRICED_5M,True,True,0,
5RKCoUbp5HKPJR49svNs53emqU2ffWmvA53ceWs6pump,1787077452669996,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
6sCLdjJp1BGy5DmMLkFYCv6Aeu82Y9iqSNhNwfWKpump,1787077447297487,7,7,0,True,True,FULLY_PRICED_5M,True,True,0,
CnanqtomBVJnT1MXAhoQLE1NuAdhpFqyd9r2DyDzpump,1787077436683872,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
2GeLRyHhF7pWHQZVMrrB8RQJ6skNbkNxToh1ipzKpump,1787077410132685,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
B6FgnQMU4VZKrC3fxVJfQ9MbaUBBn6XCsXg4mRUFpump,1787077402510282,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
EZ1CJhJA7HVqbV3nLDsuB2pk9X5fjjLieBySe6fcSuYj,1787077395015711,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
4UeoZ7ufmdLv5ZNpoYCX4Cnud9LuLpHJyyvZwRbpgGSW,1787077344764076,8,8,0,True,True,FULLY_PRICED_5M,True,True,0,
Dx1qqmSFoJ8Fko2xcUpYbQ95eYfzkKhqGxcrZVoFpump,1787077342138999,184,184,0,True,True,FULLY_PRICED_5M,True,True,0,
4ddtVZbrQ1JivaA9rT9YxafyXwRbjYkXq7gfhPs8DQ4V,1787077342121982,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
89RSsU93dKCLW2rnvexmzzVwwo8xkF41nT7VA1VWpump,1787077304787732,7,7,0,True,True,FULLY_PRICED_5M,True,True,0,
65ZfvDHPXnZxUpGYxruAaMWRjus4i4eo6dGPd9Rppump,1787077289921593,5,5,0,True,True,FULLY_PRICED_5M,True,True,0,
7GysKgQyT6nr4KhNM4J9cVQreTie45rLf9SKuxXSeDF7,1787077283695018,6,6,0,True,True,FULLY_PRICED_5M,True,True,0,
B5CrrbdHp2rTxycmbwAy4tdLwxk2FeUFzsSoPer5pump,1787077250471105,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
H4oVAFf8Uor3G3rwuHMmACqaY1HMRVSeDg4zk8nzpump,1787077225501636,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
ADWtiF1roQR2LXkV7UB3pBRXuh5hCWfp6zF8tRvLStxo,1787077223203697,6,6,0,True,True,FULLY_PRICED_5M,True,True,0,
24ciaAuJ9gYHFiBGo9umfXTLcnZv2DGZ29qW2uZWpump,1787077218471561,19,19,0,True,True,FULLY_PRICED_5M,True,True,0,
8YBBhovjGX1EpZ6jJqKHamhqn3c6SBc2dmmGwX43pump,1787077212884611,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
4YQchgMod9WqHCVJmbduGr4vG5QrLXJqfrsTTmkapump,1787077212810324,11,11,0,True,True,FULLY_PRICED_5M,True,True,0,
99Eqt9f1pDiBfaRQJUpxMcbLMHgyGtSLj5Nbgmj7HSzo,1787077210054368,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
3z1aun6tqmGGD75w23DLcQawy655xMgPJTgmRy2cpump,1787077201839475,1,1,0,True,True,FULLY_PRICED_5M,True,True,0,
