mint,events_available,states_in_entry_window,has_observation_after_entry_window,gap_event_count,first_trade_pump_timestamp_delta_ms,max_return_from_t0_bps,max_drawdown_depth_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_total_volume_since_t0_lamports,max_3s_buys,max_3s_sells,max_3s_net_flow_lamports,max_3s_price_change_bps,max_10s_trades,max_10s_volume_lamports,time_segment,first_tradable_observed_at_us
24qjbbQ6Z28bVVFChRt8PfRQi36Q5w8kpRAhzDT2pump,1,1,False,0,0,0,0,1,0,35905499,0,1,-35905499,0,1,35905499,10,1787078016873189
D3CZDkRhK578EYZ4sXuGQT5SiPTcjRbWTHFtLcfLpump,8,7,False,0,870760,5392,0,7,7,8337844094,6,0,8328987646,5385,6,8328987646,10,1787077664760086
2F6EXXSJPWmFcT5WZMgMwtVwPEzyoeqELLBeGkt19yaq,1,1,False,0,845274,0,0,1,0,804828142,0,1,-804828142,0,1,804828142,10,1787077638274675
FHNAWXNnVyhCRkMaxyeVKTHrvJD9TEQkdz54uzXyH5Ui,1,1,False,0,842875,0,0,1,0,990589398,0,1,-990589398,0,1,990589398,10,1787077635875727
8tMnE8SMA86oVnwF7mfQzKgkrMb9B4fH6bYwT81bpump,1,1,False,0,811665,0,0,1,1,737989966,1,0,737989966,0,1,737989966,10,1787077603665235
ErxeYzaKJbD48uf1Hp3bN97PUh5SpsyTHpTGUujypump,4,4,False,0,805525,427,0,4,4,1634856065,3,0,1585326595,394,4,1634856065,10,1787077596525624
CQNpNCHbmEUhmTB7xsYgRmGKWpj4LB3CU1EnEs6upump,84,83,False,0,789358,37939,2052,83,60,105411118405,8,3,15812410639,6475,20,32277672176,10,1787077580358260
D7LhFQJt24gVM1QTKGS25tSrgXgsZAq57StpkZdupump,7,6,False,0,789251,1962,1089,6,3,7387260868,3,2,5403850245,1962,3,5403850245,10,1787077580251849
8SxVsvd3CS8GheiCWDQgg9oK8jPimufvy8PMjpcbpump,1,1,False,0,766067,0,0,1,1,987654320,1,0,987654320,0,1,987654320,10,1787077556067613
7TGno7LGF4mJHT1mvBMsthaEmavcKM5H8ojXCVcJpump,2,2,False,0,721428,62,0,2,1,322937668,1,1,312768273,0,1,312768273,10,1787077509428195
AxFT1YGrrf4NKb7eg99iW3vMhWQMEamk2DJLKGYnpump,1,1,False,0,697405,0,0,1,0,144044597,0,1,-144044597,0,1,144044597,10,1787077483405654
8pGvyeMVv9kwGN265xrmUiJ5bFRTbyxPDfP3ELnJpump,1,1,False,0,684771,0,0,1,0,381963734,0,1,-381963734,0,1,381963734,10,1787077469771867
68zfuMUEqq4A7mdDqoQQvTsUn6zLvYQkafw787K2FBze,22,21,False,0,677288,2398,4342,21,11,22227295946,4,2,9697283947,2210,5,9894814810,10,1787077462288248
FLp9ohj7Lye6JpoB5FLdoETAKHdHDZm5Vk7ZAxYRpump,4,3,False,0,674906,56,0,3,3,1074585096,3,0,1074585096,56,3,1074585096,10,1787077459906458
9ULnHREJdBvzYjesUhm46A6EfwmMj1yMPuoEJYVDBpkZ,12,11,False,0,673326,1817,896,11,7,5088992194,7,2,3550385361,1817,8,4567626337,10,1787077457326750
5RKCoUbp5HKPJR49svNs53emqU2ffWmvA53ceWs6pump,1,1,False,0,668669,0,0,1,0,348797865,0,1,-348797865,0,1,348797865,10,1787077452669996
6sCLdjJp1BGy5DmMLkFYCv6Aeu82Y9iqSNhNwfWKpump,8,7,False,0,663297,520,261,7,5,1195288976,5,2,790123452,520,5,790123452,10,1787077447297487
CnanqtomBVJnT1MXAhoQLE1NuAdhpFqyd9r2DyDzpump,1,1,False,0,653683,0,0,1,1,1975308641,1,0,1975308641,0,1,1975308641,10,1787077436683872
2GeLRyHhF7pWHQZVMrrB8RQJ6skNbkNxToh1ipzKpump,1,1,False,0,628132,0,0,1,0,84092795,0,1,-84092795,0,1,84092795,10,1787077410132685
B6FgnQMU4VZKrC3fxVJfQ9MbaUBBn6XCsXg4mRUFpump,1,1,False,0,621510,0,0,1,0,483680495,0,1,-483680495,0,1,483680495,10,1787077402510282
EZ1CJhJA7HVqbV3nLDsuB2pk9X5fjjLieBySe6fcSuYj,1,1,False,0,614015,0,0,1,0,1372113311,0,1,-1372113311,0,1,1372113311,10,1787077395015711
4UeoZ7ufmdLv5ZNpoYCX4Cnud9LuLpHJyyvZwRbpgGSW,9,8,False,0,566764,2704,2535,8,5,9674508344,3,1,3922745000,0,5,5947082256,10,1787077344764076
Dx1qqmSFoJ8Fko2xcUpYbQ95eYfzkKhqGxcrZVoFpump,189,184,True,0,564138,16413,4761,184,91,115119363430,17,7,12315946603,4796,27,19305754786,10,1787077342138999
4ddtVZbrQ1JivaA9rT9YxafyXwRbjYkXq7gfhPs8DQ4V,1,1,False,0,564121,0,0,1,1,25000001,1,0,25000001,0,1,25000001,10,1787077342121982
89RSsU93dKCLW2rnvexmzzVwwo8xkF41nT7VA1VWpump,8,7,False,0,528787,532,1431,7,4,5558455660,2,1,2154547543,500,3,2408915332,10,1787077304787732
65ZfvDHPXnZxUpGYxruAaMWRjus4i4eo6dGPd9Rppump,6,5,False,0,514921,54,1224,5,3,4056453169,3,1,2032560631,54,3,2032560631,10,1787077289921593
7GysKgQyT6nr4KhNM4J9cVQreTie45rLf9SKuxXSeDF7,7,6,False,0,509695,2704,2535,6,4,9654755261,4,1,4785640524,2704,5,5947082256,10,1787077283695018
B5CrrbdHp2rTxycmbwAy4tdLwxk2FeUFzsSoPer5pump,1,1,False,0,478471,0,0,1,0,103296321,0,1,-103296321,0,1,103296321,10,1787077250471105
H4oVAFf8Uor3G3rwuHMmACqaY1HMRVSeDg4zk8nzpump,1,1,False,0,454501,0,0,1,0,27346749,0,1,-27346749,0,1,27346749,10,1787077225501636
ADWtiF1roQR2LXkV7UB3pBRXuh5hCWfp6zF8tRvLStxo,7,6,False,0,452203,2704,2554,6,3,9595128306,2,1,4785640524,2704,3,5877946456,10,1787077223203697
