mint,price_identity,max_return_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_drawdown_depth_bps,max_3s_buys,max_3s_net_flow_reserve_ppm,broad_impulse_reached,broad_impulse_age_ms,broad_impulse_return_bps,broad_impulse_trades,broad_impulse_unique_buyers,broad_pullback_reached,broad_pullback_age_ms,broad_pullback_depth_at_activation_bps,max_pullback_depth_after_broad_impulse_bps,broad_proto_response_reached,broad_proto_response_age_ms,max_rebound_after_pullback_bps,max_3s_buys_after_pullback,max_3s_net_flow_reserve_ppm_after_pullback,max_reclaim_extension_after_proto_response_bps,data_valid_states,data_invalid_states
12esBVcoRgSDumrKZRZvbjJL7RTFPr6LZTeJL7YRpump,SOL_NATIVE,0,3,0,1385,0,-49155,False,,,,,False,,,,False,,,,,,3,0
13QJLENJbotaW1oS5WoVrMSC7r3AZiJkMWixQLKhpump,SOL_NATIVE,0,1,0,0,0,0,False,,,,,False,,,,False,,,,,,1,0
148Hqs287Z1EqNnp3GsHKZoRhcDmxNFwmpAE6m3fpump,SOL_NATIVE,1106,37,18,1053,10,40407,True,17069,569,14,10,False,,,908,False,,,,,,37,0
1TUiPA5AJofVU6KWCQXFuP4p1jwhgDqfzEYEHpupump,SOL_NATIVE,14,2,1,0,1,687,False,,,,,False,,,,False,,,,,,2,0
1obfCrXNqkLJqwnUUTEyDwEjd8nw8Jac9BxptPHpump,SOL_NATIVE,0,2,0,1045,0,-63279,False,,,,,False,,,,False,,,,,,2,0
1s3HXLJc741LedDaT8ZmeMr4CUeYxEeARJkCG4epump,SOL_NATIVE,0,1,1,0,1,6207,False,,,,,False,,,,False,,,,,,1,0
212s5Dc8mXsqXGukLzg8zKFjYxZPnnErNPfu89K8pump,SOL_NATIVE,0,1,1,0,1,327,False,,,,,False,,,,False,,,,,,1,0
214NLARqYoqaRSU33bSkYuvmjyaWJJvpxtofaSa4pump,SOL_NATIVE,0,1,0,0,0,-10991,False,,,,,False,,,,False,,,,,,1,0
21ADMsfQv1NxhDLLLhS3mM9Hw5GpJEf6UBdEY1yFpump,SOL_NATIVE,0,1,0,0,0,-1522,False,,,,,False,,,,False,,,,,,1,0
21Dkeb3rV1jamWr7pT4Ja9nKz2SxQGwWRMALe3Xvpump,SOL_NATIVE,0,1,0,0,0,-8857,False,,,,,False,,,,False,,,,,,1,0
21FDEsqLcwxiMrMgiriphmLKK5y954TahwCMxw8xpump,SOL_NATIVE,0,1,0,0,0,-95917,False,,,,,False,,,,False,,,,,,1,0
21GHNrEoGxCfyxWR3eF25C2Dwqv3ycesZS4hk7UHpump,SOL_NATIVE,298,2,1,0,1,14599,False,,,,,False,,,,False,,,,,,2,0
21dfe9UctGMk6zpUsQ1B7YxwckSUxvRX6Vz5e7oppump,SOL_NATIVE,0,1,0,0,0,-1,False,,,,,False,,,,False,,,,,,1,0
223UZmppqn3pNXvA5dViC5tekXLghb5s8ozE6mWVpump,SOL_NATIVE,0,1,1,0,1,8008,False,,,,,False,,,,False,,,,,,1,0
22544PaAyokfax2FuNRYvFv8akCVHeFea2DxubAgpump,SOL_NATIVE,0,2,1,0,1,22,False,,,,,False,,,,False,,,,,,2,0
22HNTtcBo3kjFcn2VwUB63THdFbPWe21PctnsCX1pump,SOL_NATIVE,0,3,1,597,1,0,False,,,,,False,,,,False,,,,,,3,0
22mcbs3LiZrFDUiQKefPrG8UEehPcHNnayPsMNXopump,SOL_NATIVE,488,3,2,77,2,47567,False,,,,,False,,,,False,,,,,,3,0
23KrLmQecpAoHtoui3fhMXJxwiNf6dBY12hrnXzhpump,SOL_NATIVE,1,4,1,902,1,-17489,False,,,,,False,,,,False,,,,,,4,0
23Kz21yct4F44ddBGm6Xi7wmXDP5C5PKAN6y88Hmpump,SOL_NATIVE,13679,101,68,1099,9,30819,True,21806,1111,26,25,True,122228,1099,1099,True,165120,4740,9,3523,3958,101,0
243vcQRLUij8XfzdadU7hm7R55uytPeVoVC4Aj38pump,SOL_NATIVE,1490,8,4,906,4,90013,True,48,988,2,2,False,,,906,False,,,,,,8,0
247Fg2D8CoYafaDcZXuwApmZ8sTNXzHtmoyq3hK6pump,SOL_NATIVE,0,1,0,0,0,-8230,False,,,,,False,,,,False,,,,,,1,0
24CtFWYaTjSw1v2EQ1A5SuoKBFL47V2k1CAab493pump,SOL_NATIVE,0,1,1,0,1,14378,False,,,,,False,,,,False,,,,,,1,0
24P2GKPn9sG5pajA6odu8Ncopk62TScTAUnwySSrqLq1,SOL_NATIVE,15941,47,26,4928,7,102061,True,2,698,3,3,True,182869,2995,4928,True,227603,6034,6,83433,4664,47,0
24bdXk9e5BskiEjTWCU5EBPuHKdMSVLTamaHEcc7pump,SOL_NATIVE,0,1,0,0,0,0,False,,,,,False,,,,False,,,,,,1,0
24ciaAuJ9gYHFiBGo9umfXTLcnZv2DGZ29qW2uZWpump,SOL_NATIVE,1988,19,4,1747,4,122028,True,3,642,2,2,True,128345,1071,1747,False,,0,0,-5898,,19,0
24pUwoWNkMPyGHujVodmEyP14EWMoMqNbeNC83uGpump,SOL_NATIVE,0,1,0,0,0,-1932,False,,,,,False,,,,False,,,,,,1,0
24q87NzkQ7BxVmBWr5dFX7RfrVfZ79PrrLxZ7KKBpump,SOL_NATIVE,0,24,6,4123,2,9428,False,,,,,False,,,,False,,,,,,24,0
24q8bC3bPosFTY4bM44Zkswjpk3h4Qtcz9hrt8KXpump,SOL_NATIVE,0,1,0,0,0,-29975,False,,,,,False,,,,False,,,,,,1,0
24qDEfnRLxeHdEboaa6RA4VYXQeZvpWzSMk1sdzQpump,SOL_NATIVE,2464,14,3,2741,3,6087,True,13583,610,6,3,True,17307,2741,2741,True,19876,6182,2,3926,2285,14,0
24qDrKc9iJuJcRmGAu3F3hPcJDYZoTEPdMZN9zvApump,SOL_NATIVE,6963,6,2,1616,2,3896,True,8718,1024,2,1,True,21980,1616,1616,True,27114,3204,2,3896,,6,0
