mint,token_class,trade_events_5m,priceable_events_5m,sol_priceable_events_5m,quote_priceable_events_5m,unavailable_events_5m,quote_mints,old_sol_unpriceable,quote_rescued,path_conflict_seen,quote_flow_mint_conflict,price_identity,first_price_proxy,current_price_proxy,return_from_t0_bps,drawdown_from_high_bps,strategy_v01_flow_compatible,sol_buy_volume_lamports,sol_sell_volume_lamports,quote_buy_volume_raw,quote_sell_volume_raw,quote_flow_mint
12esBVcoRgSDumrKZRZvbjJL7RTFPr6LZTeJL7YRpump,SOL_ONLY,3,3,3,0,0,,False,False,False,False,SOL_NATIVE,0.0000324551882118073965301787530683086429046511966811564612035039,0.0000279589934902143522833178005591798695246971109040074557315937,-1385,-1385,True,0,3911111111,0,3911111111,11111111111111111111111111111111
13QJLENJbotaW1oS5WoVrMSC7r3AZiJkMWixQLKhpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000279589934771668219944082013047530288909599254426840633737185,0.0000279589934771668219944082013047530288909599254426840633737185,0,0,True,0,9999,0,9999,11111111111111111111111111111111
148Hqs287Z1EqNnp3GsHKZoRhcDmxNFwmpAE6m3fpump,SOL_ONLY,37,37,37,0,0,,False,False,False,False,SOL_NATIVE,0.0000550342737599217144634784439041958637915848788079850515769560,0.0000566054786775109393802615394498399029122520692253972426593680,285,-739,True,8977810557,7393561187,8977810557,7393561187,11111111111111111111111111111111
1TUiPA5AJofVU6KWCQXFuP4p1jwhgDqfzEYEHpupump,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.0000737988059629317385134717555619942826331288495207583726262858,0.0000739003008138546955350550322470476476438595549265100242108112,14,0,True,98765430,0,98765430,0,11111111111111111111111111111111
1obfCrXNqkLJqwnUUTEyDwEjd8nw8Jac9BxptPHpump,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.0000312400231466290403710820973981357869296150908106844038908831,0.0000279754472322219673647253750259444955895105063946648739806091,-1045,-1045,True,0,3709308376,0,3709308376,11111111111111111111111111111111
1s3HXLJc741LedDaT8ZmeMr4CUeYxEeARJkCG4epump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000517212024691566927503119807987603270239997648296750380074024,0.0000517212024691566927503119807987603270239997648296750380074024,0,0,True,253253628,0,253253628,0,11111111111111111111111111111111
212s5Dc8mXsqXGukLzg8zKFjYxZPnnErNPfu89K8pump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000280604884870307320433183332228908193314339288319549529719221,0.0000280604884870307320433183332228908193314339288319549529719221,0,0,True,9837036,0,9837036,0,11111111111111111111111111111111
214NLARqYoqaRSU33bSkYuvmjyaWJJvpxtofaSa4pump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000279589934799627213420316868592730661696178937558247903075489,0.0000279589934799627213420316868592730661696178937558247903075489,0,0,True,0,329734294,0,329734294,11111111111111111111111111111111
21ADMsfQv1NxhDLLLhS3mM9Hw5GpJEf6UBdEY1yFpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000281311082490222987304845063455777571346565591862871198723683,0.0000281311082490222987304845063455777571346565591862871198723683,0,0,True,0,45813268,0,45813268,11111111111111111111111111111111
21Dkeb3rV1jamWr7pT4Ja9nKz2SxQGwWRMALe3Xvpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000285659944203592320714322854574204053383507827874746594802513,0.0000285659944203592320714322854574204053383507827874746594802513,0,0,True,0,268573130,0,268573130,11111111111111111111111111111111
21FDEsqLcwxiMrMgiriphmLKK5y954TahwCMxw8xpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000290546201909185498702677906712608693075718055458746447907940,0.0000290546201909185498702677906712608693075718055458746447907940,0,0,True,0,2933333332,0,2933333332,11111111111111111111111111111111
21GHNrEoGxCfyxWR3eF25C2Dwqv3ycesZS4hk7UHpump,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.0000338303821072693193865524097282463821701343551278384882752907,0.0000348401888470270680029861366715009911218095919122412484042537,298,0,True,488888888,12818353,488888888,12818353,11111111111111111111111111111111
21dfe9UctGMk6zpUsQ1B7YxwckSUxvRX6Vz5e7oppump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000283758426340835611170923319463472503204347348995444989201208,0.0000283758426340835611170923319463472503204347348995444989201208,0,0,True,0,28459,0,28459,11111111111111111111111111111111
223UZmppqn3pNXvA5dViC5tekXLghb5s8ozE6mWVpump,SOL_ONLY,1,1,1,0,0,,False,False,False,False,SOL_NATIVE,0.0000289497389792096349866468240531742551467900944759656868459793,0.0000289497389792096349866468240531742551467900944759656868459793,0,0,True,244444444,0,244444444,0,11111111111111111111111111111111
22544PaAyokfax2FuNRYvFv8akCVHeFea2DxubAgpump,SOL_ONLY,2,2,2,0,0,,False,False,False,False,SOL_NATIVE,0.0000732673615357658767803448480612101799086494747693412442942172,0.0000732641004361111100186592475211341350255125217680552854781953,0,0,True,1080798,1080797,1080798,1080797,11111111111111111111111111111111
22HNTtcBo3kjFcn2VwUB63THdFbPWe21PctnsCX1pump,SOL_ONLY,3,3,3,0,0,,False,False,False,False,SOL_NATIVE,0.0000297340885696288093836815335806977476477375285736936676655064,0.0000279590017732946495923444921580864869084244535908013335791258,-597,-597,True,4729,253180754,4729,253180754,11111111111111111111111111111111
22mcbs3LiZrFDUiQKefPrG8UEehPcHNnayPsMNXopump,SOL_ONLY,3,3,3,0,0,,False,False,False,False,SOL_NATIVE,0.0000315707905993402453081852303896708989846311202559720231064077,0.0000328560041849195887862582051562593585325542820832512403149353,407,-77,True,1534475483,126130759,1534475483,126130759,11111111111111111111111111111111
