mint,event_key,event_type,observed_at_us,quote_mint,quote_amount_raw,sol_amount_lamports,virtual_quote_reserve_raw,virtual_sol_reserve_lamports,virtual_token_reserve_raw,price_proxy_raw_ratio
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,3Qe5bs8WmR73dgosB8JQcFE8n5KfEJFh3GvUouEs8tohtWSwzjAfVtTU6TyohU51Jzbj5u96sLYP2UKs8RwjLCtP:0:bddb7fd34ee661ee,SELL,1787074362549194,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5574691,0,252447402,0,1277566292437873,1.97600236867768104421778041724133704316713768219651487304861E-7
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,3DXZg33EyrbXqBvjhtJxn6XiCmeQkqKpSPsvoBFa6iuQKro51wmbbwfmXiyPWW3MRHAjzt72ESzjcQyHj2kiioVU:0:bddb7fd34ee661ee,BUY,1787074369235605,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5054413,0,341973567,0,1252489390836773,2.73035100737684971247880298254660232442011499449748401917349E-7
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,i1gaS9DAfEkPYY2gEiGtEWK1i1ZSsPmY3JcNeCEYVrKht4R2UDUx5LzsZnvhMQDjMWTbiPDPEkEiJ9sEgb5Qago:0:bddb7fd34ee661ee,BUY,1787074371577498,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6378559,0,452891498,0,1229555477477145,3.68337587279316850147795617957488924161552042991661002089736E-7
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,4fZbP6YWPEZ8F6v4HhH2McbihsBsDbX8GuZoZyWaYvjfbKhqkNm28s2SCT29KbTQ4n1oUrtmyjvfy9zbn7ZZLQDM:0:bddb7fd34ee661ee,SELL,1787074381860831,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4474964,0,374417668,0,1241825805001550,3.01505788083967755870937027257538787904114148182601683873301E-7
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,3QDcySFjDrxtK5ETPKah1QKpXs54HYRZphAYj6BHpY3oYFwj3Reaiq1q6YE5cADywXYu2hWDYWg9kn7UBj67ezvy:0:bddb7fd34ee661ee,SELL,1787074386907858,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3356341,0,371061327,0,1253058427694596,2.96124521250526725867882566276434483445402592976422431840003E-7
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,dFzrKVnmCo5SrikGdXEMkPettMLyYD2hJTBAn1a511wUxjUY8rMsryfYx2GqJB2MVSZ2PxzYpxpprU1jw1UNu6e:0:bddb7fd34ee661ee,SELL,1787074386987860,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5866681,0,245905351,0,1273188228126648,1.93141395410026543658956103934916783843253268879438351202660E-7
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,rb3BYrqKpzY1kUqLqNKeiRGQd4xSf8Xpjn9j6HcAZvNRNmbWwAs4Gt8iLBzWbnUwWV7Gz9mcmpbfD7rPV8A5M8C:0:bddb7fd34ee661ee,SELL,1787074394670740,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2877675,0,183779396,0,1288263972926340,1.42656629279586387465276367936350151477993363211026464941843E-7
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,eQCnqzEwF1ta3A9zteb4yHqZkENDzyW9j9sAR4La8EdPnvPydf4AeRQLmdi7GQbYQeTmxkYHN5HKDXnQiZyzc9h:0:bddb7fd34ee661ee,SELL,1787074397157740,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,934563,0,163494670,0,1294848600549799,1.26265472218589393107187798063079541355427137382955439959535E-7
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,4ZAU7namuERTFucJnZBwgJv31qAVgNNuNjjFVuNVPc99cWP6Get5yHqdtmuE99Q8ZXmQBWk3VUYwqpqC9XwtCwZD:0:bddb7fd34ee661ee,SELL,1787074401619741,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2583097,0,106557633,0,1315634680685682,8.09933293522365433108678333939308458049940655157707298875819E-8
2MUW4ws73FHu5B5DuBk2ac1s1Rb9UPDZM8Gx5rMDpump,A5QQvcvRyszVJcqNyF7Nfjp5u6BR1DEjw4ZDDKk5JTfG8mQShjDLKW5fyzgKJXzhnZR6WwMvYsL9Q8QGT6JdB96:0:bddb7fd34ee661ee,SELL,1787074403643743,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,358843,0,98617160,0,1320080189111921,7.47054313922734684818039952677814294852921504078239123049258E-8
