mint,first_tradable_observed_at_us,first_tradable_observed_at_utc
12esBVcoRgSDumrKZRZvbjJL7RTFPr6LZTeJL7YRpump,1787069113232264,2026-08-18T16:05:13.232264+00:00
13QJLENJbotaW1oS5WoVrMSC7r3AZiJkMWixQLKhpump,1787071467124500,2026-08-18T16:44:27.124500+00:00
148Hqs287Z1EqNnp3GsHKZoRhcDmxNFwmpAE6m3fpump,1787065141648682,2026-08-18T14:59:01.648682+00:00
1TUiPA5AJofVU6KWCQXFuP4p1jwhgDqfzEYEHpupump,1787064251464132,2026-08-18T14:44:11.464132+00:00
1obfCrXNqkLJqwnUUTEyDwEjd8nw8Jac9BxptPHpump,1787070874720051,2026-08-18T16:34:34.720051+00:00
1s3HXLJc741LedDaT8ZmeMr4CUeYxEeARJkCG4epump,1787064020114185,2026-08-18T14:40:20.114185+00:00
212s5Dc8mXsqXGukLzg8zKFjYxZPnnErNPfu89K8pump,1787064392309800,2026-08-18T14:46:32.309800+00:00
214NLARqYoqaRSU33bSkYuvmjyaWJJvpxtofaSa4pump,1787064509958077,2026-08-18T14:48:29.958077+00:00
21ADMsfQv1NxhDLLLhS3mM9Hw5GpJEf6UBdEY1yFpump,1787064865352895,2026-08-18T14:54:25.352895+00:00
21Dkeb3rV1jamWr7pT4Ja9nKz2SxQGwWRMALe3Xvpump,1787066502484584,2026-08-18T15:21:42.484584+00:00
21FDEsqLcwxiMrMgiriphmLKK5y954TahwCMxw8xpump,1787066682270318,2026-08-18T15:24:42.270318+00:00
21GHNrEoGxCfyxWR3eF25C2Dwqv3ycesZS4hk7UHpump,1787069834029568,2026-08-18T16:17:14.029568+00:00
21dfe9UctGMk6zpUsQ1B7YxwckSUxvRX6Vz5e7oppump,1787064036514628,2026-08-18T14:40:36.514628+00:00
223UZmppqn3pNXvA5dViC5tekXLghb5s8ozE6mWVpump,1787070766900969,2026-08-18T16:32:46.900969+00:00
22544PaAyokfax2FuNRYvFv8akCVHeFea2DxubAgpump,1787066940861073,2026-08-18T15:29:00.861073+00:00
22HNTtcBo3kjFcn2VwUB63THdFbPWe21PctnsCX1pump,1787068958901214,2026-08-18T16:02:38.901214+00:00
22mcbs3LiZrFDUiQKefPrG8UEehPcHNnayPsMNXopump,1787065383492329,2026-08-18T15:03:03.492329+00:00
23KrLmQecpAoHtoui3fhMXJxwiNf6dBY12hrnXzhpump,1787069244480208,2026-08-18T16:07:24.480208+00:00
23Kz21yct4F44ddBGm6Xi7wmXDP5C5PKAN6y88Hmpump,1787064958343346,2026-08-18T14:55:58.343346+00:00
