mint,events_available,states_in_entry_window,has_observation_after_entry_window,gap_event_count,first_trade_observation_delay_ms,max_return_from_t0_bps,max_drawdown_depth_bps,max_trades_since_t0,max_unique_buyers_since_t0,max_total_volume_since_t0_lamports,max_3s_buys,max_3s_sells,max_3s_net_flow_lamports,max_3s_price_change_bps,max_10s_trades,max_10s_volume_lamports
24qjbbQ6Z28bVVFChRt8PfRQi36Q5w8kpRAhzDT2pump,1,1,False,0,0,0,0,0,0,0,0,0,0,,0,0
D3CZDkRhK578EYZ4sXuGQT5SiPTcjRbWTHFtLcfLpump,8,0,True,0,870760,,,,,,,,,,,
2F6EXXSJPWmFcT5WZMgMwtVwPEzyoeqELLBeGkt19yaq,1,0,True,0,845274,,,,,,,,,,,
FHNAWXNnVyhCRkMaxyeVKTHrvJD9TEQkdz54uzXyH5Ui,1,0,True,0,842875,,,,,,,,,,,
8tMnE8SMA86oVnwF7mfQzKgkrMb9B4fH6bYwT81bpump,1,0,True,0,811665,,,,,,,,,,,
ErxeYzaKJbD48uf1Hp3bN97PUh5SpsyTHpTGUujypump,4,0,True,0,805525,,,,,,,,,,,
CQNpNCHbmEUhmTB7xsYgRmGKWpj4LB3CU1EnEs6upump,84,0,True,0,789358,,,,,,,,,,,
D7LhFQJt24gVM1QTKGS25tSrgXgsZAq57StpkZdupump,7,0,True,0,789251,,,,,,,,,,,
8SxVsvd3CS8GheiCWDQgg9oK8jPimufvy8PMjpcbpump,1,0,True,0,766067,,,,,,,,,,,
7TGno7LGF4mJHT1mvBMsthaEmavcKM5H8ojXCVcJpump,2,0,True,0,721428,,,,,,,,,,,
AxFT1YGrrf4NKb7eg99iW3vMhWQMEamk2DJLKGYnpump,1,0,True,0,697405,,,,,,,,,,,
8pGvyeMVv9kwGN265xrmUiJ5bFRTbyxPDfP3ELnJpump,1,0,True,0,684771,,,,,,,,,,,
68zfuMUEqq4A7mdDqoQQvTsUn6zLvYQkafw787K2FBze,22,0,True,0,677288,,,,,,,,,,,
FLp9ohj7Lye6JpoB5FLdoETAKHdHDZm5Vk7ZAxYRpump,4,0,True,0,674906,,,,,,,,,,,
9ULnHREJdBvzYjesUhm46A6EfwmMj1yMPuoEJYVDBpkZ,12,0,True,0,673326,,,,,,,,,,,
5RKCoUbp5HKPJR49svNs53emqU2ffWmvA53ceWs6pump,1,0,True,0,668669,,,,,,,,,,,
6sCLdjJp1BGy5DmMLkFYCv6Aeu82Y9iqSNhNwfWKpump,8,0,True,0,663297,,,,,,,,,,,
CnanqtomBVJnT1MXAhoQLE1NuAdhpFqyd9r2DyDzpump,1,0,True,0,653683,,,,,,,,,,,
2GeLRyHhF7pWHQZVMrrB8RQJ6skNbkNxToh1ipzKpump,1,0,True,0,628132,,,,,,,,,,,
B6FgnQMU4VZKrC3fxVJfQ9MbaUBBn6XCsXg4mRUFpump,1,0,True,0,621510,,,,,,,,,,,
EZ1CJhJA7HVqbV3nLDsuB2pk9X5fjjLieBySe6fcSuYj,1,0,True,0,614015,,,,,,,,,,,
4UeoZ7ufmdLv5ZNpoYCX4Cnud9LuLpHJyyvZwRbpgGSW,9,0,True,0,566764,,,,,,,,,,,
Dx1qqmSFoJ8Fko2xcUpYbQ95eYfzkKhqGxcrZVoFpump,189,0,True,0,564138,,,,,,,,,,,
4ddtVZbrQ1JivaA9rT9YxafyXwRbjYkXq7gfhPs8DQ4V,1,0,True,0,564121,,,,,,,,,,,
89RSsU93dKCLW2rnvexmzzVwwo8xkF41nT7VA1VWpump,8,0,True,0,528787,,,,,,,,,,,
65ZfvDHPXnZxUpGYxruAaMWRjus4i4eo6dGPd9Rppump,6,0,True,0,514921,,,,,,,,,,,
7GysKgQyT6nr4KhNM4J9cVQreTie45rLf9SKuxXSeDF7,7,0,True,0,509695,,,,,,,,,,,
B5CrrbdHp2rTxycmbwAy4tdLwxk2FeUFzsSoPer5pump,1,0,True,0,478471,,,,,,,,,,,
H4oVAFf8Uor3G3rwuHMmACqaY1HMRVSeDg4zk8nzpump,1,0,True,0,454501,,,,,,,,,,,
ADWtiF1roQR2LXkV7UB3pBRXuh5hCWfp6zF8tRvLStxo,7,0,True,0,452203,,,,,,,,,,,
24ciaAuJ9gYHFiBGo9umfXTLcnZv2DGZ29qW2uZWpump,22,0,True,0,448471,,,,,,,,,,,
8YBBhovjGX1EpZ6jJqKHamhqn3c6SBc2dmmGwX43pump,1,0,True,0,443884,,,,,,,,,,,
4YQchgMod9WqHCVJmbduGr4vG5QrLXJqfrsTTmkapump,12,0,True,0,443810,,,,,,,,,,,
99Eqt9f1pDiBfaRQJUpxMcbLMHgyGtSLj5Nbgmj7HSzo,1,0,True,0,441054,,,,,,,,,,,
3z1aun6tqmGGD75w23DLcQawy655xMgPJTgmRy2cpump,1,0,True,0,432839,,,,,,,,,,,
GN8cnxehow6suzvczfM2ZzangFMRSxFQUL4Yt36gpump,2,0,True,0,427350,,,,,,,,,,,
J3BLJyPNMV1YHtqn81wUjTq4KsB3mFD8WKez44EJpump,2,0,True,0,425904,,,,,,,,,,,
FYocWZxfrGyqAXmLAatXws6zb56pbY2gZUa3KqVpQEk2,9,0,True,0,419209,,,,,,,,,,,
3NDr1uLVdeNQKpdHasDC3SpQb1A2w3QEQ9x9fwSNpump,2,0,True,0,413022,,,,,,,,,,,
ETMYJeCNgm3HW63Z6fSz7Ks6U7KzVcrMWPdE1822pump,1,0,True,0,402593,,,,,,,,,,,
HpQ7g272RNeDbeCfKEZrBdPJG6bTSHtBtsQddaoipump,1,0,True,0,395685,,,,,,,,,,,
F1VET93pHMiaQbDQEefDfcAkGCQk3yTq7ihg5diCpump,1,0,True,0,395660,,,,,,,,,,,
388MmbRP3mvHyiiNtL5mGcEN3cGrKibj8jUjvRo1yK9W,1,0,True,0,395614,,,,,,,,,,,
3cRRwsW47pxYF2pbLKjGJhp1u2nBajfJLgTqeCaBpump,1,0,True,0,392248,,,,,,,,,,,
4eo7RywxSifvBaorqKhr7JE5qYH4Ufc3BAX7NJEwoEuS,2,0,True,0,384238,,,,,,,,,,,
kRSYfJiDDjbA5B6VtwweBG4RA8moGyTam6fGW5HvDja,9,0,True,0,377968,,,,,,,,,,,
oou2cQqU3kpWJ23BGMm4BuBbJ72nnEbrfHHioDzanxs,1,0,True,0,373248,,,,,,,,,,,
4T1KogxQcpvNKRwr2zbsMbg6hxUp1XNCgPTZGTrBpump,1,0,True,0,371793,,,,,,,,,,,
DnsP5EFLTVbFDhRpodTXXrHrW7Hz1LyQfNMgyHCFpump,2,0,True,0,369229,,,,,,,,,,,
Be3xxfigaYz4hVNzZ3KUyu26BhnQ6ABeGtx3YYLfrkSL,10,0,True,0,343383,,,,,,,,,,,
GyHaKaX8qYapyeXmUWYySnY3LZjuPe9B962VPbCipump,3,0,True,0,340628,,,,,,,,,,,
AcRtEv1cj7HeegGqXo4AGkruMVaHgFbnTK1Ao8t6pump,56,0,True,0,340613,,,,,,,,,,,
468eVWi964Jy1SAFq1HJixr7erdTzTp9NKnKzKPYpump,1,0,True,0,338621,,,,,,,,,,,
B9D5uDCxJmr9reRMoUdzvrS8sefwCDyQXGoTNNg3fgYw,2,0,True,0,309073,,,,,,,,,,,
2baicCwq8XaXZsni2jt9ofaBiNsCtFsjT5vHZUscpump,2,1,True,0,283432,0,0,1,1,120000001,0,0,0,,0,0
J4AUPKtYEqt5VHe8zWN72o7QzWt1wjVRyZxEbUDepump,6,3,True,0,272817,63,0,3,3,997928424,0,0,0,,0,0
HNKCC9MRbADQZeud31YvyDapjjD1JENkwvEKSvvgpump,5,1,True,0,268896,0,0,1,1,250039066,0,0,0,,0,0
77oUtJndaiELNWWn7PD2cRtW4EMo3dsFFPmye75apump,1,1,False,0,262999,0,0,1,0,98765431,0,0,0,,0,0
CEnCFYxux8H6gKUh6QMduyzAYxaPy3TQBZKy3hCVhoCQ,1,1,False,0,260566,0,0,1,0,41593564,0,0,0,,0,0
61a3gXbmshsQFwBPpJZoe6SNzV4qm35ZCJxFtK4Jpump,1,1,False,0,253640,0,0,1,0,740624999,0,0,0,,0,0
8aM5uquSuunJFo25zafzHr72AF4BTbWiz78rwYqpump,1,1,False,0,245663,0,0,1,1,314456620,0,0,0,,0,0
3S27EpFcXVMghvMxsBNKYsZ4sKug1pUsmY1fBXrBpump,1,1,False,0,244025,0,0,1,1,12813241,0,0,0,,0,0
FW4v33A3x7GTTDZBQxozWfPkxnJ3eowM3cye7uLNpump,1,1,False,0,241933,,0,1,0,0,0,0,0,,0,0
Di1EMmx93SbFcWymKJAiW3h8PfSss7XbzDrH6Epgpump,1,1,False,0,241719,0,0,1,0,740624999,0,0,0,,0,0
7VPDdPcjYp3h49sqMHtMtCppxqDhg8dDB1n5XLdppump,14,1,True,0,240468,0,0,1,1,42570987,0,0,0,,0,0
34x9M7rcmv9ycDA8LdcX8cfmR7THWKPxX1zUxXX1pump,3,1,True,0,235336,0,0,1,0,220493920,0,0,0,,0,0
7G5QwVrFkRu4QmDB3nAkqjxJFsBx9WYwm1eGBGmMpump,1,1,False,0,221566,0,0,1,1,491851851,0,0,0,,0,0
Au9ZAJ7nR3xtB9MXiUy57X4Z1x9RnyJGK5jkXMropump,9,6,True,0,211689,926,0,6,6,2235328764,0,0,0,,0,0
EoD9acf25KrHhJb7ime8nr3NyqDnf1stUMk3pyDZEmtS,11,4,True,0,209342,117,1726,4,3,15900336758,0,0,0,,0,0
AssE3k56q7kSPZSSnrtxXpnDvDn4n5MuwCAhARVopump,8,3,True,0,209231,113,112,3,2,5333333329,0,0,0,,0,0
BW7SPidghGfjYSCkVEGXTm2stHAhPLgm3sv9kVtBpump,4,2,True,0,205920,0,5,2,1,144313739,0,0,0,,0,0
BxaBbACnyDobzDzAGSDx6AwzoCexk4vx1SdpK6C5pump,1,1,False,0,198703,0,0,1,0,294007399,0,0,0,,0,0
2wmaWULyFCsfSuBreB2z6Rvqqqqj2CfyamaVJjV6pump,1,1,False,0,193341,0,0,1,1,69701854,0,0,0,,0,0
7jJUtWKJziKAhF9WLmm8Sfni1Xcz82bsYiKPVEeqpump,2,1,True,0,188955,0,0,1,1,8948429,0,0,0,,0,0
DTv3pz8peeZkZdvoHxHvJ1JUhty6ts9SGvfC4kGzDnn8,3,2,True,0,188874,361,0,2,2,1596415929,0,0,0,,0,0
FStDTDuGtYYBwVRZ18S6TYcoDiiEqVMiorrK89fqpump,1,1,False,0,170169,0,0,1,0,48888887,0,0,0,,0,0
SndJGLp57MtRWUrDDhZGT2p4mxmMsV7eyDoQkgMpump,2,2,False,0,167573,0,859,2,0,2904866036,0,0,0,,0,0
CDhGbKqXPEgh9PvwwwsVaPTJ7XwFh8Jpo7XzY6Zdpump,5,5,False,0,163184,1706,1732,5,3,6608978154,0,0,0,,0,0
4guznapky4xswi8Qoc16HGf3k3hoFD7yEbKxEZyGpump,1,1,False,0,161754,0,0,1,0,5438561,0,0,0,,0,0
HCnZgsFH45ZGR9irM6D5R2dTdFF2hcHBc9XeRXDcpump,1,1,False,0,158893,0,0,1,0,9876541,0,0,0,,0,0
