candidate_id,mint,signal_at,price_identity,mfe_bps_5m,mae_bps_5m,extrema_complete_5m,extrema_coverage_status_5m,5s_status,5s_return_bps,5s_mark_age_ms,5s_coverage_status,15s_status,15s_return_bps,15s_mark_age_ms,15s_coverage_status,30s_status,30s_return_bps,30s_mark_age_ms,30s_coverage_status,60s_status,60s_return_bps,60s_mark_age_ms,60s_coverage_status,2m_status,2m_return_bps,2m_mark_age_ms,2m_coverage_status,5m_status,5m_return_bps,5m_mark_age_ms,5m_coverage_status
fp1sig-c6b66f35695bf7db6b8126b5,51QG1ZM64Uba35riWjSZBhavfjWJRC4MR2p565uCpump,2026-08-18T14:40:13.457679+00:00,SOL_NATIVE,2378,-7279,False,GAP,OBSERVABLE,-3481,206,COMPLETE,OBSERVABLE,-5566,219,COMPLETE,OBSERVABLE,-6011,326,COMPLETE,COVERAGE_GAP,-465,609,GAP,COVERAGE_GAP,-5035,5336,GAP,COVERAGE_GAP,-7279,24751,GAP
fp1sig-3cb0bfa2f253d6cdb4af8c7c,JG5UPRfZgSCYNSEfF39DKVte7ZRPhhcJe6gKGgNBY2o,2026-08-18T14:40:21.450779+00:00,SOL_NATIVE,4736,-5134,False,GAP,OBSERVABLE,329,1956,COMPLETE,OBSERVABLE,96,474,COMPLETE,COVERAGE_GAP,-4546,2143,GAP,COVERAGE_GAP,-4594,22219,GAP,COVERAGE_GAP,-4594,82219,GAP,COVERAGE_GAP,-4594,262219,GAP
fp1sig-96af2fc7efb606a282e3ded8,5s2iWMwxgCnC4XQFNT4rD7VZzagzrwKMwtnjFtiEpump,2026-08-18T14:40:27.532144+00:00,SOL_NATIVE,6034,-4627,False,GAP,OBSERVABLE,-1097,316,COMPLETE,OBSERVABLE,5959,1500,COMPLETE,COVERAGE_GAP,3975,8914,GAP,COVERAGE_GAP,-4573,1521,GAP,COVERAGE_GAP,-4627,56890,GAP,COVERAGE_GAP,-4627,236890,GAP
fp1sig-7b9d0117210a48cbade8fe6e,DGJ5Lbz7EsSbjoPh2HFbjVoJY8imwZtekQTyEyebpump,2026-08-18T14:40:43.157472+00:00,SOL_NATIVE,1443,-1674,False,GAP,OBSERVABLE,49,4055,COMPLETE,COVERAGE_GAP,49,14055,GAP,COVERAGE_GAP,49,29055,GAP,COVERAGE_GAP,-1674,12533,GAP,COVERAGE_GAP,-1674,72533,GAP,COVERAGE_GAP,-541,91717,GAP
fp1sig-6089e4b6e2115b3f50313a9e,DoFD8FyDMUbwBKxaGciJsy8ArRDmkuVkcn778jDBpump,2026-08-18T14:41:26.938785+00:00,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,,False,GAP,NO_FUTURE_PRICE,,,COMPLETE,COVERAGE_GAP,,,GAP,COVERAGE_GAP,,,GAP,COVERAGE_GAP,,,GAP,COVERAGE_GAP,,,GAP,COVERAGE_GAP,,,GAP
fp1sig-5d9b3190cd3e22a2c1866736,DwKdw37UzUPb1AtfpSMNtdXqRCNC83HeBb8neyJipump,2026-08-18T14:41:36.688187+00:00,SOL_NATIVE,3950,-1153,False,GAP,OBSERVABLE,1,2049,COMPLETE,OBSERVABLE,-1103,2329,COMPLETE,OBSERVABLE,-1153,14210,COMPLETE,COVERAGE_GAP,-1153,44210,GAP,COVERAGE_GAP,2587,17843,GAP,COVERAGE_GAP,1944,63819,GAP
fp1sig-5f847e371481c5e2102cd390,A8FbNYoi78rNmFfz6Tk8aXTxu5XHsXA8AhAxQjEFpump,2026-08-18T14:41:56.581559+00:00,SOL_NATIVE,-845,-4594,False,GAP,OBSERVABLE,-845,1834,COMPLETE,OBSERVABLE,-4594,4487,COMPLETE,COVERAGE_GAP,-2938,9920,GAP,COVERAGE_GAP,-2938,39920,GAP,COVERAGE_GAP,-2938,99920,GAP,COVERAGE_GAP,-2938,279920,GAP
fp1sig-318c04514748960a4d5ea210,8rfwKyybVhx6XRjTws5WcJXn3hxnyUnPip4uDUbE2Th6,2026-08-18T14:41:58.736462+00:00,SOL_NATIVE,564,-2839,False,GAP,OBSERVABLE,418,2958,COMPLETE,OBSERVABLE,559,4474,COMPLETE,COVERAGE_GAP,-1869,3844,GAP,COVERAGE_GAP,-1870,13874,GAP,COVERAGE_GAP,-1434,27195,GAP,COVERAGE_GAP,-2839,168516,GAP
fp1sig-c49faa66ad0be41911f3e6ba,4GbqyqMooq6NRJ8uJpzqYuUaabuzHf8qjuv1k5aypump,2026-08-18T14:42:03.891110+00:00,SOL_NATIVE,4950,-6284,False,GAP,OBSERVABLE,1149,781,COMPLETE,COVERAGE_GAP,4007,3297,GAP,COVERAGE_GAP,-6061,3326,GAP,COVERAGE_GAP,-6195,9419,GAP,COVERAGE_GAP,-5822,29804,GAP,COVERAGE_GAP,-6284,166806,GAP
fp1sig-cc73f23662c6a0f8172c801e,G93EkCbMEm5pusi8rXuc6QvPDJ6YTmJVuPjRVt1Bpump,2026-08-18T14:42:58.181901+00:00,SOL_NATIVE,402,-6212,False,GAP,COVERAGE_GAP,402,2672,GAP,COVERAGE_GAP,402,12672,GAP,COVERAGE_GAP,-6037,6767,GAP,COVERAGE_GAP,-6037,36767,GAP,COVERAGE_GAP,-6212,20869,GAP,COVERAGE_GAP,-6212,200869,GAP
