parameter_set_id,combo_index,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,candidate_id,mint,signal_at,price_identity,mfe_bps_5m,mae_bps_5m,extrema_complete_5m,5s_status,5s_return_bps,5s_mark_age_ms,15s_status,15s_return_bps,15s_mark_age_ms,30s_status,30s_return_bps,30s_mark_age_ms,60s_status,60s_return_bps,60s_mark_age_ms,2m_status,2m_return_bps,2m_mark_age_ms,5m_status,5m_return_bps,5m_mark_age_ms
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-0be292daeb426f1f6e80d38d,51QG1ZM64Uba35riWjSZBhavfjWJRC4MR2p565uCpump,2026-08-18T14:40:13.457679+00:00,SOL_NATIVE,2378,-7279,False,OBSERVABLE,-3481,206,OBSERVABLE,-5566,219,OBSERVABLE,-6011,326,COVERAGE_GAP,-465,609,COVERAGE_GAP,-5035,5336,COVERAGE_GAP,-7279,24751
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-6819765ace811b6f56fd7c37,JG5UPRfZgSCYNSEfF39DKVte7ZRPhhcJe6gKGgNBY2o,2026-08-18T14:40:21.450779+00:00,SOL_NATIVE,4736,-5134,False,OBSERVABLE,329,1956,OBSERVABLE,96,474,COVERAGE_GAP,-4546,2143,COVERAGE_GAP,-4594,22219,COVERAGE_GAP,-4594,82219,COVERAGE_GAP,-4594,262219
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-865d57196d85ead19614637f,5s2iWMwxgCnC4XQFNT4rD7VZzagzrwKMwtnjFtiEpump,2026-08-18T14:40:27.532144+00:00,SOL_NATIVE,6034,-4627,False,OBSERVABLE,-1097,316,OBSERVABLE,5959,1500,COVERAGE_GAP,3975,8914,COVERAGE_GAP,-4573,1521,COVERAGE_GAP,-4627,56890,COVERAGE_GAP,-4627,236890
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-3e52036691f3618019bac67f,DGJ5Lbz7EsSbjoPh2HFbjVoJY8imwZtekQTyEyebpump,2026-08-18T14:40:43.157472+00:00,SOL_NATIVE,1443,-1674,False,OBSERVABLE,49,4055,COVERAGE_GAP,49,14055,COVERAGE_GAP,49,29055,COVERAGE_GAP,-1674,12533,COVERAGE_GAP,-1674,72533,COVERAGE_GAP,-541,91717
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-5d47654d80726e170f11f161,DoFD8FyDMUbwBKxaGciJsy8ArRDmkuVkcn778jDBpump,2026-08-18T14:41:26.938785+00:00,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,,False,NO_FUTURE_PRICE,,,COVERAGE_GAP,,,COVERAGE_GAP,,,COVERAGE_GAP,,,COVERAGE_GAP,,,COVERAGE_GAP,,
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-304db4dd37608bf853cc5a2d,DwKdw37UzUPb1AtfpSMNtdXqRCNC83HeBb8neyJipump,2026-08-18T14:41:36.688187+00:00,SOL_NATIVE,3950,-1153,False,OBSERVABLE,1,2049,OBSERVABLE,-1103,2329,OBSERVABLE,-1153,14210,COVERAGE_GAP,-1153,44210,COVERAGE_GAP,2587,17843,COVERAGE_GAP,1944,63819
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-0c0f920260181958c7f3f0ba,A8FbNYoi78rNmFfz6Tk8aXTxu5XHsXA8AhAxQjEFpump,2026-08-18T14:41:56.581559+00:00,SOL_NATIVE,0,-4594,False,OBSERVABLE,-845,1834,OBSERVABLE,-4594,4487,COVERAGE_GAP,-2938,9920,COVERAGE_GAP,-2938,39920,COVERAGE_GAP,-2938,99920,COVERAGE_GAP,-2938,279920
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-154850422a8c081a6ec805cf,8rfwKyybVhx6XRjTws5WcJXn3hxnyUnPip4uDUbE2Th6,2026-08-18T14:41:58.736462+00:00,SOL_NATIVE,564,-2839,False,OBSERVABLE,418,2958,OBSERVABLE,559,4474,COVERAGE_GAP,-1869,3844,COVERAGE_GAP,-1870,13874,COVERAGE_GAP,-1434,27195,COVERAGE_GAP,-2839,168516
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-f16fe4442a7ab0c18b74779f,4GbqyqMooq6NRJ8uJpzqYuUaabuzHf8qjuv1k5aypump,2026-08-18T14:42:03.891110+00:00,SOL_NATIVE,4950,-6284,False,OBSERVABLE,1149,781,COVERAGE_GAP,4007,3297,COVERAGE_GAP,-6061,3326,COVERAGE_GAP,-6195,9419,COVERAGE_GAP,-5822,29804,COVERAGE_GAP,-6284,166806
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-45aa6026c8e6c7fb5a2bfb95,G93EkCbMEm5pusi8rXuc6QvPDJ6YTmJVuPjRVt1Bpump,2026-08-18T14:42:58.181901+00:00,SOL_NATIVE,402,-6212,False,COVERAGE_GAP,402,2672,COVERAGE_GAP,402,12672,COVERAGE_GAP,-6037,6767,COVERAGE_GAP,-6037,36767,COVERAGE_GAP,-6212,20869,COVERAGE_GAP,-6212,200869
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-f539c63f19afe02f5ca31f5f,3ozDvt3ZGhGG4VkHUj4A7oSasPATSUceG3SonX2XYrL2,2026-08-18T14:43:22.651309+00:00,SOL_NATIVE,515,-5794,False,OBSERVABLE,177,1274,OBSERVABLE,-598,2260,COVERAGE_GAP,-1619,11089,COVERAGE_GAP,-3941,12453,COVERAGE_GAP,-3941,72453,COVERAGE_GAP,-5794,13126
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-186a4287f35cb32a50754c82,CbewmdDq2BimsA5FDqZnqYwrJyQVY3TbbdHBbjRYpump,2026-08-18T14:43:23.823694+00:00,SOL_NATIVE,2047,-9432,False,NO_FUTURE_PRICE,,,OBSERVABLE,-800,6139,COVERAGE_GAP,159,412,COVERAGE_GAP,145,4025,COVERAGE_GAP,-9290,36546,COVERAGE_GAP,-9330,161842
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-8e9266688aa4a90498e8c961,J3HqP4wLgW3PCeztsdUtaxfjuw9GU4KWGB9HQjABpump,2026-08-18T14:43:31.565962+00:00,SOL_NATIVE,0,-2016,False,NO_FUTURE_PRICE,,,NO_FUTURE_PRICE,,,COVERAGE_GAP,,,COVERAGE_GAP,-715,27005,COVERAGE_GAP,-715,87005,COVERAGE_GAP,-2016,28787
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-6cbf5fdc6a51f7c2d471fc0e,24qDEfnRLxeHdEboaa6RA4VYXQeZvpWzSMk1sdzQpump,2026-08-18T14:43:39.043667+00:00,SOL_NATIVE,0,-1099,False,OBSERVABLE,-1099,1116,COVERAGE_GAP,-1099,11116,COVERAGE_GAP,-1099,26116,COVERAGE_GAP,-1099,56116,COVERAGE_GAP,-1099,116116,COVERAGE_GAP,-1099,296116
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-362ead4d1edb64cec3e21047,F6HD4wxw2Nv3UZZgJKYz32uRpC7MUVM68w5fmiWbpump,2026-08-18T14:43:52.029681+00:00,SOL_NATIVE,3467,-5150,False,OBSERVABLE,447,879,OBSERVABLE,238,2498,OBSERVABLE,1271,868,COVERAGE_GAP,585,1922,COVERAGE_GAP,-3956,827,COVERAGE_GAP,-4853,84447
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-f06e761ad49cdbcbd23aa3ae,EiTdgDdinDDRutBUkZULxbGs5K2v9SJ9GmDqpTPMpump,2026-08-18T14:44:22.494510+00:00,SOL_NATIVE,0,-9753,False,OBSERVABLE,-3282,653,COVERAGE_GAP,-5320,7941,COVERAGE_GAP,-5320,22941,COVERAGE_GAP,-5320,52941,COVERAGE_GAP,-5320,112941,COVERAGE_GAP,-9753,69843
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-1725cf7c86c1d03b3336533a,Dtoz9eFU6orYN2ZBvSFNDWJzJTnJkT1yVDjizTFbpump,2026-08-18T14:45:15.726972+00:00,SOL_NATIVE,7624,-3521,False,COVERAGE_GAP,416,4951,COVERAGE_GAP,4977,5350,COVERAGE_GAP,3669,602,COVERAGE_GAP,7582,1746,COVERAGE_GAP,1171,563,COVERAGE_GAP,-2119,1891
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-56405586ff2c32cf79cb005b,BYh8yraJPYtngRsQ16gfmFaA6UmiKvb6Q6f184zEpump,2026-08-18T14:45:25.485724+00:00,SOL_NATIVE,9430,0,False,OBSERVABLE,358,2086,OBSERVABLE,619,7585,OBSERVABLE,869,4213,COVERAGE_GAP,1549,26621,COVERAGE_GAP,5328,4199,COVERAGE_GAP,6745,34424
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-3c9f6a682a906319ce2e3ffa,FpWrRbwR7GYRdeeqo7ZfASE5PuCPh1vZ8X97NbqSpump,2026-08-18T14:45:58.801455+00:00,SOL_NATIVE,740,0,False,COVERAGE_GAP,740,4897,COVERAGE_GAP,740,14897,COVERAGE_GAP,740,29897,COVERAGE_GAP,740,59897,COVERAGE_GAP,740,119897,COVERAGE_GAP,740,299897
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-bd4ebfe2ff238b42f2c65393,82c949QyXN9ziLsAhPyGXW39rDj1ZsdLQAv9fCjXpump,2026-08-18T14:46:30.594172+00:00,SOL_NATIVE,26040,-2508,False,OBSERVABLE,-921,344,OBSERVABLE,-2508,883,COVERAGE_GAP,22088,1234,COVERAGE_GAP,22504,1399,COVERAGE_GAP,25197,2372,COVERAGE_GAP,1840,16882
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-f0275b3d0273ab14cd9b1699,9RNoZoh5AZ5iWYBT4aYMtL942b1XqKwgYpe2XS8Ypump,2026-08-18T14:47:56.105338+00:00,SOL_NATIVE,1680,-818,False,OBSERVABLE,1089,118,OBSERVABLE,1215,1616,COVERAGE_GAP,1215,16616,COVERAGE_GAP,1215,46616,COVERAGE_GAP,-818,10175,COVERAGE_GAP,-818,190175
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,fp1sig-d737bed6ed82d078d374a914,6TF1zu2MoEusj39JHJYjh9T5Grg5xdTH3XyfM9Wppump,2026-08-18T14:47:59.398028+00:00,SOL_NATIVE,18303,-9766,False,NO_FUTURE_PRICE,,,OBSERVABLE,3636,1775,COVERAGE_GAP,18303,1172,COVERAGE_GAP,15287,2511,COVERAGE_GAP,-6695,2806,COVERAGE_GAP,-9766,3420
