parameter_set_id,combo_index,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,complete_5m_mfe_p50_bps,complete_5m_mae_p50_bps,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,3901,230,3623,48,0,0,230,3901,121,-449,315,987,127,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,1679,-5517,127,181,67,44
FP1-EXP0002-A-002-R500-T2-B2,2,500,2,2,3901,205,3663,33,0,0,205,3901,110,-350,340,1007,113,-815,196,1177,61,-1153,44,1142,20,-3054,5,4048,18,-4501,-2376,4192,6,-8571,-6374,-2342,6,1266,-7266,113,196,61,44
FP1-EXP0002-A-011-R500-T5-B1,11,500,5,1,3901,202,3664,35,0,0,202,3901,107,-281,334,1007,106,-691,192,983,60,-586,309,872,24,-3054,5,4048,22,-3839,-1403,4192,10,-8571,-6374,-2833,10,1266,-7266,106,192,60,309
FP1-EXP0002-A-012-R500-T5-B2,12,500,5,2,3901,188,3688,25,0,0,188,3901,104,-281,334,890,101,-402,196,983,55,-583,309,1142,18,-2746,900,5462,16,-3839,-1958,4192,6,-8571,-6374,-2342,6,1266,-7266,101,196,55,309
FP1-EXP0002-A-036-R1500-T5-B1,36,1500,5,1,3901,176,3691,34,0,0,176,3901,93,-84,308,1089,95,-744,201,1508,51,-1280,44,1142,22,-3686,-253,4048,20,-4323,-1958,4192,8,-8571,-6374,-3863,8,0,-7266,95,201,51,44
FP1-EXP0002-A-037-R1500-T5-B2,37,1500,5,2,3901,162,3714,25,0,0,162,3901,90,-84,308,1089,90,-461,238,1508,47,-1052,44,1142,17,-2746,900,4048,15,-3839,-1958,7115,5,-6374,-3863,-2342,5,1266,-5517,90,238,47,44
FP1-EXP0002-A-066-R2000-T7-B1,66,2000,7,1,3901,148,3733,20,0,0,148,3901,82,0,358,1119,83,-402,238,1345,43,-1052,297,1271,19,-3686,5,4456,16,-3839,-1958,4192,6,-6208,-4555,-2342,6,2780,-5517,83,238,43,297
FP1-EXP0002-A-038-R1500-T5-B3,38,1500,5,3,3901,145,3740,16,0,0,145,3901,87,-114,308,1089,85,-212,241,1345,43,-586,44,872,15,-2746,900,3755,13,-2772,-1958,4192,4,-8235,-3863,-2342,4,1266,-5517,85,241,43,44
FP1-EXP0002-A-054-R2000-T2-B5,54,2000,2,5,3901,114,3782,5,0,0,114,3901,74,-114,261,662,68,-350,201,865,33,-253,331,872,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,1266,-5517,68,201,33,331
FP1-EXP0002-A-059-R2000-T3-B5,59,2000,3,5,3901,114,3782,5,0,0,114,3901,74,-114,261,662,68,-350,201,865,33,-253,331,872,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,1266,-5517,68,201,33,331
FP1-EXP0002-A-064-R2000-T5-B5,64,2000,5,5,3901,114,3782,5,0,0,114,3901,74,-114,261,662,68,-350,201,865,33,-253,331,872,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,1266,-5517,68,201,33,331
FP1-EXP0002-A-102-R5000-T2-B2,102,5000,2,2,3901,96,3789,16,0,0,96,3901,51,-356,308,1119,50,-135,238,2583,25,-253,331,1271,12,-2376,2818,7333,9,-1958,1763,7115,3,-8869,-6374,-2342,3,10890,-7266,50,238,25,331
FP1-EXP0002-A-107-R5000-T3-B2,107,5000,3,2,3901,96,3789,16,0,0,96,3901,51,-356,308,1119,50,-135,238,2583,25,-253,331,1271,12,-2376,2818,7333,9,-1958,1763,7115,3,-8869,-6374,-2342,3,10890,-7266,50,238,25,331
FP1-EXP0002-A-030-R1500-T2-B9,30,1500,2,9,3901,92,3807,2,0,0,92,3901,69,0,315,790,60,-200,241,1215,29,5,331,869,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,60,241,29,331
FP1-EXP0002-A-035-R1500-T3-B9,35,1500,3,9,3901,92,3807,2,0,0,92,3901,69,0,315,790,60,-200,241,1215,29,5,331,869,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,60,241,29,331
FP1-EXP0002-A-040-R1500-T5-B9,40,1500,5,9,3901,92,3807,2,0,0,92,3901,69,0,315,790,60,-200,241,1215,29,5,331,869,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,60,241,29,331
FP1-EXP0002-A-045-R1500-T7-B9,45,1500,7,9,3901,92,3807,2,0,0,92,3901,69,0,315,790,60,-200,241,1215,29,5,331,869,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,0,-3863,60,241,29,331
FP1-EXP0002-A-046-R1500-T24-B1,46,1500,24,1,3901,90,3806,5,0,0,90,3901,61,26,358,710,55,-106,250,1215,30,-586,44,826,10,-5798,-253,4048,7,-4375,-253,7115,2,-6374,-6374,3614,2,12168,-7266,55,250,30,44
FP1-EXP0002-A-047-R1500-T24-B2,47,1500,24,2,3901,90,3806,5,0,0,90,3901,61,26,358,710,55,-106,250,1215,30,-586,44,826,10,-5798,-253,4048,7,-4375,-253,7115,2,-6374,-6374,3614,2,12168,-7266,55,250,30,44
FP1-EXP0002-A-050-R1500-T24-B9,50,1500,24,9,3901,75,3825,1,0,0,75,3901,55,31,371,790,48,0,250,1215,25,-253,297,869,6,-253,-10,7333,4,-253,4192,7115,0,,,,0,,,48,250,25,297
FP1-EXP0002-A-105-R5000-T2-B9,105,5000,2,9,3901,58,3843,0,0,0,58,3901,44,8,308,710,36,0,238,1073,19,33,390,1271,7,-2376,2818,7333,5,-253,4192,7115,1,-2342,-2342,-2342,1,1266,-2763,36,238,19,390
FP1-EXP0002-A-110-R5000-T3-B9,110,5000,3,9,3901,58,3843,0,0,0,58,3901,44,8,308,710,36,0,238,1073,19,33,390,1271,7,-2376,2818,7333,5,-253,4192,7115,1,-2342,-2342,-2342,1,1266,-2763,36,238,19,390
FP1-EXP0002-A-115-R5000-T5-B9,115,5000,5,9,3901,58,3843,0,0,0,58,3901,44,8,308,710,36,0,238,1073,19,33,390,1271,7,-2376,2818,7333,5,-253,4192,7115,1,-2342,-2342,-2342,1,1266,-2763,36,238,19,390
FP1-EXP0002-A-120-R5000-T7-B9,120,5000,7,9,3901,58,3843,0,0,0,58,3901,44,8,308,710,36,0,238,1073,19,33,390,1271,7,-2376,2818,7333,5,-253,4192,7115,1,-2342,-2342,-2342,1,1266,-2763,36,238,19,390
FP1-EXP0002-A-155-R12500-T2-B9,155,12500,2,9,3901,23,3877,0,1,0,23,3901,16,26,396,1314,15,-152,247,2559,7,-621,392,1459,3,-7333,7333,20678,2,7115,7115,12057,0,,,,0,,,15,247,7,392
FP1-EXP0002-A-160-R12500-T3-B9,160,12500,3,9,3901,23,3877,0,1,0,23,3901,16,26,396,1314,15,-152,247,2559,7,-621,392,1459,3,-7333,7333,20678,2,7115,7115,12057,0,,,,0,,,15,247,7,392
FP1-EXP0002-A-165-R12500-T5-B9,165,12500,5,9,3901,23,3877,0,1,0,23,3901,16,26,396,1314,15,-152,247,2559,7,-621,392,1459,3,-7333,7333,20678,2,7115,7115,12057,0,,,,0,,,15,247,7,392
FP1-EXP0002-A-170-R12500-T7-B9,170,12500,7,9,3901,23,3877,0,1,0,23,3901,16,26,396,1314,15,-152,247,2559,7,-621,392,1459,3,-7333,7333,20678,2,7115,7115,12057,0,,,,0,,,15,247,7,392
