parameter_set_id,combo_index,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,complete_5m_mfe_p50_bps,complete_5m_mae_p50_bps,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0002-A-001-R500-T2-B1,1,500,2,1,3901,230,3623,48,0,0,230,3901,121,-449,315,987,127,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,1679,-5517,127,181,67,44,True
FP1-EXP0002-A-002-R500-T2-B2,2,500,2,2,3901,205,3663,33,0,0,205,3901,110,-350,340,1007,113,-815,196,1177,61,-1153,44,1142,20,-3054,5,4048,18,-4501,-2376,4192,6,-8571,-6374,-2342,6,1266,-7266,113,196,61,44,True
FP1-EXP0002-A-003-R500-T2-B3,3,500,2,3,3901,174,3709,18,0,0,174,3901,101,-288,340,890,99,-351,196,983,53,-586,44,869,17,-3054,5,2965,15,-4501,-2376,4192,4,-8235,-3863,-2342,4,1266,-5517,99,196,53,44,False
FP1-EXP0002-A-004-R500-T2-B5,4,500,2,5,3901,140,3754,7,0,0,140,3901,88,-113,315,726,83,-351,152,721,44,-283,122,811,15,-2746,900,4048,12,-3839,-2376,1730,4,-8364,-3863,-2342,4,1266,-5517,83,152,44,122,False
FP1-EXP0002-A-005-R500-T2-B9,5,500,2,9,3901,105,3794,2,0,0,105,3901,74,0,350,790,67,-200,201,1012,35,-186,297,811,11,-3054,5,7333,8,-3839,-253,4192,2,-3863,-3863,-2342,2,0,-3863,67,201,35,297,False
FP1-EXP0002-A-006-R500-T3-B1,6,500,3,1,3901,223,3633,45,0,0,223,3901,116,-449,302,902,122,-906,152,1030,66,-1280,44,872,26,-3054,-253,4048,24,-4501,-1958,2808,10,-8571,-6374,-2833,10,1266,-7266,122,152,66,44,False
FP1-EXP0002-A-007-R500-T3-B2,7,500,3,2,3901,203,3666,32,0,0,203,3901,108,-350,340,987,112,-815,194,1030,61,-1052,44,872,20,-3054,5,4048,18,-4501,-2376,4192,6,-8571,-6374,-2342,6,1266,-7266,112,194,61,44,False
FP1-EXP0002-A-008-R500-T3-B3,8,500,3,3,3901,174,3709,18,0,0,174,3901,101,-288,340,890,99,-351,196,983,53,-586,44,869,17,-3054,5,2965,15,-4501,-2376,4192,4,-8235,-3863,-2342,4,1266,-5517,99,196,53,44,False
FP1-EXP0002-A-009-R500-T3-B5,9,500,3,5,3901,140,3754,7,0,0,140,3901,88,-113,315,726,83,-351,152,721,44,-283,122,811,15,-2746,900,4048,12,-3839,-2376,1730,4,-8364,-3863,-2342,4,1266,-5517,83,152,44,122,False
FP1-EXP0002-A-010-R500-T3-B9,10,500,3,9,3901,105,3794,2,0,0,105,3901,74,0,350,790,67,-200,201,1012,35,-186,297,811,11,-3054,5,7333,8,-3839,-253,4192,2,-3863,-3863,-2342,2,0,-3863,67,201,35,297,False
FP1-EXP0002-A-011-R500-T5-B1,11,500,5,1,3901,202,3664,35,0,0,202,3901,107,-281,334,1007,106,-691,192,983,60,-586,309,872,24,-3054,5,4048,22,-3839,-1403,4192,10,-8571,-6374,-2833,10,1266,-7266,106,192,60,309,True
FP1-EXP0002-A-012-R500-T5-B2,12,500,5,2,3901,188,3688,25,0,0,188,3901,104,-281,334,890,101,-402,196,983,55,-583,309,1142,18,-2746,900,5462,16,-3839,-1958,4192,6,-8571,-6374,-2342,6,1266,-7266,101,196,55,309,True
FP1-EXP0002-A-013-R500-T5-B3,13,500,5,3,3901,167,3717,17,0,0,167,3901,97,-281,334,726,94,-350,196,923,49,-298,297,869,16,-3054,5,2965,14,-3839,-2376,4192,4,-8235,-3863,-2342,4,1266,-5517,94,196,49,297,False
FP1-EXP0002-A-014-R500-T5-B5,14,500,5,5,3901,140,3754,7,0,0,140,3901,88,-113,315,726,83,-351,152,721,44,-283,122,811,15,-2746,900,4048,12,-3839,-2376,1730,4,-8364,-3863,-2342,4,1266,-5517,83,152,44,122,False
FP1-EXP0002-A-015-R500-T5-B9,15,500,5,9,3901,105,3794,2,0,0,105,3901,74,0,350,790,67,-200,201,1012,35,-186,297,811,11,-3054,5,7333,8,-3839,-253,4192,2,-3863,-3863,-2342,2,0,-3863,67,201,35,297,False
FP1-EXP0002-A-016-R500-T7-B1,16,500,7,1,3901,178,3695,28,0,0,178,3901,98,-94,350,1092,97,-402,181,1012,53,-583,44,811,20,-3686,-253,4048,17,-3839,-1958,4192,7,-6374,-4555,-2342,7,2780,-5517,97,181,53,44,False
FP1-EXP0002-A-017-R500-T7-B2,17,500,7,2,3901,170,3708,23,0,0,170,3901,95,-94,358,1092,94,-402,154,983,50,-583,41,811,17,-3054,5,4048,14,-3839,-2376,4192,5,-6374,-3863,-2342,5,1266,-5517,94,154,50,41,False
FP1-EXP0002-A-018-R500-T7-B3,18,500,7,3,3901,157,3726,18,0,0,157,3901,93,-113,340,890,91,-402,181,983,47,-583,41,807,16,-3686,-253,2818,13,-3839,-2376,11,4,-8235,-3863,-2342,4,1266,-5517,91,181,47,41,False
FP1-EXP0002-A-019-R500-T7-B5,19,500,7,5,3901,138,3756,7,0,0,138,3901,88,-113,334,726,83,-351,152,865,43,-286,74,602,15,-3054,5,4048,11,-3839,-2376,1730,4,-8364,-3863,-2342,4,1266,-5517,83,152,43,74,False
FP1-EXP0002-A-020-R500-T7-B9,20,500,7,9,3901,105,3794,2,0,0,105,3901,74,0,350,790,67,-200,201,1012,35,-186,297,811,11,-3054,5,7333,8,-3839,-253,4192,2,-3863,-3863,-2342,2,0,-3863,67,201,35,297,False
FP1-EXP0002-A-021-R500-T24-B1,21,500,24,1,3901,100,3795,6,0,0,100,3901,65,8,315,726,58,-152,238,865,33,-569,41,546,10,-5798,-253,4048,7,-4375,-253,7115,2,-6374,-6374,3614,2,12168,-7266,58,238,33,41,False
FP1-EXP0002-A-022-R500-T24-B2,22,500,24,2,3901,100,3795,6,0,0,100,3901,65,8,315,726,58,-152,238,865,33,-569,41,546,10,-5798,-253,4048,7,-4375,-253,7115,2,-6374,-6374,3614,2,12168,-7266,58,238,33,41,False
FP1-EXP0002-A-023-R500-T24-B3,23,500,24,3,3901,99,3797,5,0,0,99,3901,64,0,264,643,57,-186,196,721,32,-621,33,529,10,-5798,-253,3755,7,-4375,-253,7115,2,-8235,-8235,3614,2,12168,-8458,57,196,32,33,False
FP1-EXP0002-A-024-R500-T24-B5,24,500,24,5,3901,94,3804,3,0,0,94,3901,63,0,308,710,55,-152,196,721,32,-484,44,529,9,-2581,-10,4048,6,-2446,-253,4192,2,-8364,-8364,3614,2,12143,-8971,55,196,32,44,False
