parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,candidate_count,rejected_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier,neighbor_count,neighbors_with_15s_median,neighbor_15s_p50_median_bps,neighbor_15s_p50_min_bps,neighbor_15s_p50_max_bps,neighbors_with_30s_median,neighbor_30s_p50_median_bps,neighbor_30s_p50_min_bps,neighbor_30s_p50_max_bps
FP1-EXP0002-A-001-R500-T2-B1,500,2,1,230,0,127,181,67,44,True,3,3,152,152,196,3,44,33,44
FP1-EXP0002-A-002-R500-T2-B2,500,2,2,205,0,113,196,61,44,True,4,4,195,181,196,4,44,41,44
FP1-EXP0002-A-003-R500-T2-B3,500,2,3,174,0,99,196,53,44,False,4,4,196,152,238,4,44,41,122
FP1-EXP0002-A-004-R500-T2-B5,500,2,5,140,0,83,152,44,122,False,4,4,198,152,201,4,209,44,297
FP1-EXP0002-A-005-R500-T2-B9,500,2,9,105,0,67,201,35,297,False,3,3,201,152,241,3,297,122,331
FP1-EXP0002-A-006-R500-T3-B1,500,3,1,223,0,122,152,66,44,False,4,4,186,181,194,4,44,41,309
FP1-EXP0002-A-007-R500-T3-B2,500,3,2,203,0,112,194,61,44,False,5,5,196,152,196,5,44,41,309
FP1-EXP0002-A-008-R500-T3-B3,500,3,3,174,0,99,196,53,44,False,5,5,196,152,238,5,44,41,297
FP1-EXP0002-A-009-R500-T3-B5,500,3,5,140,0,83,152,44,122,False,5,5,196,152,201,5,122,44,297
FP1-EXP0002-A-010-R500-T3-B9,500,3,9,105,0,67,201,35,297,False,4,4,201,152,241,4,297,122,331
FP1-EXP0002-A-011-R500-T5-B1,500,5,1,202,0,106,192,60,309,True,4,4,188,152,201,4,44,44,309
FP1-EXP0002-A-012-R500-T5-B2,500,5,2,188,0,101,196,55,309,True,5,5,194,154,238,5,44,41,309
FP1-EXP0002-A-013-R500-T5-B3,500,5,3,167,0,94,196,49,297,False,5,5,196,152,241,5,44,41,309
FP1-EXP0002-A-014-R500-T5-B5,500,5,5,140,0,83,152,44,122,False,5,5,196,152,201,5,297,74,297
FP1-EXP0002-A-015-R500-T5-B9,500,5,9,105,0,67,201,35,297,False,4,4,201,152,241,4,297,122,331
FP1-EXP0002-A-016-R500-T7-B1,500,7,1,178,0,97,181,53,44,False,4,4,196,154,238,4,42,41,309
FP1-EXP0002-A-017-R500-T7-B2,500,7,2,170,0,94,154,50,41,False,5,5,196,181,238,5,44,41,309
FP1-EXP0002-A-018-R500-T7-B3,500,7,3,157,0,91,181,47,41,False,5,5,196,152,201,5,41,33,297
FP1-EXP0002-A-019-R500-T7-B5,500,7,5,138,0,83,152,43,74,False,5,5,196,152,201,5,122,41,297
FP1-EXP0002-A-020-R500-T7-B9,500,7,9,105,0,67,201,35,297,False,4,4,219,152,241,4,185,74,331
FP1-EXP0002-A-021-R500-T24-B1,500,24,1,100,0,58,238,33,41,False,3,3,238,181,250,3,44,41,44
FP1-EXP0002-A-022-R500-T24-B2,500,24,2,100,0,58,238,33,41,False,4,4,217,154,250,4,41,33,44
FP1-EXP0002-A-023-R500-T24-B3,500,24,3,99,0,57,196,32,33,False,4,4,217,181,241,4,41,41,44
FP1-EXP0002-A-024-R500-T24-B5,500,24,5,94,0,55,196,32,44,False,4,4,217,152,241,4,74,33,74
FP1-EXP0002-A-025-R500-T24-B9,500,24,9,83,0,51,238,28,74,False,3,3,201,196,250,3,297,44,297
