min_depth_bps,max_depth_bps,a_regime_count,a_with_clean_15s,a_with_clean_30s,median_A_candidate_count,median_A_h15_observable_n,median_of_A_h15_p50_bps,min_A_h15_p50_bps,max_A_h15_p50_bps,median_A_h30_observable_n,median_of_A_h30_p50_bps,min_A_h30_p50_bps,max_A_h30_p50_bps,global_frontier_incidence
1000,3500,5,5,5,65,43,173,123,181,17,297,33,297,0
1000,5500,5,5,5,83,54,201,181,201,25,331,44,331,0
1000,6000,5,5,5,84,55,201,133,238,26,331,41,331,0
1000,6500,5,5,5,85,56,238,152,238,27,297,41,390,0
1000,9000,5,5,5,96,60,238,181,241,29,331,44,390,4
2500,3500,5,5,5,19,16,247,123,542,7,529,22,2378,2
2500,5500,5,5,5,45,29,238,123,247,19,468,22,529,1
2500,6000,5,5,5,48,30,154,123,407,19,468,22,529,0
2500,6500,5,5,5,52,32,154,123,247,19,468,22,529,2
2500,9000,5,5,5,67,40,196,150,407,24,392,41,468,2
3000,3500,5,5,5,8,6,0,-153,247,3,22,22,22,0
3000,5500,5,5,5,35,20,238,36,238,14,-46,-253,22,0
3000,6000,5,5,5,39,20,238,36,247,14,22,-253,22,0
3000,6500,5,5,5,43,23,238,36,247,15,22,-253,517,0
3000,9000,5,5,5,61,33,238,36,247,21,41,-40,238,0
4000,5500,5,5,5,23,10,36,0,238,8,-253,-810,-253,0
4000,6000,5,5,5,26,11,0,0,238,9,-171,-253,-171,0
4000,6500,5,5,5,31,15,0,0,36,11,-171,-253,-171,0
4000,9000,5,5,5,47,24,196,36,238,17,-171,-171,41,0
6000,6500,5,5,5,4,4,983,-106,1020,2,195,-4368,4120,2
6000,9000,5,5,5,24,14,238,238,559,9,238,-835,392,2
