parameter_set_id,a_role,min_depth_bps,max_depth_bps,candidate_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,neighbor_count,neighbor_15s_median_of_medians_bps,neighbor_30s_median_of_medians_bps
FP1-EXP0003-B-001-CONTROL-R500-T2-U1-PD1000-3500,CONTROL,1000,3500,142,84,123,34,33,2,361,286
FP1-EXP0003-B-002-CONTROL-R500-T2-U1-PD1000-5500,CONTROL,1000,5500,192,109,181,57,44,3,133,33
FP1-EXP0003-B-003-CONTROL-R500-T2-U1-PD1000-6000,CONTROL,1000,6000,200,114,133,61,41,3,152,41
FP1-EXP0003-B-004-CONTROL-R500-T2-U1-PD1000-6500,CONTROL,1000,6500,202,115,152,62,41,3,150,41
FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,CONTROL,1000,9000,230,127,181,67,44,2,151,41
FP1-EXP0003-B-006-CONTROL-R500-T2-U1-PD2500-3500,CONTROL,2500,3500,44,29,542,12,529,3,123,22
FP1-EXP0003-B-007-CONTROL-R500-T2-U1-PD2500-5500,CONTROL,2500,5500,109,62,238,41,22,4,165,33
FP1-EXP0003-B-008-CONTROL-R500-T2-U1-PD2500-6000,CONTROL,2500,6000,117,67,150,45,22,4,141,22
FP1-EXP0003-B-009-CONTROL-R500-T2-U1-PD2500-6500,CONTROL,2500,6500,120,69,150,46,22,4,150,31
FP1-EXP0003-B-010-CONTROL-R500-T2-U1-PD2500-9000,CONTROL,2500,9000,159,91,150,58,41,3,150,22
FP1-EXP0003-B-011-CONTROL-R500-T2-U1-PD3000-3500,CONTROL,3000,3500,18,11,0,3,22,2,311,241
FP1-EXP0003-B-012-CONTROL-R500-T2-U1-PD3000-5500,CONTROL,3000,5500,85,44,80,31,-46,4,58,-12
FP1-EXP0003-B-013-CONTROL-R500-T2-U1-PD3000-6000,CONTROL,3000,6000,93,49,36,35,-46,4,58,-43
FP1-EXP0003-B-014-CONTROL-R500-T2-U1-PD3000-6500,CONTROL,3000,6500,97,52,36,37,-40,4,36,-43
FP1-EXP0003-B-015-CONTROL-R500-T2-U1-PD3000-9000,CONTROL,3000,9000,141,75,36,49,-40,3,36,-40
FP1-EXP0003-B-016-CONTROL-R500-T2-U1-PD4000-5500,CONTROL,4000,5500,50,19,80,18,-253,2,40,-108
FP1-EXP0003-B-017-CONTROL-R500-T2-U1-PD4000-6000,CONTROL,4000,6000,59,25,0,23,-171,3,36,-171
FP1-EXP0003-B-018-CONTROL-R500-T2-U1-PD4000-6500,CONTROL,4000,6500,65,30,0,27,-171,4,36,-105
FP1-EXP0003-B-019-CONTROL-R500-T2-U1-PD4000-9000,CONTROL,4000,9000,110,53,36,38,-171,3,36,-40
FP1-EXP0003-B-020-CONTROL-R500-T2-U1-PD6000-6500,CONTROL,6000,6500,12,8,206,5,195,2,119,33
FP1-EXP0003-B-021-CONTROL-R500-T2-U1-PD6000-9000,CONTROL,6000,9000,63,33,238,19,238,2,121,12
FP1-EXP0003-B-022-ROBUST_1-R1500-T5-U9-PD1000-3500,ROBUST_1,1000,3500,65,43,181,17,297,2,224,413
FP1-EXP0003-B-023-ROBUST_1-R1500-T5-U9-PD1000-5500,ROBUST_1,1000,5500,83,54,201,25,297,3,238,297
FP1-EXP0003-B-024-ROBUST_1-R1500-T5-U9-PD1000-6000,ROBUST_1,1000,6000,84,55,238,26,74,3,238,297
FP1-EXP0003-B-025-ROBUST_1-R1500-T5-U9-PD1000-6500,ROBUST_1,1000,6500,85,56,238,27,297,3,241,331
FP1-EXP0003-B-026-ROBUST_1-R1500-T5-U9-PD1000-9000,ROBUST_1,1000,9000,92,60,241,29,331,2,322,382
FP1-EXP0003-B-027-ROBUST_1-R1500-T5-U9-PD2500-3500,ROBUST_1,2500,3500,19,16,247,7,529,3,247,297
FP1-EXP0003-B-028-ROBUST_1-R1500-T5-U9-PD2500-5500,ROBUST_1,2500,5500,43,29,247,16,468,4,242,382
FP1-EXP0003-B-029-ROBUST_1-R1500-T5-U9-PD2500-6000,ROBUST_1,2500,6000,44,30,247,17,468,4,247,271
FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,ROBUST_1,2500,6500,46,32,247,18,468,4,247,382
FP1-EXP0003-B-031-ROBUST_1-R1500-T5-U9-PD2500-9000,ROBUST_1,2500,9000,57,40,407,23,468,3,247,331
FP1-EXP0003-B-032-ROBUST_1-R1500-T5-U9-PD3000-3500,ROBUST_1,3000,3500,8,5,247,3,22,2,242,138
FP1-EXP0003-B-033-ROBUST_1-R1500-T5-U9-PD3000-5500,ROBUST_1,3000,5500,33,18,238,12,-253,4,247,22
FP1-EXP0003-B-034-ROBUST_1-R1500-T5-U9-PD3000-6000,ROBUST_1,3000,6000,34,19,247,13,22,4,242,-74
FP1-EXP0003-B-035-ROBUST_1-R1500-T5-U9-PD3000-6500,ROBUST_1,3000,6500,36,21,247,14,22,4,247,31
FP1-EXP0003-B-036-ROBUST_1-R1500-T5-U9-PD3000-9000,ROBUST_1,3000,9000,48,30,247,20,41,3,247,41
FP1-EXP0003-B-037-ROBUST_1-R1500-T5-U9-PD4000-5500,ROBUST_1,4000,5500,18,6,0,5,-253,2,119,-212
FP1-EXP0003-B-038-ROBUST_1-R1500-T5-U9-PD4000-6000,ROBUST_1,4000,6000,20,8,0,7,-171,3,0,-171
FP1-EXP0003-B-039-ROBUST_1-R1500-T5-U9-PD4000-6500,ROBUST_1,4000,6500,22,10,0,8,-171,4,242,31
FP1-EXP0003-B-040-ROBUST_1-R1500-T5-U9-PD4000-9000,ROBUST_1,4000,9000,34,19,238,14,41,3,247,41
FP1-EXP0003-B-041-ROBUST_1-R1500-T5-U9-PD6000-6500,ROBUST_1,6000,6500,3,3,983,1,602,2,279,110
FP1-EXP0003-B-042-ROBUST_1-R1500-T5-U9-PD6000-9000,ROBUST_1,6000,9000,16,12,559,7,392,2,610,321
FP1-EXP0003-B-043-ROBUST_2-R2000-T3-U5-PD1000-3500,ROBUST_2,1000,3500,81,50,123,20,297,2,224,430
FP1-EXP0003-B-044-ROBUST_2-R2000-T3-U5-PD1000-5500,ROBUST_2,1000,5500,102,63,201,30,331,3,201,331
FP1-EXP0003-B-045-ROBUST_2-R2000-T3-U5-PD1000-6000,ROBUST_2,1000,6000,104,64,201,31,331,3,201,331
FP1-EXP0003-B-046-ROBUST_2-R2000-T3-U5-PD1000-6500,ROBUST_2,1000,6500,105,65,201,32,297,3,201,331
FP1-EXP0003-B-047-ROBUST_2-R2000-T3-U5-PD1000-9000,ROBUST_2,1000,9000,114,68,201,33,331,2,304,344
FP1-EXP0003-B-048-ROBUST_2-R2000-T3-U5-PD2500-3500,ROBUST_2,2500,3500,21,16,247,8,529,3,123,297
FP1-EXP0003-B-049-ROBUST_2-R2000-T3-U5-PD2500-5500,ROBUST_2,2500,5500,51,34,247,22,468,4,242,399
FP1-EXP0003-B-050-ROBUST_2-R2000-T3-U5-PD2500-6000,ROBUST_2,2500,6000,54,35,407,23,468,4,247,399
FP1-EXP0003-B-051-ROBUST_2-R2000-T3-U5-PD2500-6500,ROBUST_2,2500,6500,57,38,247,25,468,4,322,344
FP1-EXP0003-B-052-ROBUST_2-R2000-T3-U5-PD2500-9000,ROBUST_2,2500,9000,71,45,407,29,392,3,238,331
FP1-EXP0003-B-053-ROBUST_2-R2000-T3-U5-PD3000-3500,ROBUST_2,3000,3500,8,6,0,3,22,2,242,138
FP1-EXP0003-B-054-ROBUST_2-R2000-T3-U5-PD3000-5500,ROBUST_2,3000,5500,39,24,238,17,-253,4,242,-115
FP1-EXP0003-B-055-ROBUST_2-R2000-T3-U5-PD3000-6000,ROBUST_2,3000,6000,43,25,247,18,-253,4,238,-253
FP1-EXP0003-B-056-ROBUST_2-R2000-T3-U5-PD3000-6500,ROBUST_2,3000,6500,46,28,238,20,-253,4,242,-115
FP1-EXP0003-B-057-ROBUST_2-R2000-T3-U5-PD3000-9000,ROBUST_2,3000,9000,62,36,238,25,22,3,238,-171
FP1-EXP0003-B-058-ROBUST_2-R2000-T3-U5-PD4000-5500,ROBUST_2,4000,5500,23,11,238,10,-810,2,238,-253
FP1-EXP0003-B-059-ROBUST_2-R2000-T3-U5-PD4000-6000,ROBUST_2,4000,6000,28,13,238,12,-253,3,238,-253
FP1-EXP0003-B-060-ROBUST_2-R2000-T3-U5-PD4000-6500,ROBUST_2,4000,6500,31,16,0,14,-253,4,238,-253
FP1-EXP0003-B-061-ROBUST_2-R2000-T3-U5-PD4000-9000,ROBUST_2,4000,9000,47,24,238,19,-171,3,238,22
