parameter_set_id,combo_index,a_role,a_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps
FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,5,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,1000,9000,3901,230,3623,48,0,0,230,3901,121,-449,315,987,127,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,127,181,67,44
FP1-EXP0003-B-047-ROBUST_2-R2000-T3-U5-PD1000-9000,47,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,1000,9000,3901,114,3782,5,0,0,114,3901,74,-114,261,662,68,-350,201,865,33,-253,331,872,14,-2376,900,4048,11,-2772,-253,4192,4,-8364,-3863,-2342,4,68,201,33,331
FP1-EXP0003-B-007-CONTROL-R500-T2-U1-PD2500-5500,7,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,2500,5500,3901,109,3592,200,0,0,109,3901,64,-288,264,1089,62,-627,238,1508,41,-810,22,1403,18,-1805,1121,5462,16,-2446,-253,4192,8,-7446,-4555,-2551,8,62,238,41,22
FP1-EXP0003-B-068-ROBUST_3-R5000-T3-U2-PD1000-9000,68,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,1000,9000,3901,96,3789,16,0,0,96,3901,51,-356,308,1119,50,-135,238,2583,25,-253,331,1271,12,-2376,2818,7333,9,-1958,1763,7115,3,-8869,-6374,-2342,3,50,238,25,331
FP1-EXP0003-B-026-ROBUST_1-R1500-T5-U9-PD1000-9000,26,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,1000,9000,3901,92,3807,2,0,0,92,3901,69,0,315,790,60,-200,241,1215,29,5,331,869,10,-2376,5,7333,7,-2376,11,7115,2,-3863,-3863,-2342,2,60,241,29,331
FP1-EXP0003-B-052-ROBUST_2-R2000-T3-U5-PD2500-9000,52,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,2500,9000,3901,71,3824,6,0,0,71,3901,48,-52,195,542,45,-106,407,923,29,-621,392,872,10,-2584,900,4048,7,-2772,-2446,4192,3,-8588,-2551,3614,3,45,407,29,392
FP1-EXP0003-B-031-ROBUST_1-R1500-T5-U9-PD2500-9000,31,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,2500,9000,3901,57,3842,2,0,0,57,3901,45,19,264,610,40,-11,407,1215,23,-484,468,1271,7,-253,4048,7437,5,-253,4192,7115,1,-2551,-2551,-2551,1,40,407,23,468
FP1-EXP0003-B-051-ROBUST_2-R2000-T3-U5-PD2500-6500,51,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,2500,6500,3901,57,3784,60,0,0,57,3901,41,5,195,631,38,-152,247,923,25,-621,468,872,10,-2584,900,4048,7,-2772,-2446,4192,3,-8588,-2551,3614,3,38,247,25,468
FP1-EXP0003-B-072-ROBUST_3-R5000-T3-U2-PD2500-6500,72,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,2500,6500,3901,52,3779,70,0,0,52,3901,26,26,443,1910,29,-153,154,2909,19,-621,529,3560,11,-253,4048,7437,9,-1958,1763,7115,3,-8869,-6374,-2551,3,29,154,19,529
FP1-EXP0003-B-006-CONTROL-R500-T2-U1-PD2500-3500,6,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,2500,3500,3901,44,3505,352,0,0,44,3901,25,-288,371,2010,29,-56,542,2660,12,-621,529,2519,4,3697,4048,7437,3,4192,6200,48822,1,-6374,-6374,-6374,1,29,542,12,529
FP1-EXP0003-B-063-ROBUST_2-R2000-T3-U5-PD6000-9000,63,ROBUST_2,FP1-EXP0002-A-059-R2000-T3-B5,2000,3,5,6000,9000,3901,24,3871,6,0,0,24,3901,14,-106,238,610,14,-106,559,1352,9,-835,238,543,4,-5798,-4043,-1513,3,-9123,4087,14761,1,-8588,-8588,-8588,1,14,559,9,238
FP1-EXP0003-B-069-ROBUST_3-R5000-T3-U2-PD2500-3500,69,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,2500,3500,3901,19,3727,155,0,0,19,3901,11,26,631,2148,13,-152,150,2148,7,22,2378,5374,3,4048,7437,11783,2,4192,4192,48822,1,-6374,-6374,-6374,1,13,150,7,2378
FP1-EXP0003-B-042-ROBUST_1-R1500-T5-U9-PD6000-9000,42,ROBUST_1,FP1-EXP0002-A-040-R1500-T5-B9,1500,5,9,6000,9000,3901,16,3883,2,0,0,16,3901,13,62,300,610,12,-1427,559,1020,7,-835,392,1564,1,44102,44102,44102,1,14761,14761,14761,0,,,,0,12,559,7,392
FP1-EXP0003-B-083-ROBUST_3-R5000-T3-U2-PD6000-6500,83,ROBUST_3,FP1-EXP0002-A-107-R5000-T3-B2,5000,3,2,6000,6500,3901,6,3809,86,0,0,6,3901,3,-106,677,1022,5,-106,1020,1352,2,-4368,-4368,543,2,-5798,-5798,-4043,1,-9123,-9123,-9123,1,-8588,-8588,-8588,1,5,1020,2,-4368
