parameter_set_id,combo_index,a_role,a_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0003-B-001-CONTROL-R500-T2-U1-PD1000-3500,1,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,1000,3500,3901,142,3467,292,0,0,142,3901,81,-511,177,1089,84,-924,123,1030,34,-1153,33,1142,12,-3054,-842,4048,11,-5023,-1403,10127,2,-6374,-6374,-3863,2,84,123,34,33,False
FP1-EXP0003-B-002-CONTROL-R500-T2-U1-PD1000-5500,2,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,1000,5500,3901,192,3543,166,0,0,192,3901,107,-460,315,1089,109,-842,181,1030,57,-1052,44,1271,25,-2376,5,4048,23,-3839,-624,4192,9,-6374,-3863,-2342,9,109,181,57,44,False
FP1-EXP0003-B-003-CONTROL-R500-T2-U1-PD1000-6000,3,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,1000,6000,3901,200,3555,146,0,0,200,3901,111,-460,302,1007,114,-924,133,1012,61,-1153,41,1142,26,-2746,-253,4048,24,-4323,-1403,2808,10,-7446,-4555,-2342,10,114,133,61,41,False
FP1-EXP0003-B-004-CONTROL-R500-T2-U1-PD1000-6500,4,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,1000,6500,3901,202,3572,127,0,0,202,3901,112,-460,264,987,115,-924,152,1012,62,-1153,41,1142,26,-2746,-253,4048,24,-4323,-1403,2808,10,-7446,-4555,-2342,10,115,152,62,41,False
FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,5,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,1000,9000,3901,230,3623,48,0,0,230,3901,121,-449,315,987,127,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,127,181,67,44,True
FP1-EXP0003-B-006-CONTROL-R500-T2-U1-PD2500-3500,6,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,2500,3500,3901,44,3505,352,0,0,44,3901,25,-288,371,2010,29,-56,542,2660,12,-621,529,2519,4,3697,4048,7437,3,4192,6200,48822,1,-6374,-6374,-6374,1,29,542,12,529,True
FP1-EXP0003-B-007-CONTROL-R500-T2-U1-PD2500-5500,7,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,2500,5500,3901,109,3592,200,0,0,109,3901,64,-288,264,1089,62,-627,238,1508,41,-810,22,1403,18,-1805,1121,5462,16,-2446,-253,4192,8,-7446,-4555,-2551,8,62,238,41,22,True
FP1-EXP0003-B-008-CONTROL-R500-T2-U1-PD2500-6000,8,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,2500,6000,3901,117,3607,177,0,0,117,3901,68,-350,195,1007,67,-796,150,1215,45,-1280,22,1271,19,-2538,1121,5462,17,-2446,-253,4192,9,-7446,-4555,-2551,9,67,150,45,22,False
FP1-EXP0003-B-009-CONTROL-R500-T2-U1-PD2500-6500,9,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,2500,6500,3901,120,3627,154,0,0,120,3901,70,-288,195,1007,69,-796,150,1030,46,-1280,22,1271,19,-2538,1121,5462,17,-2446,-253,4192,9,-7446,-4555,-2551,9,69,150,46,22,False
FP1-EXP0003-B-010-CONTROL-R500-T2-U1-PD2500-9000,10,CONTROL,FP1-EXP0002-A-001-R500-T2-B1,500,2,1,2500,9000,3901,159,3689,53,0,0,159,3901,88,-174,195,816,91,-1214,150,1215,58,-1439,41,1271,20,-2584,900,4048,18,-2584,-624,4192,10,-8571,-6374,-2551,10,91,150,58,41,False
