parameter_set_id,combo_index,ab_role,ab_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,candidate_id,mint,signal_at,price_identity,mfe_bps_5m,mae_bps_5m,extrema_complete_5m,5s_status,5s_return_bps,5s_mark_age_ms,15s_status,15s_return_bps,15s_mark_age_ms,30s_status,30s_return_bps,30s_mark_age_ms,60s_status,60s_return_bps,60s_mark_age_ms,2m_status,2m_return_bps,2m_mark_age_ms,5m_status,5m_return_bps,5m_mark_age_ms
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,fp1sig-9db05d0ba5b4e6a6981f6764,51QG1ZM64Uba35riWjSZBhavfjWJRC4MR2p565uCpump,2026-08-18T14:40:13.457679+00:00,SOL_NATIVE,2378,-7279,False,OBSERVABLE,-3481,206,OBSERVABLE,-5566,219,OBSERVABLE,-6011,326,COVERAGE_GAP,-465,609,COVERAGE_GAP,-5035,5336,COVERAGE_GAP,-7279,24751
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,fp1sig-25cb6d905bcba62eaf85ab62,JG5UPRfZgSCYNSEfF39DKVte7ZRPhhcJe6gKGgNBY2o,2026-08-18T14:40:21.450779+00:00,SOL_NATIVE,4736,-5134,False,OBSERVABLE,329,1956,OBSERVABLE,96,474,COVERAGE_GAP,-4546,2143,COVERAGE_GAP,-4594,22219,COVERAGE_GAP,-4594,82219,COVERAGE_GAP,-4594,262219
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,fp1sig-9e8d259946a7ccb191578e46,5s2iWMwxgCnC4XQFNT4rD7VZzagzrwKMwtnjFtiEpump,2026-08-18T14:40:27.532144+00:00,SOL_NATIVE,6034,-4627,False,OBSERVABLE,-1097,316,OBSERVABLE,5959,1500,COVERAGE_GAP,3975,8914,COVERAGE_GAP,-4573,1521,COVERAGE_GAP,-4627,56890,COVERAGE_GAP,-4627,236890
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,fp1sig-dc3b315eaf742927c3531ef5,DGJ5Lbz7EsSbjoPh2HFbjVoJY8imwZtekQTyEyebpump,2026-08-18T14:40:43.157472+00:00,SOL_NATIVE,1443,-1674,False,OBSERVABLE,49,4055,COVERAGE_GAP,49,14055,COVERAGE_GAP,49,29055,COVERAGE_GAP,-1674,12533,COVERAGE_GAP,-1674,72533,COVERAGE_GAP,-541,91717
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,fp1sig-c4371488a8e93f35a3edb6d4,DoFD8FyDMUbwBKxaGciJsy8ArRDmkuVkcn778jDBpump,2026-08-18T14:41:26.938785+00:00,QUOTE:EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,,False,NO_FUTURE_PRICE,,,COVERAGE_GAP,,,COVERAGE_GAP,,,COVERAGE_GAP,,,COVERAGE_GAP,,,COVERAGE_GAP,,
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,fp1sig-fca65c829a0bf441574b0a2c,DwKdw37UzUPb1AtfpSMNtdXqRCNC83HeBb8neyJipump,2026-08-18T14:41:36.688187+00:00,SOL_NATIVE,3950,-1153,False,OBSERVABLE,1,2049,OBSERVABLE,-1103,2329,OBSERVABLE,-1153,14210,COVERAGE_GAP,-1153,44210,COVERAGE_GAP,2587,17843,COVERAGE_GAP,1944,63819
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,fp1sig-cbc03298e04b782420861868,A8FbNYoi78rNmFfz6Tk8aXTxu5XHsXA8AhAxQjEFpump,2026-08-18T14:41:56.581559+00:00,SOL_NATIVE,0,-4594,False,OBSERVABLE,-845,1834,OBSERVABLE,-4594,4487,COVERAGE_GAP,-2938,9920,COVERAGE_GAP,-2938,39920,COVERAGE_GAP,-2938,99920,COVERAGE_GAP,-2938,279920
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,fp1sig-cb52d5390968daf4b797e53b,8rfwKyybVhx6XRjTws5WcJXn3hxnyUnPip4uDUbE2Th6,2026-08-18T14:41:58.736462+00:00,SOL_NATIVE,564,-2839,False,OBSERVABLE,418,2958,OBSERVABLE,559,4474,COVERAGE_GAP,-1869,3844,COVERAGE_GAP,-1870,13874,COVERAGE_GAP,-1434,27195,COVERAGE_GAP,-2839,168516
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,fp1sig-01f865b90b1844dbc5318093,4GbqyqMooq6NRJ8uJpzqYuUaabuzHf8qjuv1k5aypump,2026-08-18T14:42:03.891110+00:00,SOL_NATIVE,4950,-6284,False,OBSERVABLE,1149,781,COVERAGE_GAP,4007,3297,COVERAGE_GAP,-6061,3326,COVERAGE_GAP,-6195,9419,COVERAGE_GAP,-5822,29804,COVERAGE_GAP,-6284,166806
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,fp1sig-c70c2d43e8ac101d037f5241,G93EkCbMEm5pusi8rXuc6QvPDJ6YTmJVuPjRVt1Bpump,2026-08-18T14:42:58.181901+00:00,SOL_NATIVE,402,-6212,False,COVERAGE_GAP,402,2672,COVERAGE_GAP,402,12672,COVERAGE_GAP,-6037,6767,COVERAGE_GAP,-6037,36767,COVERAGE_GAP,-6212,20869,COVERAGE_GAP,-6212,200869
