parameter_set_id,combo_index,ab_role,ab_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,3901,230,3623,48,0,0,230,3901,121,-449,315,987,127,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,127,181,67,44
FP1-EXP0004-C-051-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL0,51,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,1,0,3901,207,3645,49,0,0,207,3901,111,-225,220,1304,109,-842,84,1215,52,-1280,166,1469,24,-2746,314,3214,22,-4323,-1403,2808,10,-8571,-6374,-2551,10,109,84,52,166
FP1-EXP0004-C-002-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL6000,2,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,6000,3901,186,3652,63,0,0,186,3901,106,-356,324,987,107,-842,194,1000,55,-1052,390,1142,21,-2376,-201,2965,19,-4501,-2376,4192,8,-8851,-6374,-3863,8,107,194,55,390
FP1-EXP0004-C-056-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL0,56,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,2,0,3901,163,3677,60,1,0,163,3901,98,-225,205,1321,87,-569,96,1501,41,-294,391,1535,14,-201,1121,6933,12,-3166,-2584,1544,6,-6620,-6374,-2551,6,87,96,41,391
FP1-EXP0004-C-007-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL6000,7,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,2,6000,3901,161,3673,67,0,0,161,3901,99,-350,244,1068,92,-691,133,1000,47,-586,391,1469,14,-503,1121,4048,12,-3839,-2772,4192,6,-6374,-5760,-2551,6,92,133,47,391
FP1-EXP0004-C-077-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL6000,77,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,1,6000,3901,125,3710,66,0,0,125,3901,69,-234,262,1526,73,-842,164,997,42,-533,391,1143,17,-1870,-201,4950,14,-4641,-2042,3334,5,-8851,-8571,-7769,5,73,164,42,391
FP1-EXP0004-C-081-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL0,81,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,2,0,3901,125,3713,63,0,0,125,3901,74,-160,150,1340,69,-656,52,1143,35,17,748,1469,11,-201,1121,4950,8,-4507,-2772,5,4,-9251,-8235,-6620,4,69,52,35,748
FP1-EXP0004-C-012-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL6000,12,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,3,6000,3901,123,3704,73,1,0,123,3901,89,-291,270,902,77,-924,238,1177,38,-586,504,1469,11,-2581,1657,7333,8,-4507,-2768,7115,3,-6374,-5760,-2736,3,77,238,38,504
FP1-EXP0004-C-082-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL6000,82,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,2,6000,3901,105,3726,70,0,0,105,3901,66,-160,150,1526,60,-1059,54,917,31,17,784,1469,10,-132,1121,4950,7,-3166,-2224,4527,3,-9251,-8235,-5760,3,60,54,31,784
FP1-EXP0004-C-063-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL30000,63,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,3,30000,3901,97,3727,77,0,0,97,3901,67,-358,205,1266,60,-1214,120,1215,31,-490,526,1469,9,-595,1876,6535,6,-2768,1544,7134,1,-2736,-2736,-2736,1,60,120,31,526
FP1-EXP0004-C-078-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL30000,78,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,1,30000,3901,92,3736,73,0,0,92,3901,60,-250,277,1415,52,-1214,194,1261,26,-211,784,1316,9,-1272,-10,4950,5,-2772,5,3334,0,,,,0,52,194,26,784
FP1-EXP0004-C-083-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL30000,83,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,2,30000,3901,86,3740,75,0,0,86,3901,59,-250,277,1520,47,-1214,228,1360,23,63,826,1412,7,-132,1121,6535,3,-2772,5,4527,0,,,,0,47,228,23,826
FP1-EXP0004-C-087-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL6000,87,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,2300,3,6000,3901,84,3742,74,1,0,84,3901,60,-250,150,1325,52,-1220,110,804,27,-518,826,1412,8,-132,356,4950,4,-4507,-4375,-236,1,-5760,-5760,-5760,1,52,110,27,826
FP1-EXP0004-C-301-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU1-FL0,301,ROBUST_2,FP1-EXP0003-B-051-ROBUST_2-R2000-T3-U5-PD2500-6500,2000,3,5,2500,6500,200,1,0,3901,57,3784,60,0,0,57,3901,41,5,195,631,38,-152,247,923,25,-621,468,872,10,-2584,900,4048,7,-2772,-2446,4192,3,-8588,-2551,3614,3,38,247,25,468
FP1-EXP0004-C-004-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL93000,4,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,93000,3901,57,3766,78,0,0,57,3901,37,-594,690,1722,33,-1382,305,1639,16,-2001,477,1187,6,314,356,3046,3,-2772,-236,2213,0,,,,0,33,305,16,477
FP1-EXP0004-C-054-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL93000,54,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,1,93000,3901,55,3768,78,0,0,55,3901,35,-594,788,1934,31,-1128,443,1703,15,-1011,526,1320,6,314,356,3046,3,-2772,-236,2213,0,,,,0,31,443,15,526
FP1-EXP0004-C-156-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL0,156,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,200,2,0,3901,44,3803,54,0,0,44,3901,33,19,195,790,27,0,407,1215,18,-484,63,872,6,-503,1339,7028,4,-2584,-503,4192,1,-2551,-2551,-2551,1,27,407,18,63
FP1-EXP0004-C-456-ROBUST_3-R5000-T3-U2-PD2500-6500-RB200-BU2-FL0,456,ROBUST_3,FP1-EXP0003-B-072-ROBUST_3-R5000-T3-U2-PD2500-6500,5000,3,2,2500,6500,200,2,0,3901,43,3783,75,0,0,43,3901,24,19,481,1863,23,-153,247,2909,17,-503,748,2224,10,-503,1121,7028,8,-2772,-1958,4192,3,-9251,-6374,-2551,3,23,247,17,748
FP1-EXP0004-C-103-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL30000,103,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,7300,1,30000,3901,39,3781,79,2,0,39,3901,24,-831,-28,589,19,-3702,22,741,12,-83,960,1325,3,-4871,-2581,553,2,-4375,-4375,-193,0,,,,0,19,22,12,960
FP1-EXP0004-C-181-ROBUST_1-R1500-T5-U9-PD2500-6500-RB500-BU2-FL0,181,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,500,2,0,3901,38,3808,55,0,0,38,3901,28,26,307,741,23,-100,387,1215,17,-484,208,872,6,-503,1339,7028,4,-2584,-503,3759,1,-2551,-2551,-2551,1,23,387,17,208
FP1-EXP0004-C-526-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU1-FL0,526,ROBUST_3,FP1-EXP0003-B-072-ROBUST_3-R5000-T3-U2-PD2500-6500,5000,3,2,2500,6500,2300,1,0,3901,38,3788,75,0,0,38,3901,21,1,1089,2010,19,22,917,2557,15,-83,826,3154,9,-10,4198,5607,7,-2772,1017,6787,2,-9015,-9015,-7769,2,19,917,15,826
FP1-EXP0004-C-019-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL93000,19,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,4,93000,3901,37,3782,82,0,0,37,3901,30,-511,668,1722,23,-1312,681,1703,12,-902,639,1320,6,-4262,314,2403,3,-236,1611,4418,0,,,,0,23,681,12,639
FP1-EXP0004-C-311-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU3-FL0,311,ROBUST_2,FP1-EXP0003-B-051-ROBUST_2-R2000-T3-U5-PD2500-6500,2000,3,5,2500,6500,200,3,0,3901,37,3797,67,0,0,37,3901,31,19,307,677,23,0,377,721,16,-586,504,1119,7,-2768,314,6535,5,-4375,-2768,3759,1,-2736,-2736,-2736,1,23,377,16,504
FP1-EXP0004-C-069-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL93000,69,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,4,93000,3901,35,3784,82,0,0,35,3901,28,-326,690,1722,21,-593,776,1703,11,-518,929,1808,6,-4262,314,2403,3,-236,1611,4418,0,,,,0,21,776,11,929
FP1-EXP0004-C-073-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL30000,73,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,800,8,30000,3901,32,3787,82,0,0,32,3901,24,-231,204,931,23,-231,483,1314,11,-622,826,2386,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,23,483,11,826
FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,232,ROBUST_1,FP1-EXP0003-B-030-ROBUST_1-R1500-T5-U9-PD2500-6500,1500,5,9,2500,6500,2300,2,6000,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213
FP1-EXP0004-C-319-ROBUST_2-R2000-T3-U5-PD2500-6500-RB200-BU4-FL93000,319,ROBUST_2,FP1-EXP0003-B-051-ROBUST_2-R2000-T3-U5-PD2500-6500,2000,3,5,2500,6500,200,4,93000,3901,13,3816,72,0,0,13,3901,10,144,270,1386,7,305,790,1115,6,477,929,1808,4,314,356,2403,2,-236,-236,1611,0,,,,0,7,790,6,929
FP1-EXP0004-C-344-ROBUST_2-R2000-T3-U5-PD2500-6500-RB500-BU4-FL93000,344,ROBUST_2,FP1-EXP0003-B-051-ROBUST_2-R2000-T3-U5-PD2500-6500,2000,3,5,2500,6500,500,4,93000,3901,13,3816,72,0,0,13,3901,10,144,270,1386,7,305,790,1115,6,477,929,1808,4,314,356,2403,2,-236,-236,1611,0,,,,0,7,790,6,929
FP1-EXP0004-C-369-ROBUST_2-R2000-T3-U5-PD2500-6500-RB800-BU4-FL93000,369,ROBUST_2,FP1-EXP0003-B-051-ROBUST_2-R2000-T3-U5-PD2500-6500,2000,3,5,2500,6500,800,4,93000,3901,13,3816,72,0,0,13,3901,10,144,270,1386,7,305,790,1115,6,477,929,1808,4,314,356,2403,2,-236,-236,1611,0,,,,0,7,790,6,929
FP1-EXP0004-C-426-ROBUST_2-R2000-T3-U5-PD2500-6500-RB20700-BU1-FL0,426,ROBUST_2,FP1-EXP0003-B-051-ROBUST_2-R2000-T3-U5-PD2500-6500,2000,3,5,2500,6500,20700,1,0,3901,5,3822,74,0,0,5,3901,3,-14,1092,2010,3,22,923,3017,3,-83,1836,2519,0,,,,0,,,,0,,,,0,3,923,3,1836
FP1-EXP0004-C-582-ROBUST_3-R5000-T3-U2-PD2500-6500-RB20700-BU2-FL6000,582,ROBUST_3,FP1-EXP0003-B-072-ROBUST_3-R5000-T3-U2-PD2500-6500,5000,3,2,2500,6500,20700,2,6000,3901,2,3809,90,0,0,2,3901,1,2225,2225,2225,1,1581,1581,1581,1,1213,1213,1213,0,,,,0,,,,0,,,,0,1,1581,1,1213
