parameter_set_id,combo_index,ab_role,ab_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,1,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,0,3901,230,3623,48,0,0,230,3901,121,-449,315,987,127,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,127,181,67,44,True
FP1-EXP0004-C-002-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL6000,2,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,6000,3901,186,3652,63,0,0,186,3901,106,-356,324,987,107,-842,194,1000,55,-1052,390,1142,21,-2376,-201,2965,19,-4501,-2376,4192,8,-8851,-6374,-3863,8,107,194,55,390,True
FP1-EXP0004-C-003-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL30000,3,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,30000,3901,126,3702,73,0,0,126,3901,81,-316,261,1304,74,-406,190,1284,37,-286,195,1176,10,440,1339,6535,7,-2772,-2584,3349,2,-2551,-2551,3040,2,74,190,37,195,False
FP1-EXP0004-C-004-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL93000,4,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,93000,3901,57,3766,78,0,0,57,3901,37,-594,690,1722,33,-1382,305,1639,16,-2001,477,1187,6,314,356,3046,3,-2772,-236,2213,0,,,,0,33,305,16,477,True
FP1-EXP0004-C-005-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL185000,5,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,1,185000,3901,22,3796,83,0,0,22,3901,14,-511,-269,860,10,-1748,-1035,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,10,-1035,4,-2083,False
FP1-EXP0004-C-006-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL0,6,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,2,0,3901,184,3659,58,0,0,184,3901,110,-356,163,1007,101,-691,133,1177,52,-1052,63,1271,16,-3054,-10,2965,14,-3839,-2772,4192,7,-6620,-5760,-2551,7,101,133,52,63,False
FP1-EXP0004-C-007-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL6000,7,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,2,6000,3901,161,3673,67,0,0,161,3901,99,-350,244,1068,92,-691,133,1000,47,-586,391,1469,14,-503,1121,4048,12,-3839,-2772,4192,6,-6374,-5760,-2551,6,92,133,47,391,True
FP1-EXP0004-C-008-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL30000,8,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,2,30000,3901,122,3705,74,0,0,122,3901,81,-356,220,1266,71,-969,190,1284,36,-484,144,1176,9,1121,2131,6535,6,-2772,-2584,3349,2,-2551,-2551,2478,2,71,190,36,144,False
FP1-EXP0004-C-009-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL93000,9,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,2,93000,3901,54,3767,80,0,0,54,3901,37,-594,690,1722,31,-1482,144,1639,16,-2001,477,1187,6,314,356,3046,3,-2772,-236,2213,0,,,,0,31,144,16,477,False
FP1-EXP0004-C-010-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL185000,10,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,2,185000,3901,20,3798,83,0,0,20,3901,14,-511,-269,860,10,-1748,-1035,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,10,-1035,4,-2083,False
FP1-EXP0004-C-011-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL0,11,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,3,0,3901,133,3697,70,1,0,133,3901,92,-291,195,891,81,-351,194,1143,41,-283,256,1271,11,-2581,1657,7333,8,-4507,-2768,7115,3,-6374,-5760,-2736,3,81,194,41,256,False
FP1-EXP0004-C-012-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL6000,12,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,3,6000,3901,123,3704,73,1,0,123,3901,89,-291,270,902,77,-924,238,1177,38,-586,504,1469,11,-2581,1657,7333,8,-4507,-2768,7115,3,-6374,-5760,-2736,3,77,238,38,504,True
FP1-EXP0004-C-013-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL30000,13,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,3,30000,3901,102,3722,77,0,0,102,3901,71,-380,135,1225,64,-1214,120,1177,34,-490,256,1176,9,-595,1876,6535,6,-2768,1544,7134,1,-2736,-2736,-2736,1,64,120,34,256,False
FP1-EXP0004-C-014-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL93000,14,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,3,93000,3901,48,3773,80,0,0,48,3901,36,-1442,270,1682,30,-1482,144,1639,16,-2118,249,1119,6,-2581,314,3046,3,-4375,-236,2213,0,,,,0,30,144,16,249,False
FP1-EXP0004-C-015-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL185000,15,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,3,185000,3901,18,3800,83,0,0,18,3901,13,-511,18,860,9,-1748,-569,193,4,-8072,-2083,-622,3,-5793,-2581,-77,2,-4375,-4375,-779,0,,,,0,9,-569,4,-2083,False
FP1-EXP0004-C-016-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL0,16,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,4,0,3901,95,3727,78,1,0,95,3901,74,-260,340,986,62,-406,120,1177,31,-586,33,1320,10,-3150,-595,5769,7,-3144,4418,7195,2,-6374,-6374,-3113,2,62,120,31,33,False
FP1-EXP0004-C-017-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL6000,17,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,4,6000,3901,92,3730,78,1,0,92,3901,74,-281,340,986,61,-814,120,1177,31,-902,-46,1320,10,-3150,-595,5769,7,-3144,4418,7195,2,-6374,-6374,-3113,2,61,120,31,-46,False
FP1-EXP0004-C-018-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL30000,18,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,4,30000,3901,82,3739,80,0,0,82,3901,65,-380,178,986,52,-814,80,1345,27,-490,620,1469,9,-3144,-132,3214,5,3349,4418,7134,1,-3113,-3113,-3113,1,52,80,27,620,False
FP1-EXP0004-C-019-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL93000,19,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,4,93000,3901,37,3782,82,0,0,37,3901,30,-511,668,1722,23,-1312,681,1703,12,-902,639,1320,6,-4262,314,2403,3,-236,1611,4418,0,,,,0,23,681,12,639,True
FP1-EXP0004-C-020-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL185000,20,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,4,185000,3901,16,3802,83,0,0,16,3901,13,-511,18,860,9,-1748,-569,193,4,-2083,-902,-622,3,-6265,-4262,-77,2,-779,-779,4418,0,,,,0,9,-569,4,-902,False
FP1-EXP0004-C-021-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU8-FL0,21,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,8,0,3901,40,3779,82,0,0,40,3901,30,-231,135,809,28,-406,222,1080,14,-622,-112,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,28,222,14,-112,False
FP1-EXP0004-C-022-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU8-FL6000,22,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,8,6000,3901,39,3780,82,0,0,39,3901,28,-466,204,809,26,-406,250,1110,13,-622,-112,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,26,250,13,-112,False
FP1-EXP0004-C-023-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU8-FL30000,23,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,8,30000,3901,35,3784,82,0,0,35,3901,26,-466,135,931,25,-357,252,1110,12,-958,-112,1117,4,-7160,-77,-10,1,-779,-779,-779,0,,,,0,25,252,12,-112,False
FP1-EXP0004-C-024-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU8-FL93000,24,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,8,93000,3901,23,3796,82,0,0,23,3901,19,-511,114,931,17,-569,250,1080,8,-622,-327,929,3,-394,-77,4047,1,-779,-779,-779,0,,,,0,17,250,8,-327,False
FP1-EXP0004-C-025-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU8-FL185000,25,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,200,8,185000,3901,9,3809,83,0,0,9,3901,7,-511,18,757,6,-1865,-569,193,1,-622,-622,-622,1,-77,-77,-77,1,-779,-779,-779,0,,,,0,6,-569,1,-622,False
FP1-EXP0004-C-026-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU1-FL0,26,CONTROL,FP1-EXP0003-B-005-CONTROL-R500-T2-U1-PD1000-9000,500,2,1,1000,9000,500,1,0,3901,219,3633,49,0,0,219,3901,115,-449,261,1162,118,-842,125,1291,61,-1052,44,1403,27,-3380,-503,3620,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,118,125,61,44,False
