min_rebound_bps,min_buys,min_net_flow_reserve_ppm,ab_regime_count,ab_with_clean_15s,ab_with_clean_30s,median_AB_candidate_count,median_AB_h15_observable_n,median_of_AB_h15_p50_bps,min_AB_h15_p50_bps,max_AB_h15_p50_bps,median_AB_h30_observable_n,median_of_AB_h30_p50_bps,min_AB_h30_p50_bps,max_AB_h30_p50_bps,global_frontier_incidence
200,1,0,4,4,4,54,35,214,154,247,22,468,44,529,2
200,1,6000,4,4,4,50,34,216,150,247,20,468,390,748,1
200,1,30000,4,4,4,38,24,84,78,190,18,108,-70,517,0
200,1,93000,4,4,4,17,11,470,305,636,9,477,477,526,1
200,1,185000,4,4,4,4,2,-4736,-8438,-569,2,-5077,-8072,-622,0
200,2,0,4,4,4,48,29,247,133,407,21,63,41,748,2
200,2,6000,4,4,4,46,29,242,133,407,20,227,63,748,1
200,2,30000,4,4,4,36,22,135,78,190,17,83,22,517,0
200,2,93000,4,4,4,17,11,470,144,636,9,477,477,526,0
200,2,185000,4,4,4,4,2,-4736,-8438,-569,2,-5077,-8072,-622,0
200,3,0,4,4,4,36,21,247,194,377,14,515,256,526,1
200,3,6000,4,4,4,34,20,256,238,377,14,504,256,526,1
200,3,30000,4,4,4,30,18,102,78,120,15,256,256,504,0
200,3,93000,4,4,4,16,11,470,144,636,9,477,249,526,0
200,3,185000,4,4,4,4,2,-4503,-8438,-569,2,-5077,-8072,-622,0
200,4,0,4,4,4,28,14,99,-100,120,11,326,-47,620,0
200,4,6000,4,4,4,26,14,99,-100,120,11,287,-47,620,0
200,4,30000,4,4,4,24,13,-11,-100,80,11,620,-47,620,0
200,4,93000,4,4,4,12,6,681,681,790,5,1024,639,1119,2
200,4,185000,4,4,4,3,1,-569,-569,-569,1,-622,-902,-622,0
200,8,0,4,4,4,9,7,44,-133,250,5,-225,-338,826,0
200,8,6000,4,4,4,9,7,58,-133,250,5,-225,-338,826,0
200,8,30000,4,4,4,9,7,58,-133,252,5,-225,-338,826,0
200,8,93000,4,4,4,6,5,250,250,410,4,-327,-338,-327,0
200,8,185000,4,4,4,1,1,-569,-569,-569,1,-622,-622,-622,0
500,1,0,4,4,4,50,27,137,84,150,21,126,22,517,0
500,1,6000,4,4,4,46,26,117,0,192,19,208,22,748,0
500,1,30000,4,4,4,37,24,84,78,190,18,62,-70,517,0
500,1,93000,4,4,4,17,11,470,305,636,9,477,477,526,0
500,1,185000,4,4,4,4,2,-4503,-8438,-569,2,-5077,-8072,-622,0
500,2,0,4,4,4,44,26,150,133,387,20,176,63,748,1
500,2,6000,4,4,4,41,25,108,0,387,19,299,63,748,0
500,2,30000,4,4,4,36,22,126,78,150,17,83,22,517,0
500,2,93000,4,4,4,17,11,470,144,636,9,477,477,526,0
500,2,185000,4,4,4,4,2,-4503,-8438,-569,2,-5077,-8072,-622,0
500,3,0,4,4,4,32,17,256,133,387,14,391,208,526,0
500,3,6000,4,4,4,30,18,256,166,256,14,256,256,526,0
500,3,30000,4,4,4,30,17,102,78,133,14,256,256,256,0
500,3,93000,4,4,4,16,11,470,305,636,9,477,249,526,0
500,3,185000,4,4,4,4,2,-4503,-8438,-569,2,-5077,-8072,-622,0
500,4,0,4,4,4,27,13,99,-100,120,11,326,-47,620,0
500,4,6000,4,4,4,25,13,99,-100,120,11,286,-91,620,0
500,4,30000,4,4,4,24,13,-11,-100,120,11,620,-47,620,0
500,4,93000,4,4,4,12,6,681,681,790,5,1024,639,1119,1
500,4,185000,4,4,4,3,1,-569,-569,-569,1,-622,-902,-622,0
500,8,0,4,4,4,9,7,58,-133,250,5,-225,-338,826,0
500,8,6000,4,4,4,9,7,58,-133,252,5,-225,-338,826,0
500,8,30000,4,4,4,9,7,58,-133,252,5,-225,-338,826,0
500,8,93000,4,4,4,6,5,250,250,410,4,-327,-338,-327,0
500,8,185000,4,4,4,1,1,-569,-569,-497,1,-622,-622,-622,0
800,1,0,4,4,4,48,25,117,84,150,18,341,166,620,1
800,1,6000,4,4,4,44,23,108,78,150,17,413,166,748,0
800,1,30000,4,4,4,36,23,84,78,133,17,206,22,517,0
800,1,93000,4,4,4,17,11,539,305,636,9,501,477,526,1
800,1,185000,4,4,4,4,2,-4503,-8438,-569,2,-5077,-8072,-622,0
800,2,0,4,4,4,42,23,150,96,150,17,454,166,748,1
800,2,6000,4,4,4,39,22,117,78,150,15,454,166,748,0
800,2,30000,4,4,4,35,22,102,78,150,16,83,22,517,0
800,2,93000,4,4,4,17,11,470,305,636,9,501,477,526,0
800,2,185000,4,4,4,4,2,-4503,-8438,-569,2,-5077,-8072,-622,0
800,3,0,4,4,4,32,17,152,78,209,15,256,182,526,0
800,3,6000,4,4,4,30,18,161,78,190,15,256,188,526,0
800,3,30000,4,4,4,30,17,102,78,120,14,256,256,526,1
800,3,93000,4,4,4,16,11,470,305,636,9,477,477,526,0
800,3,185000,4,4,4,4,2,-4503,-8438,-569,2,-5077,-8072,-622,0
800,4,0,4,4,4,26,13,99,78,133,11,517,-47,620,0
800,4,6000,4,4,4,24,13,99,78,120,11,517,-47,620,0
800,4,30000,4,4,4,24,13,-11,-100,120,11,620,-47,639,0
800,4,93000,4,4,4,12,6,728,681,790,5,1024,929,1119,2
800,4,185000,4,4,4,3,1,-569,-569,-569,1,-622,-902,-622,0
800,8,0,4,4,4,9,7,58,-133,252,5,-225,-338,826,0
800,8,6000,4,4,4,9,7,58,-133,252,5,-225,-338,826,0
800,8,30000,4,4,4,9,7,58,-133,483,5,244,-338,826,1
800,8,93000,4,4,4,6,5,330,250,410,4,-327,-338,-112,0
800,8,185000,4,4,4,1,1,-569,-569,-497,1,-622,-622,-622,0
2300,1,0,4,4,4,34,17,514,89,917,14,442,44,826,1
2300,1,6000,4,4,4,29,12,514,164,546,11,587,391,748,1
2300,1,30000,4,4,4,22,11,483,194,546,9,685,587,826,1
2300,1,93000,4,4,4,15,9,494,410,546,7,302,79,526,0
2300,1,185000,4,4,4,4,2,-4503,-8438,-569,2,-5077,-8072,-622,0
2300,2,0,4,4,4,27,12,514,52,645,10,748,587,826,1
2300,2,6000,4,4,4,24,10,564,54,741,8,805,748,1213,2
2300,2,30000,4,4,4,20,9,591,228,636,7,706,587,826,1
2300,2,93000,4,4,4,15,9,478,410,546,7,302,79,526,0
2300,2,185000,4,4,4,4,2,-4503,-8438,-569,2,-5077,-8072,-622,0
2300,3,0,4,4,4,20,11,591,110,636,9,526,526,826,0
2300,3,6000,4,4,4,17,9,591,110,636,7,676,526,826,1
2300,3,30000,4,4,4,17,9,591,194,636,7,676,526,826,0
2300,3,93000,4,4,4,14,9,478,410,546,7,164,79,526,0
2300,3,185000,4,4,4,4,2,-4503,-8438,-569,2,-5077,-8072,-622,0
2300,4,0,4,4,4,16,7,483,120,483,7,112,-47,826,0
2300,4,6000,4,4,4,15,7,483,120,483,6,71,-47,826,0
2300,4,30000,4,4,4,15,7,483,194,483,6,79,-47,826,0
2300,4,93000,4,4,4,12,6,478,410,546,5,359,79,929,0
2300,4,185000,4,4,4,3,1,-569,-569,-569,1,-622,-902,-622,0
2300,8,0,4,4,4,7,5,366,250,494,4,826,-338,826,0
2300,8,6000,4,4,4,7,5,366,250,494,4,826,-338,826,0
2300,8,30000,4,4,4,7,5,366,250,494,4,826,-338,826,0
2300,8,93000,4,4,4,6,5,330,250,410,4,-327,-338,-112,0
2300,8,185000,4,4,4,1,1,-569,-569,-497,1,-622,-622,-622,0
7300,1,0,4,4,4,14,7,102,22,173,7,458,-27,526,0
7300,1,6000,4,4,4,12,7,97,-72,173,7,458,-27,526,0
7300,1,30000,4,4,4,9,5,22,22,173,5,-27,-27,960,1
7300,1,93000,4,4,4,5,4,173,173,636,3,-27,-27,526,0
7300,1,185000,4,4,4,2,2,-4503,-8438,-569,2,-4347,-8072,-622,0
7300,2,0,4,4,4,11,6,22,12,173,6,-27,-27,144,0
7300,2,6000,4,4,4,9,5,-7,-188,173,5,813,-27,1213,0
7300,2,30000,4,4,4,7,4,75,-1570,173,4,526,-27,526,0
7300,2,93000,4,4,4,5,4,173,173,636,3,-27,-27,526,0
7300,2,185000,4,4,4,2,2,-4503,-8438,-569,2,-4347,-8072,-622,0
7300,3,0,4,4,4,10,5,92,-398,173,5,469,-27,526,0
7300,3,6000,4,4,4,7,4,35,-1570,173,4,469,-27,526,0
7300,3,30000,4,4,4,7,4,-188,-1570,173,4,387,-27,526,0
7300,3,93000,4,4,4,5,4,173,173,636,3,-27,-27,249,0
7300,3,185000,4,4,4,2,2,-4503,-8438,-569,2,-4347,-8072,-622,0
7300,4,0,4,4,4,7,4,75,-220,173,3,-27,-47,24,0
7300,4,6000,4,4,4,6,3,146,67,173,3,-47,-321,-27,0
7300,4,30000,4,4,4,6,3,146,31,173,3,-47,-321,-27,0
7300,4,93000,4,4,4,5,2,173,173,173,1,-27,-27,-27,0
7300,4,185000,4,4,4,1,1,-569,-569,-569,1,-622,-622,-622,0
7300,8,0,4,4,4,3,2,-569,-569,-497,1,-622,-622,-622,0
7300,8,6000,4,4,4,3,2,-569,-569,-497,1,-622,-622,-622,0
7300,8,30000,4,4,4,3,2,-569,-569,-497,1,-622,-622,-622,0
7300,8,93000,4,4,4,3,2,-569,-569,-497,1,-622,-622,-622,0
7300,8,185000,4,4,4,1,1,-569,-569,-569,1,-622,-622,-622,0
20700,1,0,4,4,4,5,4,22,0,923,3,-83,-83,1836,1
20700,1,6000,4,4,4,4,2,149,22,645,2,240,-83,1535,0
20700,1,30000,4,4,4,4,2,22,22,120,2,438,-83,960,0
20700,1,93000,4,4,4,1,1,636,-652,636,1,526,526,526,0
20700,1,185000,4,1,1,0,0,-652,-652,-652,0,-2474,-2474,-2474,0
20700,2,0,4,4,4,4,3,149,22,645,3,176,-83,1213,0
20700,2,6000,4,4,4,2,1,1113,379,1581,1,1213,1213,1213,1
20700,2,30000,4,4,4,2,1,378,120,636,1,526,526,526,0
