parameter_set_id,ab_role,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,candidate_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,neighbor_count,neighbor_15s_median_of_medians_bps,neighbor_30s_median_of_medians_bps
FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,CONTROL,200,1,0,230,127,181,67,44,3,133,63
FP1-EXP0004-C-002-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL6000,CONTROL,200,1,6000,186,107,194,55,390,4,185,201
FP1-EXP0004-C-003-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL30000,CONTROL,200,1,30000,126,74,190,37,195,4,192,292
FP1-EXP0004-C-004-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL93000,CONTROL,200,1,93000,57,33,305,16,477,4,167,336
FP1-EXP0004-C-005-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL185000,CONTROL,200,1,185000,22,10,-1035,4,-2083,3,-569,-2083
FP1-EXP0004-C-006-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL0,CONTROL,200,2,0,184,101,133,52,63,4,157,200
FP1-EXP0004-C-007-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL6000,CONTROL,200,2,6000,161,92,133,47,391,5,190,390
FP1-EXP0004-C-008-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL30000,CONTROL,200,2,30000,122,71,190,36,144,5,133,256
FP1-EXP0004-C-009-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL93000,CONTROL,200,2,93000,54,31,144,16,477,5,144,249
FP1-EXP0004-C-010-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU2-FL185000,CONTROL,200,2,185000,20,10,-1035,4,-2083,4,-569,-2083
FP1-EXP0004-C-011-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL0,CONTROL,200,3,0,133,81,194,41,256,4,133,135
FP1-EXP0004-C-012-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL6000,CONTROL,200,3,6000,123,77,238,38,504,5,133,256
FP1-EXP0004-C-013-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL30000,CONTROL,200,3,30000,102,64,120,34,256,5,144,256
FP1-EXP0004-C-014-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL93000,CONTROL,200,3,93000,48,30,144,16,249,5,144,256
FP1-EXP0004-C-015-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU3-FL185000,CONTROL,200,3,185000,18,9,-569,4,-2083,4,-569,-1492
FP1-EXP0004-C-016-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL0,CONTROL,200,4,0,95,62,120,31,33,4,157,-6
FP1-EXP0004-C-017-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL6000,CONTROL,200,4,6000,92,61,120,31,-46,5,120,33
FP1-EXP0004-C-018-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL30000,CONTROL,200,4,30000,82,52,80,27,620,5,120,256
