min_extension_from_response_bps,max_extension_from_response_bps,abc_regime_count,abc_with_clean_15s,abc_with_clean_30s,median_ABC_candidate_count,median_ABC_h15_observable_n,median_of_ABC_h15_p50_bps,min_ABC_h15_p50_bps,max_ABC_h15_p50_bps,median_ABC_h30_observable_n,median_of_ABC_h30_p50_bps,min_ABC_h30_p50_bps,max_ABC_h30_p50_bps,global_frontier_incidence
200,2000,4,4,4,20,9,668,194,741,7,826,309,1213,2
200,2500,4,4,4,21,9,668,192,741,7,826,297,1213,3
200,3000,4,4,4,23,10,564,181,741,8,787,44,1213,2
200,7000,4,4,4,24,10,564,181,741,8,787,44,1213,3
200,10000,4,4,4,24,10,564,181,741,8,787,44,1213,4
500,2000,4,4,4,18,10,325,182,410,8,310,-327,587,0
500,2500,4,4,4,19,10,325,182,410,8,310,-327,587,0
500,3000,4,4,4,21,11,325,169,410,9,304,-327,587,1
500,7000,4,4,4,22,11,325,123,410,9,301,-327,587,1
500,10000,4,4,4,22,11,325,123,410,9,301,-327,587,1
700,2000,4,4,4,17,10,274,77,355,8,258,-338,587,0
700,2500,4,4,4,18,10,274,77,355,8,304,-338,587,0
700,3000,4,4,4,20,11,274,65,355,9,273,-338,587,0
700,7000,4,4,4,20,11,274,65,355,9,269,-338,587,0
700,10000,4,4,4,20,11,274,36,355,9,269,-338,587,0
800,2000,4,4,4,17,10,250,77,274,8,258,-338,587,0
800,2500,4,4,4,18,10,250,65,274,8,304,-338,587,0
800,3000,4,4,4,20,11,250,65,274,9,273,-338,587,0
800,7000,4,4,4,20,11,250,63,274,9,273,-338,587,0
800,10000,4,4,4,20,11,250,63,274,9,304,-338,587,0
2500,3000,4,4,4,7,3,1400,530,2165,4,1584,493,2420,3
2500,7000,4,4,4,10,5,665,-188,1080,5,727,102,929,1
2500,10000,4,4,4,10,5,665,-188,1080,5,727,102,929,2
7100,10000,4,4,4,2,2,-7,-809,31,1,310,-3261,526,0
