parameter_set_id,abc_role,min_extension_from_response_bps,max_extension_from_response_bps,candidate_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,neighbor_count,neighbor_15s_median_of_medians_bps,neighbor_30s_median_of_medians_bps
FP1-EXP0005-D-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW2000,CONTROL,200,2000,195,113,194,54,309,2,187,165
FP1-EXP0005-D-002-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW2500,CONTROL,200,2500,205,116,192,58,297,3,182,44
FP1-EXP0005-D-003-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW3000,CONTROL,200,3000,216,122,181,66,44,3,181,44
FP1-EXP0005-D-004-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW7000,CONTROL,200,7000,228,126,181,67,44,3,181,44
FP1-EXP0005-D-005-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW10000,CONTROL,200,10000,230,127,181,67,44,2,152,30
FP1-EXP0005-D-006-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW2000,CONTROL,500,2000,177,100,182,49,33,3,182,33
FP1-EXP0005-D-007-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW2500,CONTROL,500,2500,188,103,182,53,33,4,175,27
FP1-EXP0005-D-008-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW3000,CONTROL,500,3000,200,109,169,61,22,4,152,24
FP1-EXP0005-D-009-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW7000,CONTROL,500,7000,213,114,123,63,16,4,146,19
FP1-EXP0005-D-010-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW10000,CONTROL,500,10000,215,115,123,63,16,3,123,16
FP1-EXP0005-D-011-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC700-RW2000,CONTROL,700,2000,167,92,77,46,-70,3,77,22
FP1-EXP0005-D-012-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC700-RW2500,CONTROL,700,2500,181,97,77,51,22,4,71,-9
FP1-EXP0005-D-013-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC700-RW3000,CONTROL,700,3000,193,103,65,59,-40,4,71,-9
FP1-EXP0005-D-014-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC700-RW7000,CONTROL,700,7000,209,111,65,64,-49,4,64,-40
FP1-EXP0005-D-015-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC700-RW10000,CONTROL,700,10000,211,112,36,64,-49,3,65,16
FP1-EXP0005-D-016-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC800-RW2000,CONTROL,800,2000,156,87,77,44,-70,2,71,-24
FP1-EXP0005-D-017-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC800-RW2500,CONTROL,800,2500,171,92,65,49,22,3,77,-40
FP1-EXP0005-D-018-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC800-RW3000,CONTROL,800,3000,184,99,65,57,-40,4,65,-9
FP1-EXP0005-D-019-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC800-RW7000,CONTROL,800,7000,203,108,63,64,-40,4,65,-9
FP1-EXP0005-D-020-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC800-RW10000,CONTROL,800,10000,206,110,63,65,22,3,63,-40
FP1-EXP0005-D-021-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC2500-RW3000,CONTROL,2500,3000,53,27,530,20,493,2,157,31
FP1-EXP0005-D-022-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC2500-RW7000,CONTROL,2500,7000,121,54,250,41,102,3,250,102
FP1-EXP0005-D-023-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC2500-RW10000,CONTROL,2500,10000,128,59,250,45,102,3,63,94
FP1-EXP0005-D-024-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC7100-RW10000,CONTROL,7100,10000,36,18,31,16,94,1,250,102
FP1-EXP0005-D-025-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2000,ROBUST_1,200,2000,19,9,741,5,1213,2,575,900
FP1-EXP0005-D-026-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2500,ROBUST_1,200,2500,19,9,741,5,1213,3,741,1213
FP1-EXP0005-D-027-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW3000,ROBUST_1,200,3000,19,9,741,5,1213,3,741,1213
FP1-EXP0005-D-028-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW7000,ROBUST_1,200,7000,19,9,741,5,1213,3,741,1213
FP1-EXP0005-D-029-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW10000,ROBUST_1,200,10000,19,9,741,5,1213,2,575,900
FP1-EXP0005-D-030-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC500-RW2000,ROBUST_1,500,2000,16,9,410,6,587,3,410,587
FP1-EXP0005-D-031-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC500-RW2500,ROBUST_1,500,2500,16,9,410,6,587,4,410,587
FP1-EXP0005-D-032-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC500-RW3000,ROBUST_1,500,3000,16,9,410,6,587,4,410,587
FP1-EXP0005-D-033-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC500-RW7000,ROBUST_1,500,7000,16,9,410,6,587,4,410,587
FP1-EXP0005-D-034-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC500-RW10000,ROBUST_1,500,10000,16,9,410,6,587,3,410,587
FP1-EXP0005-D-035-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC700-RW2000,ROBUST_1,700,2000,15,9,355,6,587,3,355,587
FP1-EXP0005-D-036-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC700-RW2500,ROBUST_1,700,2500,15,9,355,6,587,4,355,587
