parameter_set_id,combo_index,abc_role,abc_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,min_extension_from_response_bps,max_extension_from_response_bps,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps
FP1-EXP0005-D-005-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW10000,5,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,10000,3901,230,3623,48,0,0,230,3901,121,-449,315,987,127,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,127,181,67,44
FP1-EXP0005-D-002-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW2500,2,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,2500,3901,205,3623,48,25,0,205,3901,114,-356,324,987,116,-980,192,1030,58,-1280,297,872,23,-3054,-253,2965,21,-3839,-1403,2808,8,-8571,-3863,-2342,8,116,192,58,297
FP1-EXP0005-D-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW2000,1,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,2000,3901,195,3623,48,35,0,195,3901,112,-382,329,987,113,-980,194,1030,54,-1767,309,1142,20,-3054,-253,2965,18,-4501,-2376,4192,6,-8571,-4555,-2342,6,113,194,54,309
FP1-EXP0005-D-023-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC2500-RW10000,23,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,2500,10000,3901,128,3709,59,5,0,128,3901,63,-422,70,1216,59,-280,250,1143,45,-283,102,1119,17,-842,1126,4387,15,-4375,891,4087,6,-7446,-7090,-5760,6,59,250,45,102
FP1-EXP0005-D-021-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC2500-RW3000,21,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,2500,3000,3901,53,3709,59,80,0,53,3901,31,9,757,1385,27,-842,530,1952,20,-583,493,1525,11,-842,1126,10821,9,-2224,1126,4013,4,-8869,-7446,-6374,4,27,530,20,493
FP1-EXP0005-D-076-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC200-RW7000,76,ROBUST_3,FP1-EXP0004-C-532-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000,5000,3,2,2500,6500,2300,2,6000,200,7000,3901,25,3796,80,0,0,25,3901,15,-52,703,1863,10,-153,483,1581,9,79,748,1213,7,-201,1121,4950,5,-2772,5,4527,2,-9251,-9251,-8235,2,10,483,9,748
FP1-EXP0005-D-077-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC200-RW10000,77,ROBUST_3,FP1-EXP0004-C-532-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000,5000,3,2,2500,6500,2300,2,6000,200,10000,3901,25,3796,80,0,0,25,3901,15,-52,703,1863,10,-153,483,1581,9,79,748,1213,7,-201,1121,4950,5,-2772,5,4527,2,-9251,-9251,-8235,2,10,483,9,748
FP1-EXP0005-D-051-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC200-RW3000,51,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,200,3000,3901,23,3810,68,0,0,23,3901,17,1,703,1276,10,483,645,1581,8,79,826,1412,5,-10,1121,4950,3,-2772,5,4527,0,,,,0,10,645,8,826
FP1-EXP0005-D-052-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC200-RW7000,52,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,200,7000,3901,23,3810,68,0,0,23,3901,17,1,703,1276,10,483,645,1581,8,79,826,1412,5,-10,1121,4950,3,-2772,5,4527,0,,,,0,10,645,8,826
FP1-EXP0005-D-053-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC200-RW10000,53,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,200,10000,3901,23,3810,68,0,0,23,3901,17,1,703,1276,10,483,645,1581,8,79,826,1412,5,-10,1121,4950,3,-2772,5,4527,0,,,,0,10,645,8,826
FP1-EXP0005-D-056-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC500-RW3000,56,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,500,3000,3901,21,3812,68,0,0,21,3901,15,80,538,1459,11,244,377,917,9,-338,587,1245,5,-394,1121,4950,3,-2772,5,4527,0,,,,0,11,377,9,587
FP1-EXP0005-D-057-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC500-RW7000,57,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,500,7000,3901,21,3812,68,0,0,21,3901,15,80,538,1459,11,244,377,917,9,-338,587,1245,5,-394,1121,4950,3,-2772,5,4527,0,,,,0,11,377,9,587
FP1-EXP0005-D-058-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000-RC500-RW10000,58,ROBUST_2,FP1-EXP0004-C-382-ROBUST_2-R2000-T3-U5-PD2500-6500-RB2300-BU2-FL6000,2000,3,5,2500,6500,2300,2,6000,500,10000,3901,21,3812,68,0,0,21,3901,15,80,538,1459,11,244,377,917,9,-338,587,1245,5,-394,1121,4950,3,-2772,5,4527,0,,,,0,11,377,9,587
FP1-EXP0005-D-074-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2500,74,ROBUST_3,FP1-EXP0004-C-532-ROBUST_3-R5000-T3-U2-PD2500-6500-RB2300-BU2-FL6000,5000,3,2,2500,6500,2300,2,6000,200,2500,3901,21,3796,80,4,0,21,3901,14,0,703,1863,9,274,692,1581,7,79,826,1412,5,-10,1121,4950,3,-2772,5,4527,0,,,,0,9,692,7,826
FP1-EXP0005-D-025-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000-RC200-RW2000,25,ROBUST_1,FP1-EXP0004-C-232-ROBUST_1-R1500-T5-U9-PD2500-6500-RB2300-BU2-FL6000,1500,5,9,2500,6500,2300,2,6000,200,2000,3901,19,3825,57,0,0,19,3901,17,1,504,1216,9,483,741,1581,5,826,1213,1412,4,-1272,-10,4950,2,5,5,4527,0,,,,0,9,741,5,1213
