parameter_set_id,combo_index,abc_role,abc_source_parameter_set_id,min_return_bps,min_trades_since_t0,min_unique_buyers_since_t0,min_depth_bps,max_depth_bps,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,min_extension_from_response_bps,max_extension_from_response_bps,run_count,candidate_count,expired_count,invalidated_count,rejected_count,trade_count,candidate_state_count,accounted_run_count,h5s_observable_n,h5s_p25_bps,h5s_p50_bps,h5s_p75_bps,h15s_observable_n,h15s_p25_bps,h15s_p50_bps,h15s_p75_bps,h30s_observable_n,h30s_p25_bps,h30s_p50_bps,h30s_p75_bps,h60s_observable_n,h60s_p25_bps,h60s_p50_bps,h60s_p75_bps,h2m_observable_n,h2m_p25_bps,h2m_p50_bps,h2m_p75_bps,h5m_observable_n,h5m_p25_bps,h5m_p50_bps,h5m_p75_bps,complete_5m_extrema_n,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,diagnostic_pareto_frontier
FP1-EXP0005-D-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW2000,1,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,2000,3901,195,3623,48,35,0,195,3901,112,-382,329,987,113,-980,194,1030,54,-1767,309,1142,20,-3054,-253,2965,18,-4501,-2376,4192,6,-8571,-4555,-2342,6,113,194,54,309,True
FP1-EXP0005-D-002-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW2500,2,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,2500,3901,205,3623,48,25,0,205,3901,114,-356,324,987,116,-980,192,1030,58,-1280,297,872,23,-3054,-253,2965,21,-3839,-1403,2808,8,-8571,-3863,-2342,8,116,192,58,297,True
FP1-EXP0005-D-003-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW3000,3,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,3000,3901,216,3623,48,14,0,216,3901,116,-356,329,1007,122,-980,181,1177,66,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,122,181,66,44,False
FP1-EXP0005-D-004-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW7000,4,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,7000,3901,228,3623,48,2,0,228,3901,121,-449,315,987,126,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,126,181,67,44,False
FP1-EXP0005-D-005-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC200-RW10000,5,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,200,10000,3901,230,3623,48,0,0,230,3901,121,-449,315,987,127,-924,181,1030,67,-1280,44,1142,27,-3054,-253,4048,25,-4323,-1403,2808,11,-8571,-4555,-2342,11,127,181,67,44,True
FP1-EXP0005-D-006-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW2000,6,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,500,2000,3901,177,3638,48,38,0,177,3901,101,-687,261,1162,100,-980,182,1423,49,-1767,33,1142,18,-2746,-503,3620,16,-5262,-2446,3759,5,-8571,-4555,-2551,5,100,182,49,33,False
FP1-EXP0005-D-007-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW2500,7,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,500,2500,3901,188,3638,48,27,0,188,3901,103,-687,236,1162,103,-969,182,1501,53,-1754,33,951,21,-2746,-503,2965,19,-4501,-1403,3759,7,-8571,-2833,3614,7,103,182,53,33,False
FP1-EXP0005-D-008-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW3000,8,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,500,3000,3901,200,3638,48,15,0,200,3901,105,-670,261,1162,109,-969,169,1501,61,-1754,22,1142,25,-2746,-503,3620,23,-4501,-1403,3759,10,-8571,-6374,-2551,10,109,169,61,22,False
FP1-EXP0005-D-009-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW7000,9,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,500,7000,3901,213,3638,48,2,0,213,3901,110,-754,195,1007,114,-906,123,1423,63,-1754,16,1142,25,-2746,-503,3620,23,-4501,-1403,3759,10,-8571,-6374,-2551,10,114,123,63,16,False
FP1-EXP0005-D-010-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0-RC500-RW10000,10,CONTROL,FP1-EXP0004-C-001-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU1-FL0,500,2,1,1000,9000,200,1,0,500,10000,3901,215,3638,48,0,0,215,3901,110,-754,195,1007,115,-906,123,1423,63,-1754,16,1142,25,-2746,-503,3620,23,-4501,-1403,3759,10,-8571,-6374,-2551,10,115,123,63,16,False
