role,family,variant_id,threshold_bps,time_stop_ms,clean_path_count,scored_count,unscored_count,stop_hit_count,stop_hit_rate,p10_exit_bps,p25_exit_bps,p50_exit_bps,p75_exit_bps,p90_exit_bps,mean_exit_bps,positive_rate,negative_rate,exit_delay_p50_ms,mark_age_p50_ms
CONTROL,HARD_STOP,SL10,-1000,,1036,1036,0,841,0.8117760617760618,-2880,-1914,-1280,-1033,1425,-295.3532818532818,0.14285714285714285,0.8542471042471043,34020,0
CONTROL,HARD_STOP,SL20,-2000,,1036,1036,0,722,0.696911196911197,-3518,-2670,-2181,-907,3613,-435.6592664092664,0.19787644787644787,0.7992277992277992,73112,0
CONTROL,HARD_STOP,SL30,-3000,,1036,1036,0,610,0.5888030888030888,-4262,-3513,-3065,-435,4651,-685.4971042471043,0.22007722007722008,0.777027027027027,117823,0
CONTROL,HARD_STOP,SL40,-4000,,1036,1036,0,498,0.4806949806949807,-5071,-4363,-3653,-173,5333,-817.3030888030888,0.2384169884169884,0.7586872586872587,160507,482
CONTROL,HARD_STOP,SL50,-5000,,1036,1036,0,383,0.3696911196911197,-5753,-5231,-3136,113,5725,-738.2972972972973,0.2557915057915058,0.7413127413127413,201118,2832
CONTROL,HARD_STOP,SL60,-6000,,1036,1036,0,303,0.2924710424710425,-6554,-6087,-2938,175,5795,-879.9546332046332,0.2625482625482625,0.7345559845559846,230682,5887
CONTROL,TIME_STOP,T5s,,5000,1036,767,269,,,-2050,-341,333,1288,2901,582.0013037809648,0.666232073011734,0.3324641460234681,2952,2048
CONTROL,TIME_STOP,T15s,,15000,1036,961,75,,,-3409,-1248,199,1620,3972,502.55879292403745,0.5650364203954215,0.43184183142559834,12499,2501
CONTROL,TIME_STOP,T30s,,30000,1036,1004,32,,,-4708,-2039,6,1808,4487,306.2101593625498,0.5029880478087649,0.4940239043824701,27159,2836
CONTROL,TIME_STOP,T60s,,60000,1036,1021,15,,,-6242,-3433,-268,1395,5107,-12.581782566111656,0.4603330068560235,0.5377081292850147,55653,4347
CONTROL,TIME_STOP,T120s,,120000,1036,1029,7,,,-7661,-4391,-1326,1221,4994,-693.7638483965014,0.3595724003887269,0.6375121477162293,113055,6945
CONTROL,TIME_STOP,T300s,,300000,1036,1036,0,,,-8758,-5884,-2760,311,6467,-909.1177606177606,0.2731660231660232,0.7239382239382239,278517,21314
ROBUST_1,HARD_STOP,SL10,-1000,,203,203,0,156,0.7684729064039408,-1531,-1341,-1118,-1010,6588,419.4679802955665,0.22167487684729065,0.7783251231527094,56726,0
ROBUST_1,HARD_STOP,SL20,-2000,,203,203,0,137,0.6748768472906403,-2595,-2311,-2072,1748,7022,95.37931034482759,0.29064039408866993,0.7093596059113301,106937,0
ROBUST_1,HARD_STOP,SL30,-3000,,203,203,0,109,0.5369458128078818,-3313,-3158,-3020,2149,7453,-137.7536945812808,0.3251231527093596,0.6748768472906403,192315,0
ROBUST_1,HARD_STOP,SL40,-4000,,203,203,0,84,0.41379310344827586,-4232,-4088,-2722,2559,7513,-352.42364532019707,0.3448275862068966,0.6551724137931034,262497,918
ROBUST_1,HARD_STOP,SL50,-5000,,203,203,0,47,0.2315270935960591,-5122,-4719,-2376,2597,7513,-487.9802955665025,0.35467980295566504,0.645320197044335,284224,2603
ROBUST_1,HARD_STOP,SL60,-6000,,203,203,0,25,0.12315270935960591,-6027,-4634,-2313,2717,7513,-553.0246305418719,0.35960591133004927,0.6403940886699507,287530,4595
ROBUST_1,TIME_STOP,T5s,,5000,203,183,20,,,-1037,1,472,1278,2261,520.8524590163935,0.7540983606557377,0.2459016393442623,3016,1984
ROBUST_1,TIME_STOP,T15s,,15000,203,200,3,,,-2036,-585,278,1341,2960,363.14,0.62,0.38,13106,1854
ROBUST_1,TIME_STOP,T30s,,30000,203,202,1,,,-3272,-1125,55,1624,3411,188.06930693069307,0.5297029702970297,0.47029702970297027,27875,2123
ROBUST_1,TIME_STOP,T60s,,60000,203,203,0,,,-4505,-2186,-47,1553,4214,8.832512315270936,0.4975369458128079,0.5024630541871922,57555,2445
ROBUST_1,TIME_STOP,T120s,,120000,203,203,0,,,-5629,-3672,-533,2165,5664,-318.3103448275862,0.41379310344827586,0.5862068965517241,116470,3530
ROBUST_1,TIME_STOP,T300s,,300000,203,203,0,,,-6301,-4612,-2284,2717,7513,-655.7389162561576,0.35960591133004927,0.6403940886699507,289667,10333
ROBUST_2,HARD_STOP,SL10,-1000,,229,229,0,179,0.7816593886462883,-1643,-1376,-1144,-1014,5551,210.31441048034935,0.2052401746724891,0.7947598253275109,45240,0
ROBUST_2,HARD_STOP,SL20,-2000,,229,229,0,155,0.6768558951965066,-2682,-2324,-2100,535,6588,-97.6943231441048,0.2794759825327511,0.7205240174672489,102230,0
ROBUST_2,HARD_STOP,SL30,-3000,,229,229,0,126,0.5502183406113537,-3379,-3192,-3033,1568,7022,-341.56768558951967,0.31004366812227074,0.6899563318777293,160522,0
ROBUST_2,HARD_STOP,SL40,-4000,,229,229,0,94,0.4104803493449782,-4287,-4089,-2818,1877,7453,-486.46288209606985,0.33624454148471616,0.6637554585152838,257824,966
ROBUST_2,HARD_STOP,SL50,-5000,,229,229,0,55,0.24017467248908297,-5175,-4784,-2480,2149,7453,-650.3056768558952,0.3406113537117904,0.6593886462882096,276901,2636
ROBUST_2,HARD_STOP,SL60,-6000,,229,229,0,33,0.14410480349344978,-6059,-4683,-2345,2156,7453,-731.8908296943231,0.34497816593886466,0.6550218340611353,283205,6390
ROBUST_2,TIME_STOP,T5s,,5000,229,206,23,,,-1328,-50,323,1165,2206,384.22330097087377,0.7233009708737864,0.2766990291262136,3002,1986
ROBUST_2,TIME_STOP,T15s,,15000,229,226,3,,,-2312,-752,229,1227,2960,132.61946902654867,0.588495575221239,0.41150442477876104,13030,1954
ROBUST_2,TIME_STOP,T30s,,30000,229,228,1,,,-4215,-1341,18,1452,3496,-1.7280701754385965,0.5043859649122807,0.4956140350877193,27909,2075
ROBUST_2,TIME_STOP,T60s,,60000,229,229,0,,,-5007,-2248,-47,1554,3971,-101.93886462882097,0.4978165938864629,0.5021834061135371,57379,2621
ROBUST_2,TIME_STOP,T120s,,120000,229,229,0,,,-5725,-3649,-502,1890,5664,-361.91266375545854,0.4148471615720524,0.5851528384279476,116282,3718
ROBUST_2,TIME_STOP,T300s,,300000,229,229,0,,,-6607,-4599,-2313,2441,7513,-791.7205240174673,0.34934497816593885,0.6506550218340611,287777,12223
ROBUST_3,HARD_STOP,SL10,-1000,,211,211,0,170,0.8056872037914692,-2298,-1483,-1175,-1025,5243,-22.28436018957346,0.1848341232227488,0.8151658767772512,37232,0
ROBUST_3,HARD_STOP,SL20,-2000,,211,211,0,152,0.7203791469194313,-2997,-2415,-2139,-202,5955,-388.21800947867297,0.24644549763033174,0.7535545023696683,78838,0
ROBUST_3,HARD_STOP,SL30,-3000,,211,211,0,131,0.6208530805687204,-3916,-3272,-3053,535,6821,-743.5308056872038,0.27014218009478674,0.7298578199052133,110245,0
ROBUST_3,HARD_STOP,SL40,-4000,,211,211,0,110,0.5213270142180095,-4727,-4206,-4007,1568,7022,-967.7061611374407,0.2938388625592417,0.7061611374407583,159640,0
ROBUST_3,HARD_STOP,SL50,-5000,,211,211,0,75,0.35545023696682465,-5450,-5092,-3607,1832,7513,-1016.7109004739336,0.3080568720379147,0.6919431279620853,260074,1632
ROBUST_3,HARD_STOP,SL60,-6000,,211,211,0,54,0.2559241706161137,-6493,-6005,-3184,1877,7513,-1216.4549763033176,0.3127962085308057,0.6872037914691943,269892,2603
ROBUST_3,TIME_STOP,T5s,,5000,211,187,24,,,-1374,-152,444,1335,2541,458.7165775401069,0.7272727272727273,0.2727272727272727,3016,1984
ROBUST_3,TIME_STOP,T15s,,15000,211,208,3,,,-3912,-1048,280,1341,3133,160.32692307692307,0.5913461538461539,0.40865384615384615,12931,2063
