role,family,variant_id,tp_threshold_bps,fallback_time_stop_ms,fallback_role,clean_path_count,scored_count,unscored_count,tp_hit_count,tp_hit_rate_clean_paths,tp_hit_rate_scored,fallback_exit_count,p10_exit_bps,p25_exit_bps,p50_exit_bps,p75_exit_bps,p90_exit_bps,mean_exit_bps,positive_rate,negative_rate,exit_delay_p50_ms,tp_hit_delay_p50_ms,fallback_mark_age_p50_ms
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP03_T15s,300,15000,PRIMARY_ROBUST_ANCHOR,1036,961,75,647,0.6245173745173745,0.6732570239334027,314,-2187,-18,457,874,2114,214.6066597294485,0.740894901144641,0.2559833506763788,3347,281,2849
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP05_T15s,500,15000,PRIMARY_ROBUST_ANCHOR,1036,961,75,589,0.5685328185328186,0.6129032258064516,372,-2279,-120,577,985,2240,253.8324661810614,0.7200832466181062,0.2767950052029136,5373,1734,2920
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP10_T15s,1000,15000,PRIMARY_ROBUST_ANCHOR,1036,961,75,475,0.4584942084942085,0.49427679500520294,486,-2393,-566,914,1416,2568,344.77315296566076,0.6722164412070759,0.32466181061394384,7585,2908,2993
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP15_T15s,1500,15000,PRIMARY_ROBUST_ANCHOR,1036,961,75,389,0.3754826254826255,0.404786680541103,572,-2602,-784,596,1799,2750,370.72216441207075,0.6420395421436004,0.3548387096774194,8922,3247,2912
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP20_T15s,2000,15000,PRIMARY_ROBUST_ANCHOR,1036,961,75,316,0.305019305019305,0.32882414151925077,645,-2774,-889,433,2203,2997,389.2819979188345,0.6181061394380853,0.37877211238293446,9909,4929,2867
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP30_T15s,3000,15000,PRIMARY_ROBUST_ANCHOR,1036,961,75,208,0.20077220077220076,0.21644120707596254,753,-3028,-1053,326,2486,3693,427.97918834547346,0.6004162330905307,0.3964620187304891,11337,5143,2752
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP03_T5s,300,5000,AGGRESSIVE_SENSITIVITY,1036,767,269,467,0.45077220077220076,0.6088657105606258,300,-1734,-8,400,663,1561,213.58279009126466,0.7444589308996089,0.25554106910039115,918,19,2091
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP05_T5s,500,5000,AGGRESSIVE_SENSITIVITY,1036,767,269,416,0.4015444015444015,0.5423728813559322,351,-1750,-35,523,812,1633,259.2724902216428,0.7327249022164276,0.26597131681877445,2285,34,2127
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP10_T5s,1000,5000,AGGRESSIVE_SENSITIVITY,1036,767,269,301,0.2905405405405405,0.3924380704041721,466,-1823,-86,522,1210,1925,369.503259452412,0.7131681877444589,0.28552803129074317,2682,159,2128
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP15_T5s,1500,5000,AGGRESSIVE_SENSITIVITY,1036,767,269,221,0.2133204633204633,0.288135593220339,546,-1908,-159,432,1570,2255,412.96610169491527,0.6962190352020861,0.30247718383311606,2766,840,2113
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP20_T5s,2000,5000,AGGRESSIVE_SENSITIVITY,1036,767,269,160,0.15444015444015444,0.20860495436766624,607,-1911,-221,404,1614,2551,435.7001303780965,0.6857887874837028,0.31290743155149936,2806,1322,2094
CONTROL,SINGLE_TP_WITH_TIME_FALLBACK,TP30_T5s,3000,5000,AGGRESSIVE_SENSITIVITY,1036,767,269,103,0.09942084942084942,0.13428943937418514,664,-2004,-267,384,1455,3161,496.3833116036506,0.6792698826597132,0.3194263363754889,2861,1447,2074
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP03_T15s,300,15000,PRIMARY_ROBUST_ANCHOR,203,200,3,146,0.7192118226600985,0.73,54,-937,205,414,621,840,178.075,0.81,0.19,2499,25,2332
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP05_T15s,500,15000,PRIMARY_ROBUST_ANCHOR,203,200,3,129,0.6354679802955665,0.645,71,-1096,65,572,753,959,215.345,0.775,0.225,2926,68,2332
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP10_T15s,1000,15000,PRIMARY_ROBUST_ANCHOR,203,200,3,104,0.5123152709359606,0.52,96,-1146,-242,1012,1197,1484,368.19,0.705,0.295,6710,2160,2332
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP15_T15s,1500,15000,PRIMARY_ROBUST_ANCHOR,203,200,3,76,0.37438423645320196,0.38,124,-1449,-377,495,1650,2002,427.35,0.67,0.33,10474,2789,2332
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP20_T15s,2000,15000,PRIMARY_ROBUST_ANCHOR,203,200,3,61,0.30049261083743845,0.305,139,-1554,-420,379,2038,2352,470.38,0.655,0.345,11280,2949,2332
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP30_T15s,3000,15000,PRIMARY_ROBUST_ANCHOR,203,200,3,40,0.19704433497536947,0.2,160,-1662,-496,361,1891,3212,530.43,0.645,0.355,12157,5402,2171
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP03_T5s,300,5000,AGGRESSIVE_SENSITIVITY,203,183,20,121,0.5960591133004927,0.6612021857923497,62,-653,94,406,621,840,202.75956284153006,0.819672131147541,0.18032786885245902,84,11,2043
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP05_T5s,500,5000,AGGRESSIVE_SENSITIVITY,203,183,20,107,0.5270935960591133,0.5846994535519126,76,-709,71,547,742,944,259.2021857923497,0.8087431693989071,0.1912568306010929,955,19,2036
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP10_T5s,1000,5000,AGGRESSIVE_SENSITIVITY,203,183,20,74,0.3645320197044335,0.40437158469945356,109,-759,57,623,1139,1435,425.14207650273227,0.8032786885245902,0.19672131147540983,2786,52,2028
ROBUST_1,SINGLE_TP_WITH_TIME_FALLBACK,TP15_T5s,1500,5000,AGGRESSIVE_SENSITIVITY,203,183,20,50,0.24630541871921183,0.273224043715847,133,-853,24,524,1565,1899,494.95628415300547,0.7759562841530054,0.22404371584699453,2872,169,2026
