role,family,variant_id,activation_threshold_bps,giveback_bps,fallback_time_stop_ms,clean_path_count,scored_count,unscored_count,activation_count,activation_rate_clean_paths,trail_exit_count,trail_exit_rate_clean_paths,trail_exit_rate_activated,fallback_exit_count,p10_exit_bps,p25_exit_bps,p50_exit_bps,p75_exit_bps,p90_exit_bps,mean_exit_bps,positive_rate,negative_rate,exit_delay_p50_ms,activation_delay_p50_ms,fallback_mark_age_p50_ms,peak_at_trail_exit_p50_bps
CONTROL,OBSERVED_TRAILING_WITH_T15S_FALLBACK,ACT05_GB03,500,300,15000,1036,961,75,589,0.5685328185328186,386,0.37258687258687256,0.6553480475382003,575,-2517,-744,328,1572,3345,501.99687825182104,0.6212278876170656,0.37460978147762747,9346,1734,3051,1925
CONTROL,OBSERVED_TRAILING_WITH_T15S_FALLBACK,ACT05_GB05,500,500,15000,1036,961,75,589,0.5685328185328186,361,0.3484555984555985,0.6129032258064516,600,-2517,-784,304,1537,3345,482.7741935483871,0.6066597294484911,0.3891779396462019,9454,1734,3004,1969
CONTROL,OBSERVED_TRAILING_WITH_T15S_FALLBACK,ACT05_GB10,500,1000,15000,1036,961,75,589,0.5685328185328186,323,0.31177606177606176,0.5483870967741935,638,-2590,-821,242,1513,3345,445.18418314255985,0.5827263267429761,0.4141519250780437,10063,1734,2920,2227
CONTROL,OBSERVED_TRAILING_WITH_T15S_FALLBACK,ACT10_GB03,1000,300,15000,1036,961,75,475,0.4584942084942085,316,0.305019305019305,0.6652631578947369,645,-2499,-805,404,1686,3451,545.8844953173777,0.6212278876170656,0.3756503642039542,9851,2908,2995,2530
CONTROL,OBSERVED_TRAILING_WITH_T15S_FALLBACK,ACT10_GB05,1000,500,15000,1036,961,75,475,0.4584942084942085,296,0.2857142857142857,0.6231578947368421,665,-2499,-821,381,1602,3446,536.2268470343392,0.6170655567117586,0.3798126951092612,10013,2908,2986,2624
CONTROL,OBSERVED_TRAILING_WITH_T15S_FALLBACK,ACT10_GB10,1000,1000,15000,1036,961,75,475,0.4584942084942085,269,0.25965250965250963,0.5663157894736842,692,-2574,-872,295,1587,3451,494.156087408949,0.6004162330905307,0.3964620187304891,10748,2908,2912,2836
CONTROL,OBSERVED_TRAILING_WITH_T15S_FALLBACK,ACT15_GB03,1500,300,15000,1036,961,75,389,0.3754826254826255,268,0.25868725868725867,0.6889460154241646,693,-2724,-872,363,1736,3489,501.79604578563993,0.6129032258064516,0.3839750260145682,10701,3247,2869,2976
CONTROL,OBSERVED_TRAILING_WITH_T15S_FALLBACK,ACT15_GB05,1500,500,15000,1036,961,75,389,0.3754826254826255,254,0.24517374517374518,0.6529562982005142,707,-2724,-875,339,1655,3451,494.37148803329865,0.6097814776274714,0.3870967741935484,10992,3247,2869,3098
CONTROL,OBSERVED_TRAILING_WITH_T15S_FALLBACK,ACT15_GB10,1500,1000,15000,1036,961,75,389,0.3754826254826255,230,0.222007722007722,0.5912596401028277,731,-2729,-879,306,1597,3451,458.7970863683663,0.6045785639958376,0.3922996878251821,11358,3247,2830,3159
ROBUST_1,OBSERVED_TRAILING_WITH_T15S_FALLBACK,ACT05_GB03,500,300,15000,203,200,3,129,0.6354679802955665,98,0.4827586206896552,0.7596899224806202,102,-1096,-48,495,1351,2729,662.385,0.735,0.265,9346,68,2566,1624
