role,variant_id,variant_role,fallback_ms,tp_bps,trail_activation_bps,trail_giveback_bps,hard_stop_bps,clean_path_count,scored_count,unscored_count,p10_exit_bps,p25_exit_bps,p50_exit_bps,p75_exit_bps,p90_exit_bps,mean_exit_bps,positive_rate,negative_rate,exit_delay_p50_ms,activation_delay_p50_ms,fallback_mark_age_p50_ms,exit_FALLBACK,exit_HARD_STOP,exit_TAKE_PROFIT,exit_TRAIL
CONTROL,REF_T15,REFERENCE,15000,,,,,1036,961,75,-3409,-1248,199,1620,3972,502.55879292403745,0.5650364203954215,0.43184183142559834,12499,,2501,961,0,0,0
CONTROL,E3_TP10_T15,E3_PRIMARY_REFERENCE,15000,1000,,,,1036,961,75,-2393,-566,914,1416,2568,344.77315296566076,0.6722164412070759,0.32466181061394384,7585,,2993,486,0,475,0
CONTROL,E4_ACT10_GB03_T15,E4_PRIMARY_REFERENCE,15000,,1000,300,,1036,961,75,-2499,-805,404,1686,3451,545.8844953173777,0.6212278876170656,0.3756503642039542,9851,2908,2995,645,0,0,316
CONTROL,TP10_ACT05_GB03_T15,TP_TRAIL_INTERACTION_A,15000,1000,500,300,,1036,961,75,-2412,-489,677,1398,2527,323.1893860561915,0.6690946930280958,0.3267429760665973,6383,1734,3015,423,0,452,86
CONTROL,TP15_ACT10_GB03_T15,TP_TRAIL_INTERACTION_B,15000,1500,1000,300,,1036,961,75,-2394,-716,608,1774,2736,409.6233090530697,0.6493236212278877,0.34755463059313213,8352,2908,3069,525,0,374,62
CONTROL,TP10_SL10_T15,TP_RISK_CONTROL_INTERACTION,15000,1000,,,-1000,1036,961,75,-2206,-1133,474,1317,2315,238.2226847034339,0.6097814776274714,0.3870967741935484,4578,,4563,258,279,424,0
CONTROL,ACT10_GB03_SL10_T15,TRAIL_RISK_CONTROL_INTERACTION,15000,,1000,300,-1000,1036,961,75,-2240,-1204,227,1499,3164,417.1540062434964,0.5681581685744017,0.4287200832466181,7198,2681,4100,402,297,0,262
CONTROL,TP10_ACT05_GB03_SL10_T15,THREE_COMPONENT_INTERACTION,15000,1000,500,300,-1000,1036,961,75,-2201,-1082,420,1294,2315,252.75026014568158,0.6170655567117586,0.37877211238293446,3555,611,5034,221,260,411,69
CONTROL,SENS_TP20_T5,T5_SENSITIVITY_REFERENCE,5000,2000,,,,1036,767,269,-1911,-221,404,1614,2551,435.7001303780965,0.6857887874837028,0.31290743155149936,2806,,2094,607,0,160,0
ROBUST_1,REF_T15,REFERENCE,15000,,,,,203,200,3,-2036,-585,278,1341,2960,363.14,0.62,0.38,13106,,1854,200,0,0,0
ROBUST_1,E3_TP10_T15,E3_PRIMARY_REFERENCE,15000,1000,,,,203,200,3,-1146,-242,1012,1197,1484,368.19,0.705,0.295,6710,,2332,96,0,104,0
ROBUST_1,E4_ACT10_GB03_T15,E4_PRIMARY_REFERENCE,15000,,1000,300,,203,200,3,-1146,-260,582,1386,2798,672.315,0.7,0.3,10857,2160,2403,123,0,0,77
ROBUST_1,TP10_ACT05_GB03_T15,TP_TRAIL_INTERACTION_A,15000,1000,500,300,,203,200,3,-1096,-41,582,1167,1484,370.145,0.74,0.26,6056,68,2171,78,0,94,28
ROBUST_1,TP15_ACT10_GB03_T15,TP_TRAIL_INTERACTION_B,15000,1500,1000,300,,203,200,3,-1146,-242,614,1632,1975,490.05,0.705,0.295,8807,2160,2382,109,0,69,22
ROBUST_1,TP10_SL10_T15,TP_RISK_CONTROL_INTERACTION,15000,1000,,,-1000,203,200,3,-1229,-420,692,1164,1484,375.205,0.665,0.335,5399,,2382,66,37,97,0
ROBUST_1,ACT10_GB03_SL10_T15,TRAIL_RISK_CONTROL_INTERACTION,15000,,1000,300,-1000,203,200,3,-1229,-481,495,1348,2729,658.94,0.66,0.34,8645,1370,2613,92,37,0,71
