track_id,exit_variant,signal_key,mint,paper_position_id,replay_exit_state,exit_reason,exit_requested_at,trigger_source_row,fill_source_row,trigger_observed_at,fill_observed_at,execution_rejection_state,execution_attempt_count,entry_principal_lamports,entry_explicit_cost_lamports,gross_exit_proceeds_lamports,exit_explicit_cost_lamports,gross_execution_pnl_lamports,net_pnl_lamports,holding_time_us,reference_source
FINAL-A,E3_TP10_T15,fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,PP-7d8bb9a90de4505abce88318d175ebf8,FILLED,FALLBACK,2026-08-28T09:08:50.832365+00:00,,1102621,,2026-08-28T09:08:55.079145+00:00,,1,100000000,2355000,104474497,2410932,4474497,-291435,8887360,LAST_FRESH_MARKET
FINAL-A,E3_TP10_T15,fp1sig-00672ce49a1610e7ad6f5deb,2UdieZLivbCpPEuzyxEfxfj54bKmQmtFjRAsGyGNpump,PP-aab321aaf52a12e65ce1df326eccbac1,FILLED,TAKE_PROFIT,2026-08-27T22:03:37.234920+00:00,878127,878130,2026-08-27T22:03:37.234920+00:00,2026-08-27T22:03:39.806085+00:00,,1,100000000,2355000,152301576,3008770,52301576,46937806,2603159,TRIGGER_MARKET
FINAL-A,E3_TP10_T15,fp1sig-00a2bc3af1d2668a3c306d56,Cy6TskvYWb9Ds466KLWvkBvjzrp1CCq1i65dbVbvpump,PP-4e57d467ec6d2bef7b80d64b317e16a8,FILLED,FALLBACK,2026-08-27T18:10:21.993577+00:00,,827036,,2026-08-27T18:10:23.822803+00:00,,1,100000000,2355000,89368638,2222108,-10631362,-15208470,12406199,LAST_FRESH_MARKET
FINAL-A,E3_TP10_T15,fp1sig-012cc72536b483b6d97b53f3,DpoddfrJgKdfuPKok5rCk8JL4WPEupnDmvGPT5dypump,PP-31ff8a38d4e775148cb27c6fa5f80005,FILLED,FALLBACK,2026-08-27T21:41:07.543837+00:00,,872323,,2026-08-27T21:41:15.338846+00:00,,1,100000000,2355000,97880023,2328501,-2119977,-6803478,18977545,LAST_FRESH_MARKET
FINAL-A,E3_TP10_T15,fp1sig-0151484094ac20de7c738d86,3irT8xsAXD4Gdht17PNpQhB2Rx73XLU821xmZCaHpump,PP-7430c8cf330f0fc4f793527d4f90d0c1,FILLED,FALLBACK,2026-08-27T13:42:44.989868+00:00,,783902,,2026-08-27T13:42:48.329736+00:00,,1,100000000,2355000,91973399,2254668,-8026601,-12636269,17299730,LAST_FRESH_MARKET
FINAL-A,E3_TP10_T15,fp1sig-02266b9cc58403336994d625,25G7doSJ5NdvTxhsTtdU5f1tJvjd9JUX2CcL5KDRpump,PP-ce3cc107130acc59ee1b7ede5bc82951,FILLED,FALLBACK,2026-08-28T08:12:05.017183+00:00,,1085169,,2026-08-28T08:12:21.978875+00:00,,1,100000000,2355000,83399552,2147495,-16600448,-21102943,28993765,LAST_FRESH_MARKET
FINAL-A,E3_TP10_T15,fp1sig-0254618e6839387546a96d0f,5gyi18Mmzb4M3Eu3S8XZwRF6eefPo9kXWwsrvDa8pump,PP-1e6bf005a88e54369b5576f24551a91d,FILLED,FALLBACK,2026-08-27T13:14:29.658904+00:00,,777301,,2026-08-27T13:15:32.301436+00:00,,1,100000000,2355000,102569197,2387115,2569197,-2172918,76955106,LAST_FRESH_MARKET
FINAL-A,E3_TP10_T15,fp1sig-028be987991618188ebc36e3,3HttKepykr5MKAUc8fhj7MP2Zcgw3eyQuGwpUvD1pump,PP-61d5d3c9dbc50b1c57e106f439889348,FILLED,FALLBACK,2026-08-27T13:59:16.193029+00:00,,786625,,2026-08-27T13:59:20.170741+00:00,,1,100000000,2355000,86050966,2180638,-13949034,-18484672,15655974,RULE_REFERENCE_FALLBACK
FINAL-A,E3_TP10_T15,fp1sig-037e02632b95bf3ff7057ab1,DP9CHFWfmAgFHdBqXtsiV5DDDT85gvLaqyTv4b1rbUfg,PP-fa8e544bb07ef37dafafa519065f3c18,FILLED,TAKE_PROFIT,2026-08-28T09:12:25.715046+00:00,1103544,1103612,2026-08-28T09:12:25.715046+00:00,2026-08-28T09:12:40.982544+00:00,,1,100000000,2355000,121532950,2624162,21532950,16553788,18145231,TRIGGER_MARKET
FINAL-A,E3_TP10_T15,fp1sig-03918a0cffe6d27a73a399ed,3AD1KN9cXtz7p6NdrbTYyTss4oLenBU9jCJMCE7hpump,PP-534a3dbea2408f3491eec593623a7597,FILLED,FALLBACK,2026-08-27T17:15:04.911680+00:00,,816320,,2026-08-27T17:15:20.716607+00:00,,1,100000000,2355000,104891797,2416148,4891797,120649,26698753,RULE_REFERENCE_FALLBACK
