policy_id,policy_fingerprint,family,positions,fills,unresolved,fill_rate,unresolved_rate,rejected_slippage_count,rejected_slippage_rate,no_causal_fill_count,no_causal_fill_rate,take_profit_count,stop_loss_count,trail_count,fallback_count,filled_take_profit_count,filled_stop_loss_count,filled_trail_count,filled_fallback_count,gross_execution_pnl_lamports,entry_explicit_cost_lamports,exit_explicit_cost_lamports,total_explicit_cost_lamports,net_pnl_lamports,expectancy_lamports_per_filled_trade,expectancy_denominator,wins,losses,breakevens,win_rate,average_winner_lamports,average_loser_lamports,profit_factor,mean_holding_time_us,median_holding_time_us,p90_holding_time_us,equity_label,final_realized_closed_pnl_lamports,peak_realized_closed_pnl_lamports,max_realized_closed_equity_drawdown_lamports,baseline_track,comparison_role,cohort_denominator,denominator_note,candidate_label,structure_note,timeout_origin,timeout_ms,tp_bps,sl_bps,trailing_activation_bps,trailing_giveback_bps
ACTUAL_24H/FINAL-A,9ca0932c03c0a1a662f552c93273bcd69a46b035bdd068f8e6214b0a5d2d5607,ACTUAL_24H,635,607,28,0.955905511811,0.044094488189,20,0.031496062992,8,0.012598425197,175,0,0,460,170,0,0,437,867281418,1429485000,1440326321,2869811321,-2002529903,-3299060.795717,FILLED,213,394,0,0.350906095552,18361855.694836,-15009150.167513,0.661369021640,19463791.639209,13847599,29954456,REALIZED_CLOSED_EQUITY,-2002529903,0,2027499008,FINAL-A,ACTUAL_BASELINE,635,SAME_635_PHYSICAL_ENTRIES_AS_FINAL_A_B,REFERENCE_ONLY_NOT_SHORTLISTED,SAME_635_PHYSICAL_ENTRIES_AS_FINAL_A_B,,,,,,
ACTUAL_24H/FINAL-B,9ca0932c03c0a1a662f552c93273bcd69a46b035bdd068f8e6214b0a5d2d5607,ACTUAL_24H,635,606,29,0.954330708661,0.045669291339,21,0.033070866142,8,0.012598425197,0,0,86,549,0,0,83,523,915692495,1427130000,1438576448,2865706448,-1950013953,-3217844.806931,FILLED,197,409,0,0.325082508251,22010329.482234,-15369312.618582,0.689787019459,20970076.386139,14442849,31084991,REALIZED_CLOSED_EQUITY,-1950013953,0,1986825612,FINAL-B,ACTUAL_BASELINE,635,SAME_635_PHYSICAL_ENTRIES_AS_FINAL_A_B,REFERENCE_ONLY_NOT_SHORTLISTED,SAME_635_PHYSICAL_ENTRIES_AS_FINAL_A_B,,,,,,
ACTUAL_24H/SENS-C,9ca0932c03c0a1a662f552c93273bcd69a46b035bdd068f8e6214b0a5d2d5607,ACTUAL_24H,423,395,28,0.933806146572,0.066193853428,23,0.054373522459,5,0.011820330969,26,0,0,397,24,0,0,371,1127954477,930225000,944324621,1874549621,-746595144,-1890114.288608,FILLED,113,282,0,0.286075949367,16499374.380531,-9258951.946809,0.714060454591,10224705.665823,4264898,17680426,REALIZED_CLOSED_EQUITY,-746595144,32225540,778820684,SENS-C,ACTUAL_BASELINE,423,ACCEPTED_423_ENTRY_SENSITIVITY_SUBSET,REFERENCE_ONLY_NOT_SHORTLISTED,ACCEPTED_423_ENTRY_SENSITIVITY_SUBSET,,,,,,
TIME_T45S,09b5d475b6aab419c933fc5b83edd93b80bb8b71c0b829ccde4bd11483b208f6,TIMEOUT_ONLY,635,590,45,0.929133858268,0.070866141732,12,0.018897637795,33,0.051968503937,0,0,0,635,0,0,0,590,1721687971,1389450000,1410971387,2800421387,-1078733416,-1828361.722034,FILLED,212,378,0,0.359322033898,44434563.372642,-27774764.156085,0.897252337057,147236792.105085,49502373,76899743,REALIZED_CLOSED_EQUITY,-1078733416,561887448,1653677083,,SHORTLIST,635,ALL_635_PHYSICAL_ENTRIES,IN_SAMPLE_CANDIDATE,PARETO_SHORTLIST_POLICY,ENTRY_FILL_CLOCK,45000,,,,
TIME_T60S,94a5c2d837de7ac119e8d0b2a25e2308a93019f6ff83ffd9481238a7816ff05f,TIMEOUT_ONLY,635,573,62,0.902362204724,0.097637795276,15,0.023622047244,47,0.074015748031,0,0,0,635,0,0,0,573,1849472603,1349415000,1372533680,2721948680,-872476077,-1522645.858639,FILLED,209,364,0,0.364746945899,48535198.177033,-30264649.714286,0.920801584618,165530111.668412,64577667,93836052,REALIZED_CLOSED_EQUITY,-872476077,434153158,1362220064,,SHORTLIST,635,ALL_635_PHYSICAL_ENTRIES,IN_SAMPLE_CANDIDATE,PARETO_SHORTLIST_POLICY,ENTRY_FILL_CLOCK,60000,,,,
TP10_T15S,f848e2723e3d3dcc27509c0204164b4d681f254e9e70480c8e92961f4f317c70,TP_TIMEOUT,635,609,26,0.959055118110,0.040944881890,13,0.020472440945,13,0.020472440945,217,0,0,418,211,0,0,398,867836508,1434195000,1445043265,2879238265,-2011401757,-3302794.346470,FILLED,222,387,0,0.364532019704,19558980.662162,-16417300.940568,0.683418085620,23181756.927750,17826054,36978041,REALIZED_CLOSED_EQUITY,-2011401757,0,2041587924,,CLOSEST_COUNTERFACTUAL,635,ALL_635_PHYSICAL_ENTRIES,COMPARISON_ONLY,CLOSEST_TO_FINAL_A_STRUCTURE,ENTRY_FILL_CLOCK,15000,1000,,,
TP10_T30S,ba5a06e3bcd37670a7c31d29e789f67075944cd607c4dafd16db9bbe040918ab,TP_TIMEOUT,635,601,34,0.946456692913,0.053543307087,15,0.023622047244,19,0.029921259843,277,0,0,358,271,0,0,330,1622127215,1415355000,1435631898,2850986898,-1228859683,-2044691.652246,FILLED,258,343,0,0.429284525790,22323744.798450,-20374302.743440,0.824156863837,32666263.765391,31658106,51963713,REALIZED_CLOSED_EQUITY,-1228859683,48292803,1296812157,,SHORTLIST,635,ALL_635_PHYSICAL_ENTRIES,IN_SAMPLE_CANDIDATE,PARETO_SHORTLIST_POLICY,ENTRY_FILL_CLOCK,30000,1000,,,
TP10_T60S,6b1c5b591ba8dcef7187326de8cb4db38d32b341b1734376835cf459cc91cec2,TP_TIMEOUT,635,588,47,0.925984251969,0.074015748031,15,0.023622047244,32,0.050393700787,337,0,0,298,330,0,0,258,1564363344,1384740000,1404294836,2789034836,-1224671492,-2082774.646259,FILLED,290,298,0,0.493197278912,23023743.265517,-26515292.077181,0.845008839909,136227566.129252,47912327,85286721,REALIZED_CLOSED_EQUITY,-1224671492,5749698,1273324451,,SHORTLIST,635,ALL_635_PHYSICAL_ENTRIES,IN_SAMPLE_CANDIDATE,PARETO_SHORTLIST_POLICY,ENTRY_FILL_CLOCK,60000,1000,,,
TP20_T15S,1ac586e2cf5bd18588858d34ecf3e205f1703c5c8444c26c38d7a10dc78e3c31,TP_TIMEOUT,635,607,28,0.955905511811,0.044094488189,15,0.023622047244,13,0.020472440945,136,0,0,499,131,0,0,476,830337897,1429485000,1439864525,2869349525,-2039011628,-3359162.484349,FILLED,220,387,0,0.362438220758,21201965.695455,-17321560.932817,0.695826264326,25042009.220758,18332240,37670425,REALIZED_CLOSED_EQUITY,-2039011628,0,2092110975,,CLOSEST_COUNTERFACTUAL,635,ALL_635_PHYSICAL_ENTRIES,COMPARISON_ONLY,CLOSEST_AVAILABLE_TO_SENS_C_STRUCTURE_TIMEOUT_DIFFERS,ENTRY_FILL_CLOCK,15000,2000,,,
TP20_T30S,7d53002eec85ff8ede990cfefac11f49bd4cdef631d12aff6de026e07af18236,TP_TIMEOUT,635,597,38,0.940157480315,0.059842519685,18,0.028346456693,20,0.031496062992,185,0,0,450,180,0,0,417,1539607168,1405935000,1425180386,2831115386,-1291508218,-2163330.348409,FILLED,248,349,0,0.415410385260,25572086.165323,-21872165.005731,0.830807941865,36744448.619765,32670205,54881714,REALIZED_CLOSED_EQUITY,-1291508218,0,1334081069,,SHORTLIST,635,ALL_635_PHYSICAL_ENTRIES,IN_SAMPLE_CANDIDATE,PARETO_SHORTLIST_POLICY,ENTRY_FILL_CLOCK,30000,2000,,,
