shortlist_order,candidate_label,policy_id,policy_fingerprint,family,fill_rate,unresolved_rate,net_pnl_lamports,expectancy_lamports_per_filled_trade,profit_factor,win_rate,max_realized_closed_equity_drawdown_lamports,median_holding_time_us,pareto_front,dominated_by_count,dominates_eligible_count,balanced_objective_rank_sum,retention_reason,selection_rule
1,IN_SAMPLE_CANDIDATE,TP20_T60S,78f8f03ea91a85a642d8bfa906ec9feef78be52d472f0c828bfc8c9e2d082199,TP_TIMEOUT,0.913385826772,0.086614173228,-822417411,-1417961.053448,0.906413255673,0.477586206897,972379110,61857362,1,0,28,29,NON_DOMINATED_ACROSS_LOCKED_OBJECTIVES; selected by balanced objective-rank sum; holding time then policy_id tie-break,FILL_RATE_GTE_0.90_THEN_PARETO_FRONT_THEN_BALANCED_RANK_SUM_THEN_HOLDING_TIME_THEN_POLICY_ID
2,IN_SAMPLE_CANDIDATE,TP10_T30S,ba5a06e3bcd37670a7c31d29e789f67075944cd607c4dafd16db9bbe040918ab,TP_TIMEOUT,0.946456692913,0.053543307087,-1228859683,-2044691.652246,0.824156863837,0.429284525790,1296812157,31658106,1,0,115,42,NON_DOMINATED_ACROSS_LOCKED_OBJECTIVES; selected by balanced objective-rank sum; holding time then policy_id tie-break,FILL_RATE_GTE_0.90_THEN_PARETO_FRONT_THEN_BALANCED_RANK_SUM_THEN_HOLDING_TIME_THEN_POLICY_ID
3,IN_SAMPLE_CANDIDATE,TP10_T60S,6b1c5b591ba8dcef7187326de8cb4db38d32b341b1734376835cf459cc91cec2,TP_TIMEOUT,0.925984251969,0.074015748031,-1224671492,-2082774.646259,0.845008839909,0.493197278912,1273324451,47912327,1,0,45,42,NON_DOMINATED_ACROSS_LOCKED_OBJECTIVES; selected by balanced objective-rank sum; holding time then policy_id tie-break,FILL_RATE_GTE_0.90_THEN_PARETO_FRONT_THEN_BALANCED_RANK_SUM_THEN_HOLDING_TIME_THEN_POLICY_ID
4,IN_SAMPLE_CANDIDATE,TRAIL_A15_G3_T30S,fb9227540deaf68fe6407b6b583365c0526e8e9a02c3f54f4fc5eb4fcee336d9,TRAILING_TIMEOUT,0.937007874016,0.062992125984,-1178109990,-1980016.789916,0.851713046563,0.369747899160,1382807661,33020483,1,0,38,44,NON_DOMINATED_ACROSS_LOCKED_OBJECTIVES; selected by balanced objective-rank sum; holding time then policy_id tie-break,FILL_RATE_GTE_0.90_THEN_PARETO_FRONT_THEN_BALANCED_RANK_SUM_THEN_HOLDING_TIME_THEN_POLICY_ID
5,IN_SAMPLE_CANDIDATE,TIME_T60S,94a5c2d837de7ac119e8d0b2a25e2308a93019f6ff83ffd9481238a7816ff05f,TIMEOUT_ONLY,0.902362204724,0.097637795276,-872476077,-1522645.858639,0.920801584618,0.364746945899,1362220064,64577667,1,0,3,46,NON_DOMINATED_ACROSS_LOCKED_OBJECTIVES; selected by balanced objective-rank sum; holding time then policy_id tie-break,FILL_RATE_GTE_0.90_THEN_PARETO_FRONT_THEN_BALANCED_RANK_SUM_THEN_HOLDING_TIME_THEN_POLICY_ID
6,IN_SAMPLE_CANDIDATE,TRAIL_A10_G3_T30S,7f74a52c5215334bb0097e6543ac19138dda1b17b03f91dedf34d4dbac2ba7f3,TRAILING_TIMEOUT,0.940157480315,0.059842519685,-1207204327,-2022117.800670,0.846918947566,0.368509212730,1448009800,32676226,1,0,44,47,NON_DOMINATED_ACROSS_LOCKED_OBJECTIVES; selected by balanced objective-rank sum; holding time then policy_id tie-break,FILL_RATE_GTE_0.90_THEN_PARETO_FRONT_THEN_BALANCED_RANK_SUM_THEN_HOLDING_TIME_THEN_POLICY_ID
7,IN_SAMPLE_CANDIDATE,TP20_T30S,7d53002eec85ff8ede990cfefac11f49bd4cdef631d12aff6de026e07af18236,TP_TIMEOUT,0.940157480315,0.059842519685,-1291508218,-2163330.348409,0.830807941865,0.415410385260,1334081069,32670205,1,0,73,48,NON_DOMINATED_ACROSS_LOCKED_OBJECTIVES; selected by balanced objective-rank sum; holding time then policy_id tie-break,FILL_RATE_GTE_0.90_THEN_PARETO_FRONT_THEN_BALANCED_RANK_SUM_THEN_HOLDING_TIME_THEN_POLICY_ID
8,IN_SAMPLE_CANDIDATE,TP10_SL30_T30S,5523156c042a9a15d63a8c91315e26efbcea8760bb676b7ddc3314ae40c37bd9,TP_SL_TIMEOUT,0.952755905512,0.047244094488,-1414308180,-2337699.471074,0.781716492602,0.406611570248,1433967851,23810838,1,0,132,55,NON_DOMINATED_ACROSS_LOCKED_OBJECTIVES; selected by balanced objective-rank sum; holding time then policy_id tie-break,FILL_RATE_GTE_0.90_THEN_PARETO_FRONT_THEN_BALANCED_RANK_SUM_THEN_HOLDING_TIME_THEN_POLICY_ID
9,IN_SAMPLE_CANDIDATE,TIME_T45S,09b5d475b6aab419c933fc5b83edd93b80bb8b71c0b829ccde4bd11483b208f6,TIMEOUT_ONLY,0.929133858268,0.070866141732,-1078733416,-1828361.722034,0.897252337057,0.359322033898,1653677083,49502373,1,0,16,57,NON_DOMINATED_ACROSS_LOCKED_OBJECTIVES; selected by balanced objective-rank sum; holding time then policy_id tie-break,FILL_RATE_GTE_0.90_THEN_PARETO_FRONT_THEN_BALANCED_RANK_SUM_THEN_HOLDING_TIME_THEN_POLICY_ID
10,IN_SAMPLE_CANDIDATE,TP40_T30S,a3aa2f60599a1efd19c7f332ed3c172abf9d86ddfa9ac13f9432da66091b19c9,TP_TIMEOUT,0.941732283465,0.058267716535,-1459265094,-2440242.632107,0.825984119360,0.366220735786,1486450493,33315032,1,0,39,61,NON_DOMINATED_ACROSS_LOCKED_OBJECTIVES; selected by balanced objective-rank sum; holding time then policy_id tie-break,FILL_RATE_GTE_0.90_THEN_PARETO_FRONT_THEN_BALANCED_RANK_SUM_THEN_HOLDING_TIME_THEN_POLICY_ID
