horizon_seconds,cohort_n,available_n,missing_n,availability_rate,return_mean_bps,return_p10_bps,return_p25_bps,return_p50_bps,return_p75_bps,return_p90_bps,mark_age_p50_ms,mark_age_p90_ms,percentile_method,coverage_label
5,635,464,171,0.730708661417,-111.846983,-3139,-1293,114,1029,2518,1504.778,4894.999,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
10,635,551,84,0.867716535433,-141.221416,-3819,-1445,4,1132,2850,2811.142,6870.722,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
15,635,582,53,0.916535433071,-156.841924,-4200,-1758,-33,1139,3167,2425.904,9982.422,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
20,635,600,35,0.944881889764,-208.820000,-4442,-1811,-55,1156,3066,2961.299,12367.174,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
30,635,615,20,0.968503937008,-150.045528,-4796,-2122,-157,1484,3778,3295.455,17012.906,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
45,635,624,11,0.982677165354,-82.883013,-6063,-2534,-363,1466,4453,3571.825,23763.108,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
60,635,625,10,0.984251968504,-21.304000,-6482,-2997,-408,1558,4908,4347.552,27350.896,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
90,635,627,8,0.987401574803,-231.264753,-6557,-3526,-752,1737,4992,5727.385,43353.080,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
120,635,629,6,0.990551181102,-98.368839,-7312,-4083,-948,1796,6684,7059.925,66314.143,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
180,635,630,5,0.992125984252,-230.885714,-8014,-4590,-1493,1472,6835,10283.831,114560.590,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
300,635,630,5,0.992125984252,-126.847619,-8662,-5173,-2196,1031,8163,30666.574,227196.912,NEAREST_RANK_CEILING_1_INDEXED,RESEARCH_CAUSAL_MARK_AVAILABILITY_NOT_PHASE4_COVERAGE
