signal_key,mint,horizon_seconds,target_at,status,mfe_bps,mae_bps,observation_count
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,5,2026-08-28T09:08:51.191785+00:00,AVAILABLE,998,994,2
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,10,2026-08-28T09:08:56.191785+00:00,AVAILABLE,998,994,4
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,15,2026-08-28T09:09:01.191785+00:00,AVAILABLE,998,994,4
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,20,2026-08-28T09:09:06.191785+00:00,AVAILABLE,998,136,5
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,30,2026-08-28T09:09:16.191785+00:00,AVAILABLE,998,136,7
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,45,2026-08-28T09:09:31.191785+00:00,AVAILABLE,998,136,9
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,60,2026-08-28T09:09:46.191785+00:00,AVAILABLE,998,-1051,13
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,90,2026-08-28T09:10:16.191785+00:00,AVAILABLE,998,-2245,17
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,120,2026-08-28T09:10:46.191785+00:00,AVAILABLE,998,-2927,21
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,180,2026-08-28T09:11:46.191785+00:00,AVAILABLE,998,-3664,33
fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,300,2026-08-28T09:13:46.191785+00:00,AVAILABLE,998,-3664,37
