horizon_seconds,cohort_n,available_n,missing_n,availability_rate,mfe_mean_bps,mfe_p10_bps,mfe_p25_bps,mfe_p50_bps,mfe_p75_bps,mfe_p90_bps,mae_mean_bps,mae_p10_bps,mae_p25_bps,mae_p50_bps,mae_p75_bps,mae_p90_bps,observation_count_mean,observation_count_p50,observation_count_p90,percentile_method
5,635,464,171,0.730708661417,326.306034,-2560,-566,286,1222,2720,-642.215517,-3243,-1425,-190,548,1327,3.633621,2,8,NEAREST_RANK_CEILING_1_INDEXED
10,635,551,84,0.867716535433,580.753176,-2561,-578,333,1508,3268,-937.754991,-4296,-1763,-395,423,1278,4.987296,3,10,NEAREST_RANK_CEILING_1_INDEXED
15,635,582,53,0.916535433071,873.352234,-2469,-444,485,1848,3844,-1219.434708,-4935,-2253,-666,284,1149,6.896907,5,15,NEAREST_RANK_CEILING_1_INDEXED
20,635,600,35,0.944881889764,1078.336667,-2183,-354,603,2025,4160,-1365.663333,-5319,-2541,-812,227,1067,8.361667,6,17,NEAREST_RANK_CEILING_1_INDEXED
30,635,615,20,0.968503937008,1558.673171,-1690,-152,732,2497,5275,-1703.125203,-5693,-3008,-1086,88,875,11.626016,9,25,NEAREST_RANK_CEILING_1_INDEXED
45,635,624,11,0.982677165354,2145.716346,-1578,-29,1003,2986,6719,-2068.535256,-6518,-3473,-1299,-48,672,16.477564,12,35,NEAREST_RANK_CEILING_1_INDEXED
60,635,625,10,0.984251968504,2660.736000,-1512,16,1210,3498,7503,-2362.291200,-6984,-4101,-1574,-222,602,21.294400,15,45,NEAREST_RANK_CEILING_1_INDEXED
90,635,627,8,0.987401574803,3290.475279,-1372,96,1445,4271,8641,-2751.988836,-7545,-4751,-2024,-455,447,29.655502,21,66,NEAREST_RANK_CEILING_1_INDEXED
120,635,629,6,0.990551181102,3901.174881,-1376,141,1684,4700,9998,-3000.748808,-7960,-5100,-2282,-616,418,37.979332,25,84,NEAREST_RANK_CEILING_1_INDEXED
180,635,630,5,0.992125984252,4649.926984,-1305,199,1893,5317,12839,-3363.368254,-8454,-5554,-2719,-890,151,51.474603,33,117,NEAREST_RANK_CEILING_1_INDEXED
300,635,630,5,0.992125984252,5950.206349,-1028,255,2175,6154,15289,-3806.838095,-8931,-6038,-3249,-1190,-18,71.758730,41,172,NEAREST_RANK_CEILING_1_INDEXED
