track_id,signal_key,mint,actual_reason,actual_fill_observed_at,actual_fill_source_row,actual_fill_source_event_key,raw_fill_price_numerator_raw,raw_fill_price_denominator_raw,impacted_exit_price_numerator_raw_audit_only,impacted_exit_price_denominator_raw_audit_only,horizon_seconds,target_at,mark_status,mark_observed_at,mark_ingest_seq,mark_source_event_key,mark_age_ms,post_exit_raw_market_return_bps,baseline_price_kind
FINAL-A,fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,FALLBACK,2026-08-28T09:08:55.079145+00:00,1102621,3YoNjEN1UCedom7aBNFXoVV65p7xJtdzFPsZ7fdKv2MvSTtCokCEAUwqfXX4cAm6vtLPTZP6ERamfbe8Rntpbvhk:0:bddb7fd34ee661ee:MARKET,42271864814,761499407488396,8433237030393,152299881497679200,5,2026-08-28T09:09:00.079145+00:00,MISSING,,,,,,RAW_SOURCE_MARKET_AT_ACTUAL_FILL_ROW
FINAL-A,fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,FALLBACK,2026-08-28T09:08:55.079145+00:00,1102621,3YoNjEN1UCedom7aBNFXoVV65p7xJtdzFPsZ7fdKv2MvSTtCokCEAUwqfXX4cAm6vtLPTZP6ERamfbe8Rntpbvhk:0:bddb7fd34ee661ee:MARKET,42271864814,761499407488396,8433237030393,152299881497679200,10,2026-08-28T09:09:05.079145+00:00,MISSING,,,,,,RAW_SOURCE_MARKET_AT_ACTUAL_FILL_ROW
FINAL-A,fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,FALLBACK,2026-08-28T09:08:55.079145+00:00,1102621,3YoNjEN1UCedom7aBNFXoVV65p7xJtdzFPsZ7fdKv2MvSTtCokCEAUwqfXX4cAm6vtLPTZP6ERamfbe8Rntpbvhk:0:bddb7fd34ee661ee:MARKET,42271864814,761499407488396,8433237030393,152299881497679200,15,2026-08-28T09:09:10.079145+00:00,AVAILABLE,2026-08-28T09:09:05.930853+00:00,1102662,3c3a6N9MoBGW8jxi2KJWZHLnYP9bJJtNZHFcRe2giggnuN8gMjGF9JHBCidCs3p6RhSuznFYfzDUpDE5C8we1X7a:0:bddb7fd34ee661ee:MARKET,4148.291,-784,RAW_SOURCE_MARKET_AT_ACTUAL_FILL_ROW
FINAL-A,fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,FALLBACK,2026-08-28T09:08:55.079145+00:00,1102621,3YoNjEN1UCedom7aBNFXoVV65p7xJtdzFPsZ7fdKv2MvSTtCokCEAUwqfXX4cAm6vtLPTZP6ERamfbe8Rntpbvhk:0:bddb7fd34ee661ee:MARKET,42271864814,761499407488396,8433237030393,152299881497679200,30,2026-08-28T09:09:25.079145+00:00,AVAILABLE,2026-08-28T09:09:21.003269+00:00,1102732,5D3b36cni5fzsohMQWK7ySzS8aogn4y35kXoi4s2oYrkMDqGwhJgU5P6aTAGZ2rAy64BQ1B61TGYGYtLtqFdAszu:0:bddb7fd34ee661ee:MARKET,4075.876,-644,RAW_SOURCE_MARKET_AT_ACTUAL_FILL_ROW
FINAL-A,fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,FALLBACK,2026-08-28T09:08:55.079145+00:00,1102621,3YoNjEN1UCedom7aBNFXoVV65p7xJtdzFPsZ7fdKv2MvSTtCokCEAUwqfXX4cAm6vtLPTZP6ERamfbe8Rntpbvhk:0:bddb7fd34ee661ee:MARKET,42271864814,761499407488396,8433237030393,152299881497679200,45,2026-08-28T09:09:40.079145+00:00,AVAILABLE,2026-08-28T09:09:37.901493+00:00,1102807,5M4sPK5grnDUDdWsGspdaXzs3Z2RHhP5u5LixWc8zfPEi9RDUMEH4x3B3QZdxRiUx6SvkbW8RLXSEkQjykNfoK1P:0:bddb7fd34ee661ee:MARKET,2177.652,-1863,RAW_SOURCE_MARKET_AT_ACTUAL_FILL_ROW
FINAL-A,fp1sig-0030cb8737e0c4dd41a94e4d,Br53V3urMmBgis9PY63cHYUxxZkxoNsZ42YX9Jiupump,FALLBACK,2026-08-28T09:08:55.079145+00:00,1102621,3YoNjEN1UCedom7aBNFXoVV65p7xJtdzFPsZ7fdKv2MvSTtCokCEAUwqfXX4cAm6vtLPTZP6ERamfbe8Rntpbvhk:0:bddb7fd34ee661ee:MARKET,42271864814,761499407488396,8433237030393,152299881497679200,60,2026-08-28T09:09:55.079145+00:00,AVAILABLE,2026-08-28T09:09:41.658219+00:00,1102819,2CqfNuXrj3sne67k7PyWZwdimuADSQt7kQmQfr5Rb6t7HZABD574bDkVC41XvqEbJcwTUitjudDu83esYEcHkJUn:0:bddb7fd34ee661ee:MARKET,13420.926,-1522,RAW_SOURCE_MARKET_AT_ACTUAL_FILL_ROW
FINAL-A,fp1sig-00672ce49a1610e7ad6f5deb,2UdieZLivbCpPEuzyxEfxfj54bKmQmtFjRAsGyGNpump,TAKE_PROFIT,2026-08-27T22:03:39.806085+00:00,878130,RqPGSqtE376FMU9ryMNg7c7XiyjYEzbKBHdACLq8hMTf1wwChUUuZFpainSwqrT3VGaZFweAAkaMSUuiLee6pDx:0:bddb7fd34ee661ee:MARKET,47294474143,680629198118061,471384023783281,6806291981180610000,5,2026-08-27T22:03:44.806085+00:00,AVAILABLE,2026-08-27T22:03:39.820085+00:00,878133,3VY93kksSXo7sDdhiW7NTv3zW4HrT2RCChbUA2rD5bHLHfuGqtZwRTL3KbxQsgLoTWxieoAa3c9kA9M9Ego14VjW:0:bddb7fd34ee661ee:MARKET,4986.000,63,RAW_SOURCE_MARKET_AT_ACTUAL_FILL_ROW
FINAL-A,fp1sig-00672ce49a1610e7ad6f5deb,2UdieZLivbCpPEuzyxEfxfj54bKmQmtFjRAsGyGNpump,TAKE_PROFIT,2026-08-27T22:03:39.806085+00:00,878130,RqPGSqtE376FMU9ryMNg7c7XiyjYEzbKBHdACLq8hMTf1wwChUUuZFpainSwqrT3VGaZFweAAkaMSUuiLee6pDx:0:bddb7fd34ee661ee:MARKET,47294474143,680629198118061,471384023783281,6806291981180610000,10,2026-08-27T22:03:49.806085+00:00,AVAILABLE,2026-08-27T22:03:45.608188+00:00,878144,2bDjzQP4CoxxB2EdWqu6CuNpegipGqtMHE7U8XYx9m7t2XuoAKUU3bX92kweVAHEXxTzRBiTpNe7ANTntguVmEkU:0:bddb7fd34ee661ee:MARKET,4197.897,-293,RAW_SOURCE_MARKET_AT_ACTUAL_FILL_ROW
FINAL-A,fp1sig-00672ce49a1610e7ad6f5deb,2UdieZLivbCpPEuzyxEfxfj54bKmQmtFjRAsGyGNpump,TAKE_PROFIT,2026-08-27T22:03:39.806085+00:00,878130,RqPGSqtE376FMU9ryMNg7c7XiyjYEzbKBHdACLq8hMTf1wwChUUuZFpainSwqrT3VGaZFweAAkaMSUuiLee6pDx:0:bddb7fd34ee661ee:MARKET,47294474143,680629198118061,471384023783281,6806291981180610000,15,2026-08-27T22:03:54.806085+00:00,AVAILABLE,2026-08-27T22:03:53.365222+00:00,878180,RAitqxsPbDibZqjZNjFFzinkVsjRdsEVMVxXoTQgPF4e6WnrnKWET4uhvTuFcbds1gEH1jdMkuexBm9D9HeaPLq:0:bddb7fd34ee661ee:MARKET,1440.863,-934,RAW_SOURCE_MARKET_AT_ACTUAL_FILL_ROW
FINAL-A,fp1sig-00672ce49a1610e7ad6f5deb,2UdieZLivbCpPEuzyxEfxfj54bKmQmtFjRAsGyGNpump,TAKE_PROFIT,2026-08-27T22:03:39.806085+00:00,878130,RqPGSqtE376FMU9ryMNg7c7XiyjYEzbKBHdACLq8hMTf1wwChUUuZFpainSwqrT3VGaZFweAAkaMSUuiLee6pDx:0:bddb7fd34ee661ee:MARKET,47294474143,680629198118061,471384023783281,6806291981180610000,30,2026-08-27T22:04:09.806085+00:00,AVAILABLE,2026-08-27T22:04:07.442578+00:00,878259,5PAHSJoMXFDJExWrdPws5qAmVaSSX87N4ccRjthX5cLSZtSa2STPVAy5sLNDH4R4TbYUHoYy3gC8SbSbUNkYuhWY:0:bddb7fd34ee661ee:MARKET,2363.507,-1790,RAW_SOURCE_MARKET_AT_ACTUAL_FILL_ROW
