policy_id,policy_fingerprint,family,timeout_origin,timeout_ms,timeout_seconds,tp_bps,sl_bps,trailing_activation_bps,trailing_giveback_bps
TIME_T15S,982e9ce39b81cf55a830bfe8bad2a715e1e8aef43be7d4a156a33725d7751920,TIMEOUT_ONLY,ENTRY_FILL_CLOCK,15000,15,,,,
TIME_T20S,fc5ca2fca651f63c46a9dfcbc2834836b8e29c8ded28045997fa5ae311288847,TIMEOUT_ONLY,ENTRY_FILL_CLOCK,20000,20,,,,
TIME_T30S,20ddfe2a607aff6329809e1acf3f71936b1d39569fa5bc25520eff316e1cdc3a,TIMEOUT_ONLY,ENTRY_FILL_CLOCK,30000,30,,,,
TIME_T45S,09b5d475b6aab419c933fc5b83edd93b80bb8b71c0b829ccde4bd11483b208f6,TIMEOUT_ONLY,ENTRY_FILL_CLOCK,45000,45,,,,
TIME_T60S,94a5c2d837de7ac119e8d0b2a25e2308a93019f6ff83ffd9481238a7816ff05f,TIMEOUT_ONLY,ENTRY_FILL_CLOCK,60000,60,,,,
TIME_T90S,6d3641cb93c065d8ae7a9abab4dc2a699714e1b4d111098ee9bf9c1cf1aa4a3a,TIMEOUT_ONLY,ENTRY_FILL_CLOCK,90000,90,,,,
TIME_T120S,01f6a9ddb1a0a8d332d38f04609fe2937c09796c6e7f12bd270238615bd2a591,TIMEOUT_ONLY,ENTRY_FILL_CLOCK,120000,120,,,,
TP10_T15S,f848e2723e3d3dcc27509c0204164b4d681f254e9e70480c8e92961f4f317c70,TP_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1000,,,
TP10_T30S,ba5a06e3bcd37670a7c31d29e789f67075944cd607c4dafd16db9bbe040918ab,TP_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1000,,,
TP10_T60S,6b1c5b591ba8dcef7187326de8cb4db38d32b341b1734376835cf459cc91cec2,TP_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1000,,,
TP10_T120S,43c6a9da0b0a9c75c380ca8183435f520ac38a2fc3e1f94cfbb6e660b5bf8be6,TP_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1000,,,
TP15_T15S,6f21dc8e95dd6253d4102b872947700215e22e3da8fcca0ed2b123a12f27974e,TP_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,1500,,,
TP15_T30S,d59ee55390a8a4a9fdf5be0ce487bc3fbeb94a3ac03d2ae4fbc260a9da4f12c5,TP_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,1500,,,
TP15_T60S,a3cd0a9e099b6765f92d9e76c314c188febded6aac63d0e21baba7e74a46cb38,TP_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,1500,,,
TP15_T120S,970115494f88297cc6ae62311f4d462e2ddc2b8998d17e57f6ef9006e8c5b8eb,TP_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,1500,,,
TP20_T15S,1ac586e2cf5bd18588858d34ecf3e205f1703c5c8444c26c38d7a10dc78e3c31,TP_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,2000,,,
TP20_T30S,7d53002eec85ff8ede990cfefac11f49bd4cdef631d12aff6de026e07af18236,TP_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,2000,,,
TP20_T60S,78f8f03ea91a85a642d8bfa906ec9feef78be52d472f0c828bfc8c9e2d082199,TP_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,2000,,,
TP20_T120S,4a39306250374a4dd81774c81c5f25363083dec75040e3d1a64b6c7bc17b8ac0,TP_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,2000,,,
TP25_T15S,4b9634cf2d11890c3d02130149089c8946eef54e9843608ee7d632c6974b916c,TP_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,2500,,,
TP25_T30S,f399eb1d341604c7657dffae9f3d0ab0a75393bcbd402622aebb28f284525672,TP_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,2500,,,
TP25_T60S,2068a07021af05b9df1847538b0f3c0e463126b471cac52601d1df3ba2cc8799,TP_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,2500,,,
TP25_T120S,8862befbdaef20599b2c0d4e1c0109b35b1a933fd225f4955c2fd1f0437bd0f8,TP_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,2500,,,
TP30_T15S,095877d533f0e0d03047870a7af532f83affcf423c794b30cb5dcb4a369c4587,TP_TIMEOUT,ENTRY_FILL_CLOCK,15000,15,3000,,,
TP30_T30S,2552cc5b013028e2dc6b0cdd8d7cc1dda200667e90f3e6a2045ec591285d56f7,TP_TIMEOUT,ENTRY_FILL_CLOCK,30000,30,3000,,,
TP30_T60S,532e445cef6b3eb91579cca7ae6756a9f550daa1387c796e8a67d712ab7ab128,TP_TIMEOUT,ENTRY_FILL_CLOCK,60000,60,3000,,,
TP30_T120S,40cd9052917aea14d953de002ab36cff9249c08f6d1f6e510e0b7b20c9b6a845,TP_TIMEOUT,ENTRY_FILL_CLOCK,120000,120,3000,,,
