policy_id,policy_fingerprint,family,positions,fills,unresolved,fill_rate,unresolved_rate,rejected_slippage_count,rejected_slippage_rate,no_causal_fill_count,no_causal_fill_rate,take_profit_count,stop_loss_count,trail_count,fallback_count,filled_take_profit_count,filled_stop_loss_count,filled_trail_count,filled_fallback_count,gross_execution_pnl_lamports,entry_explicit_cost_lamports,exit_explicit_cost_lamports,total_explicit_cost_lamports,net_pnl_lamports,expectancy_lamports_per_filled_trade,expectancy_denominator,wins,losses,breakevens,win_rate,average_winner_lamports,average_loser_lamports,profit_factor,mean_holding_time_us,median_holding_time_us,p90_holding_time_us,equity_label,final_realized_closed_pnl_lamports,peak_realized_closed_pnl_lamports,max_realized_closed_equity_drawdown_lamports,timeout_origin,timeout_ms,tp_bps,sl_bps,trailing_activation_bps,trailing_giveback_bps
TIME_T15S,982e9ce39b81cf55a830bfe8bad2a715e1e8aef43be7d4a156a33725d7751920,TIMEOUT_ONLY,635,607,28,0.955905511811,0.044094488189,15,0.023622047244,13,0.020472440945,0,0,0,635,0,0,0,607,490516655,1429485000,1435616754,2865101754,-2374585099,-3912001.810544,FILLED,195,412,0,0.321252059308,25316338.220513,-17745803.524272,0.675215830174,28169320.113674,18935489,38810312,REALIZED_CLOSED_EQUITY,-2374585099,0,2457317883,ENTRY_FILL_CLOCK,15000,,,,
TIME_T20S,fc5ca2fca651f63c46a9dfcbc2834836b8e29c8ded28045997fa5ae311288847,TIMEOUT_ONLY,635,602,33,0.948031496063,0.051968503937,16,0.025196850394,17,0.026771653543,0,0,0,635,0,0,0,602,844632623,1417710000,1428268197,2845978197,-2001345574,-3324494.308970,FILLED,197,405,0,0.327242524917,28990326.776650,-19043061.602469,0.740504225999,33348528.898671,24106974,44145137,REALIZED_CLOSED_EQUITY,-2001345574,75614407,2108238432,ENTRY_FILL_CLOCK,20000,,,,
TIME_T30S,20ddfe2a607aff6329809e1acf3f71936b1d39569fa5bc25520eff316e1cdc3a,TIMEOUT_ONLY,635,598,37,0.941732283465,0.058267716535,15,0.023622047244,22,0.034645669291,0,0,0,635,0,0,0,598,888082131,1408290000,1419391324,2827681324,-1939599193,-3243476.911371,FILLED,203,395,0,0.339464882943,34186980.522167,-22479889.212658,0.781565751622,43619416.105351,33688789,55577264,REALIZED_CLOSED_EQUITY,-1939599193,39474971,1979074164,ENTRY_FILL_CLOCK,30000,,,,
TIME_T45S,09b5d475b6aab419c933fc5b83edd93b80bb8b71c0b829ccde4bd11483b208f6,TIMEOUT_ONLY,635,590,45,0.929133858268,0.070866141732,12,0.018897637795,33,0.051968503937,0,0,0,635,0,0,0,590,1721687971,1389450000,1410971387,2800421387,-1078733416,-1828361.722034,FILLED,212,378,0,0.359322033898,44434563.372642,-27774764.156085,0.897252337057,147236792.105085,49502373,76899743,REALIZED_CLOSED_EQUITY,-1078733416,561887448,1653677083,ENTRY_FILL_CLOCK,45000,,,,
TIME_T60S,94a5c2d837de7ac119e8d0b2a25e2308a93019f6ff83ffd9481238a7816ff05f,TIMEOUT_ONLY,635,573,62,0.902362204724,0.097637795276,15,0.023622047244,47,0.074015748031,0,0,0,635,0,0,0,573,1849472603,1349415000,1372533680,2721948680,-872476077,-1522645.858639,FILLED,209,364,0,0.364746945899,48535198.177033,-30264649.714286,0.920801584618,165530111.668412,64577667,93836052,REALIZED_CLOSED_EQUITY,-872476077,434153158,1362220064,ENTRY_FILL_CLOCK,60000,,,,
TIME_T90S,6d3641cb93c065d8ae7a9abab4dc2a699714e1b4d111098ee9bf9c1cf1aa4a3a,TIMEOUT_ONLY,635,540,95,0.850393700787,0.149606299213,23,0.036220472441,72,0.113385826772,0,0,0,635,0,0,0,540,1319200127,1271700000,1288190269,2559890269,-1240690142,-2297574.337037,FILLED,189,351,0,0.350000000000,54706245.259259,-32991938.735043,0.892860805251,213579428.720370,95396728,148170998,REALIZED_CLOSED_EQUITY,-1240690142,351574363,1641110296,ENTRY_FILL_CLOCK,90000,,,,
TIME_T120S,01f6a9ddb1a0a8d332d38f04609fe2937c09796c6e7f12bd270238615bd2a591,TIMEOUT_ONLY,635,526,109,0.828346456693,0.171653543307,15,0.023622047244,94,0.148031496063,0,0,0,635,0,0,0,526,1143883156,1238730000,1253028789,2491758789,-1347875633,-2562501.203422,FILLED,177,349,0,0.336501901141,65837686.536723,-37252567.765043,0.896326399423,255972357.912548,125851270,181431129,REALIZED_CLOSED_EQUITY,-1347875633,128114510,1590824895,ENTRY_FILL_CLOCK,120000,,,,
TP10_T15S,f848e2723e3d3dcc27509c0204164b4d681f254e9e70480c8e92961f4f317c70,TP_TIMEOUT,635,609,26,0.959055118110,0.040944881890,13,0.020472440945,13,0.020472440945,217,0,0,418,211,0,0,398,867836508,1434195000,1445043265,2879238265,-2011401757,-3302794.346470,FILLED,222,387,0,0.364532019704,19558980.662162,-16417300.940568,0.683418085620,23181756.927750,17826054,36978041,REALIZED_CLOSED_EQUITY,-2011401757,0,2041587924,ENTRY_FILL_CLOCK,15000,1000,,,
TP10_T30S,ba5a06e3bcd37670a7c31d29e789f67075944cd607c4dafd16db9bbe040918ab,TP_TIMEOUT,635,601,34,0.946456692913,0.053543307087,15,0.023622047244,19,0.029921259843,277,0,0,358,271,0,0,330,1622127215,1415355000,1435631898,2850986898,-1228859683,-2044691.652246,FILLED,258,343,0,0.429284525790,22323744.798450,-20374302.743440,0.824156863837,32666263.765391,31658106,51963713,REALIZED_CLOSED_EQUITY,-1228859683,48292803,1296812157,ENTRY_FILL_CLOCK,30000,1000,,,
TP10_T60S,6b1c5b591ba8dcef7187326de8cb4db38d32b341b1734376835cf459cc91cec2,TP_TIMEOUT,635,588,47,0.925984251969,0.074015748031,15,0.023622047244,32,0.050393700787,337,0,0,298,330,0,0,258,1564363344,1384740000,1404294836,2789034836,-1224671492,-2082774.646259,FILLED,290,298,0,0.493197278912,23023743.265517,-26515292.077181,0.845008839909,136227566.129252,47912327,85286721,REALIZED_CLOSED_EQUITY,-1224671492,5749698,1273324451,ENTRY_FILL_CLOCK,60000,1000,,,
