actor_id,actor_kind,dimension,segment,n,small_cell,fills,unresolved,fill_rate,net_pnl_lamports,expectancy_lamports_per_filled_trade,wins,losses,win_rate,equity_label
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_UTC_TIME,00:00-05:59,207,False,201,6,0.971014492754,-76809889,-382138.751244,81,120,0.402985074627,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_UTC_TIME,06:00-11:59,206,False,192,14,0.932038834951,-1372552579,-7148711.348958,60,132,0.312500000000,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_UTC_TIME,12:00-17:59,93,False,92,1,0.989247311828,-468019342,-5087166.760870,29,63,0.315217391304,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_UTC_TIME,18:00-23:59,129,False,122,7,0.945736434109,-85148093,-697935.188525,43,79,0.352459016393,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q1,190,False,178,12,0.936842105263,-428654619,-2408172.016854,73,105,0.410112359551,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q2,132,False,131,1,0.992424242424,-527973680,-4030333.435115,38,93,0.290076335878,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q3,158,False,153,5,0.968354430380,-765307221,-5002007.980392,38,115,0.248366013072,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q4,155,False,145,10,0.935483870968,-280594383,-1935133.675862,64,81,0.441379310345,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q1,249,False,233,16,0.935742971888,-1093517565,-4693208.433476,82,151,0.351931330472,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q2,69,False,66,3,0.956521739130,-171233407,-2594445.560606,22,44,0.333333333333,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q3,159,False,157,2,0.987421383648,-790544406,-5035314.687898,42,115,0.267515923567,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-A,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q4,158,False,151,7,0.955696202532,52765475,349440.231788,67,84,0.443708609272,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_UTC_TIME,00:00-05:59,207,False,201,6,0.971014492754,-127386537,-633763.865672,73,128,0.363184079602,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_UTC_TIME,06:00-11:59,206,False,191,15,0.927184466019,-1382899290,-7240310.418848,52,139,0.272251308901,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_UTC_TIME,12:00-17:59,93,False,92,1,0.989247311828,-454145658,-4936365.847826,29,63,0.315217391304,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_UTC_TIME,18:00-23:59,129,False,122,7,0.945736434109,14417532,118176.491803,43,79,0.352459016393,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q1,190,False,179,11,0.942105263158,-368589834,-2059161.083799,70,109,0.391061452514,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q2,132,False,131,1,0.992424242424,-511770990,-3906648.778626,35,96,0.267175572519,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q3,158,False,153,5,0.968354430380,-687918364,-4496198.457516,36,117,0.235294117647,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q4,155,False,143,12,0.922580645161,-381734765,-2669473.881119,56,87,0.391608391608,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q1,249,False,231,18,0.927710843373,-903508920,-3911294.025974,73,158,0.316017316017,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q2,69,False,67,2,0.971014492754,-266178786,-3972817.701493,21,46,0.313432835821,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q3,159,False,157,2,0.987421383648,-828011577,-5273959.089172,42,115,0.267515923567,REALIZED_CLOSED_EQUITY
ACTUAL_24H/FINAL-B,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q4,158,False,151,7,0.955696202532,47685330,315796.887417,61,90,0.403973509934,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_UTC_TIME,00:00-05:59,139,False,131,8,0.942446043165,56630262,432292.076336,47,84,0.358778625954,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_UTC_TIME,06:00-11:59,151,False,135,16,0.894039735099,-379998994,-2814807.362963,39,96,0.288888888889,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_UTC_TIME,12:00-17:59,56,False,55,1,0.982142857143,-219785146,-3996093.563636,13,42,0.236363636364,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_UTC_TIME,18:00-23:59,77,False,74,3,0.961038961039,-203441266,-2749206.297297,14,60,0.189189189189,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q1,143,False,139,4,0.972027972028,-348255149,-2505432.726619,43,96,0.309352517986,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q2,88,False,86,2,0.977272727273,-199308111,-2317536.174419,21,65,0.244186046512,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q3,105,False,98,7,0.933333333333,-403876389,-4121187.642857,16,82,0.163265306122,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_PRICE_IMPACT_BPS_QUARTILE,Q4,87,False,72,15,0.827586206897,204844505,2845062.569444,33,39,0.458333333333,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q1,162,False,141,21,0.870370370370,95691789,678665.170213,48,93,0.340425531915,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q2,46,True,45,1,0.978260869565,-282860371,-6285786.022222,8,37,0.177777777778,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q3,102,False,100,2,0.980392156863,-439418506,-4394185.060000,20,80,0.200000000000,REALIZED_CLOSED_EQUITY
ACTUAL_24H/SENS-C,ACTUAL_BASELINE,ENTRY_ADVERSE_SLIPPAGE_BPS_QUARTILE,Q4,113,False,109,4,0.964601769912,-120008056,-1100991.339450,37,72,0.339449541284,REALIZED_CLOSED_EQUITY
TIME_T45S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,00:00-05:59,207,False,193,14,0.932367149758,625294377,3239867.238342,75,118,0.388601036269,REALIZED_CLOSED_EQUITY
TIME_T45S,IN_SAMPLE_CANDIDATE,ENTRY_UTC_TIME,06:00-11:59,206,False,186,20,0.902912621359,-1371293943,-7372548.080645,61,125,0.327956989247,REALIZED_CLOSED_EQUITY
