track_id,actual_reason,window_seconds,threshold_bps,eligible_n,reached_n,reached_rate,median_time_to_threshold_ms,small_cell,eligibility_definition
FINAL-A,FALLBACK,5,1000,284,65,0.228873239437,357.003,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,5,1500,284,49,0.172535211268,2100.848,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,5,2000,284,35,0.123239436620,948.561,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,5,2500,284,28,0.098591549296,751.876,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,5,3000,284,20,0.070422535211,841.765,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,5,4000,284,11,0.038732394366,710.372,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,5,5000,284,8,0.028169014085,165.000,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,10,1000,358,97,0.270949720670,3724.225,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,10,1500,358,68,0.189944134078,3576.383,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,10,2000,358,56,0.156424581006,3993.118,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,10,2500,358,45,0.125698324022,3677.654,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,10,3000,358,37,0.103351955307,3826.555,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,10,4000,358,27,0.075418994413,6529.741,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,10,5000,358,17,0.047486033520,6296.472,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,15,1000,384,125,0.325520833333,4622.849,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,15,1500,384,94,0.244791666667,4626.942,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,15,2000,384,79,0.205729166667,6774.042,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,15,2500,384,68,0.177083333333,6774.042,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,15,3000,384,61,0.158854166667,7474.328,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,15,4000,384,45,0.117187500000,8466.950,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,15,5000,384,32,0.083333333333,9219.638,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,30,1000,412,164,0.398058252427,7854.009,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,30,1500,412,131,0.317961165049,9632.330,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,30,2000,412,110,0.266990291262,9688.475,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,30,2500,412,96,0.233009708738,10192.224,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,30,3000,412,84,0.203883495146,10599.152,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,30,4000,412,62,0.150485436893,10650.660,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,30,5000,412,51,0.123786407767,13668.041,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,45,1000,421,190,0.451306413302,9632.330,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
FINAL-A,FALLBACK,45,1500,421,158,0.375296912114,10928.946,False,AT_LEAST_ONE_FRESH_CAUSAL_MARK_IN_WINDOW
